,School,SRS,SOS,DRB,oEFG,dEFG,oTOV,dTOV,oREB,dREB,oFT,dFT
0,Abilene Christian_2021,6.26,-6.39,718,0.512,0.458,0.285,0.334,0.313,0.732,0.23,0.262
1,Alabama_2021,19.57,9.99,935,0.517,0.458,0.3,0.308,0.318,0.712,0.204,0.211
2,Appalachian State_2021,-5.85,-5.73,734,0.478,0.479,0.272,0.336,0.298,0.732,0.252,0.17
3,Arkansas_2021,17.75,7.13,893,0.507,0.479,0.274,0.315,0.313,0.74,0.242,0.199
4,Baylor_2021,24.12,6.64,681,0.567,0.487,0.291,0.334,0.363,0.696,0.186,0.215
5,Brigham Young_2021,15.39,7.43,803,0.556,0.469,0.308,0.28,0.286,0.771,0.2,0.201
6,UC-Santa Barbara_2021,7.97,-1.91,700,0.541,0.474,0.265,0.327,0.295,0.776,0.256,0.198
7,Clemson_2021,12.49,9.49,577,0.5,0.487,0.332,0.324,0.264,0.731,0.178,0.202
8,Cleveland State_2021,-5.13,-4.83,650,0.505,0.49,0.289,0.282,0.305,0.678,0.218,0.275
9,Colgate_2021,13.65,-1.91,486,0.567,0.458,0.263,0.294,0.277,0.748,0.224,0.18
10,Colorado_2021,18.93,9.62,801,0.524,0.479,0.288,0.312,0.306,0.748,0.241,0.212
11,Connecticut_2021,15.77,8.59,568,0.49,0.467,0.285,0.283,0.37,0.709,0.21,0.26
12,Creighton_2021,16.3,8.56,849,0.55,0.47,0.294,0.309,0.243,0.72,0.164,0.179
13,Drake_2021,9.41,-0.48,803,0.542,0.478,0.294,0.306,0.311,0.751,0.17,0.207
14,Drexel_2021,-0.98,-3.93,503,0.533,0.501,0.315,0.293,0.284,0.761,0.213,0.197
15,Eastern Washington_2021,4.12,-3.06,670,0.54,0.473,0.281,0.291,0.23,0.745,0.239,0.196
16,Florida State_2021,17.12,9.16,646,0.54,0.461,0.301,0.286,0.337,0.69,0.24,0.258
17,Florida_2021,13.68,9.8,637,0.531,0.478,0.306,0.291,0.306,0.698,0.255,0.249
18,Georgetown_2021,10.13,10.36,736,0.494,0.489,0.314,0.294,0.319,0.732,0.232,0.179
19,Georgia Tech_2021,12.79,7.91,582,0.54,0.524,0.287,0.33,0.243,0.699,0.206,0.203
