,School,SRS,SOS,DRB,oEFG,dEFG,oTOV,dTOV,oREB,dREB,oFT,dFT
0,Arkansas-Pine Bluff_2010,-8.29,-7.68,864,0.447,0.455,0.285,0.251,0.356,0.729,0.323,0.361
1,Baylor_2010,17.97,8.03,965,0.549,0.44,0.287,0.276,0.385,0.672,0.26,0.225
2,Brigham Young_2010,18.82,3.0,965,0.552,0.462,0.252,0.303,0.312,0.722,0.307,0.244
3,Butler_2010,14.37,5.08,888,0.51,0.466,0.252,0.306,0.304,0.726,0.346,0.235
4,UC-Santa Barbara_2010,-0.13,-1.09,716,0.51,0.478,0.284,0.293,0.274,0.677,0.312,0.268
5,University of California_2010,17.29,8.26,846,0.533,0.483,0.27,0.287,0.347,0.689,0.268,0.231
6,Clemson_2010,15.71,7.9,758,0.511,0.464,0.297,0.319,0.365,0.665,0.23,0.24
7,Cornell_2010,8.76,-0.91,800,0.568,0.475,0.303,0.292,0.33,0.705,0.207,0.263
8,Duke_2010,25.21,9.21,991,0.505,0.437,0.244,0.301,0.403,0.679,0.287,0.234
9,East Tennessee State_2010,-0.83,-1.47,832,0.477,0.486,0.28,0.303,0.35,0.662,0.271,0.261
10,Florida State_2010,14.64,6.79,805,0.505,0.435,0.306,0.314,0.381,0.676,0.249,0.234
11,Florida_2010,11.89,7.16,810,0.494,0.484,0.279,0.316,0.37,0.672,0.235,0.188
12,Georgetown_2010,17.03,9.56,799,0.557,0.474,0.292,0.292,0.331,0.678,0.263,0.24
13,Georgia Tech_2010,14.11,9.02,966,0.511,0.441,0.298,0.299,0.374,0.667,0.248,0.23
14,Gonzaga_2010,12.11,3.83,928,0.54,0.462,0.246,0.283,0.321,0.711,0.328,0.219
15,Houston_2010,6.74,3.48,745,0.483,0.51,0.225,0.297,0.303,0.614,0.239,0.282
16,Kansas State_2010,19.88,10.28,878,0.508,0.47,0.245,0.283,0.404,0.661,0.336,0.328
17,Kansas_2010,24.68,8.25,989,0.551,0.432,0.259,0.299,0.384,0.683,0.288,0.215
18,Kentucky_2010,21.13,6.82,1046,0.53,0.431,0.263,0.303,0.405,0.682,0.291,0.204
19,Lehigh_2010,-3.33,-7.79,862,0.514,0.487,0.259,0.3,0.298,0.705,0.31,0.219
20,Louisville_2010,14.08,7.99,739,0.514,0.485,0.282,0.287,0.398,0.631,0.251,0.288
21,Marquette_2010,15.17,8.23,728,0.528,0.497,0.258,0.321,0.312,0.67,0.259,0.2
22,Maryland_2010,17.75,7.95,849,0.518,0.448,0.263,0.312,0.356,0.634,0.245,0.203
23,Michigan State_2010,15.33,8.17,939,0.516,0.466,0.287,0.294,0.398,0.716,0.253,0.223
24,Minnesota_2010,15.64,7.32,862,0.531,0.465,0.282,0.304,0.329,0.676,0.238,0.223
25,Missouri_2010,17.39,6.36,759,0.501,0.459,0.274,0.321,0.347,0.619,0.246,0.274
26,Montana_2010,3.93,-2.35,765,0.548,0.472,0.282,0.285,0.306,0.706,0.267,0.241
27,Morgan State_2010,-1.18,-6.15,920,0.475,0.465,0.252,0.267,0.397,0.653,0.307,0.291
28,Murray State_2010,8.69,-3.89,880,0.556,0.436,0.281,0.323,0.397,0.675,0.291,0.233
29,Nevada-Las Vegas_2010,12.57,4.82,812,0.52,0.455,0.277,0.282,0.293,0.693,0.234,0.337
30,New Mexico State_2010,2.06,1.66,854,0.532,0.51,0.266,0.285,0.299,0.659,0.269,0.22
31,New Mexico_2010,12.49,3.84,889,0.506,0.495,0.23,0.293,0.354,0.729,0.301,0.235
32,North Texas_2010,-2.49,-4.72,856,0.508,0.476,0.256,0.286,0.333,0.7,0.379,0.226
33,Northern Iowa_2010,12.03,4.27,797,0.496,0.466,0.268,0.317,0.307,0.732,0.281,0.199
34,Notre Dame_2010,13.14,6.22,848,0.537,0.493,0.247,0.282,0.347,0.695,0.275,0.206
35,Oakland_2010,-0.64,-2.96,867,0.498,0.499,0.263,0.291,0.376,0.695,0.307,0.215
36,Ohio State_2010,19.49,7.37,909,0.561,0.471,0.268,0.333,0.289,0.709,0.249,0.187
37,Ohio_2010,4.56,-0.03,928,0.494,0.469,0.259,0.298,0.324,0.663,0.295,0.248
38,Oklahoma State_2010,12.34,6.97,842,0.524,0.481,0.276,0.282,0.291,0.721,0.261,0.259
39,Old Dominion_2010,11.39,1.78,854,0.488,0.455,0.297,0.323,0.424,0.698,0.197,0.198
40,Pittsburgh_2010,14.3,7.39,849,0.497,0.446,0.26,0.268,0.37,0.688,0.297,0.224
41,Purdue_2010,17.52,8.81,819,0.491,0.448,0.251,0.309,0.294,0.682,0.279,0.263
42,Richmond_2010,10.03,3.43,835,0.511,0.442,0.275,0.301,0.26,0.644,0.227,0.256
43,Robert Morris_2010,-3.71,-6.15,815,0.489,0.469,0.274,0.28,0.346,0.675,0.306,0.344
44,Saint Mary's (CA)_2010,13.38,2.2,874,0.557,0.459,0.274,0.274,0.344,0.691,0.254,0.199
45,Sam Houston State_2010,3.71,-3.37,837,0.536,0.486,0.274,0.29,0.349,0.71,0.26,0.274
46,San Diego State_2010,11.34,4.21,813,0.522,0.465,0.275,0.31,0.402,0.684,0.249,0.209
47,Siena_2010,8.48,-1.17,868,0.493,0.48,0.257,0.352,0.355,0.705,0.261,0.136
48,Syracuse_2010,21.72,7.21,920,0.576,0.459,0.294,0.332,0.371,0.657,0.249,0.163
49,Temple_2010,12.44,4.27,904,0.491,0.43,0.287,0.304,0.321,0.723,0.189,0.188
50,Tennessee_2010,16.05,7.75,912,0.506,0.452,0.279,0.296,0.335,0.677,0.239,0.283
51,Texas A&M_2010,15.24,9.8,852,0.497,0.466,0.242,0.294,0.333,0.705,0.32,0.25
52,Texas-El Paso_2010,12.66,1.96,870,0.528,0.446,0.269,0.285,0.289,0.698,0.267,0.289
53,Texas_2010,18.56,7.38,922,0.511,0.449,0.257,0.292,0.389,0.679,0.258,0.241
54,Utah State_2010,13.62,1.23,876,0.551,0.458,0.277,0.295,0.338,0.731,0.226,0.206
55,Vanderbilt_2010,15.24,7.86,836,0.525,0.464,0.256,0.284,0.331,0.649,0.337,0.214
56,Vermont_2010,-1.26,-6.69,858,0.482,0.45,0.256,0.291,0.363,0.664,0.339,0.239
57,Villanova_2010,16.72,7.75,831,0.522,0.474,0.256,0.263,0.377,0.681,0.331,0.348
58,Wake Forest_2010,11.45,8.85,843,0.47,0.438,0.276,0.27,0.388,0.663,0.268,0.265
59,Washington_2010,15.64,7.49,888,0.497,0.465,0.252,0.28,0.369,0.678,0.295,0.304
60,West Virginia_2010,19.16,10.26,882,0.489,0.469,0.255,0.282,0.42,0.679,0.279,0.266
61,Winthrop_2010,-8.68,-7.31,826,0.412,0.449,0.268,0.3,0.341,0.698,0.232,0.26
62,Wisconsin_2010,17.84,7.66,736,0.514,0.468,0.252,0.29,0.302,0.737,0.238,0.248
63,Wofford_2010,4.43,-2.57,841,0.495,0.463,0.25,0.302,0.336,0.709,0.296,0.237
64,Xavier_2010,16.23,5.94,971,0.522,0.456,0.254,0.279,0.352,0.701,0.298,0.215
65,Akron_2011,2.15,-1.02,875,0.499,0.464,0.285,0.286,0.283,0.673,0.22,0.253
66,Alabama-Birmingham_2011,8.55,2.78,757,0.508,0.459,0.301,0.292,0.334,0.694,0.213,0.228
67,Alabama State_2011,-13.37,-10.31,811,0.44,0.454,0.279,0.272,0.357,0.666,0.285,0.352
68,Arizona_2011,16.54,7.99,911,0.541,0.486,0.259,0.275,0.34,0.708,0.325,0.248
69,Little Rock_2011,-4.32,-2.97,827,0.488,0.494,0.255,0.274,0.299,0.687,0.292,0.312
70,Belmont_2011,13.07,-4.42,807,0.542,0.461,0.276,0.31,0.374,0.679,0.281,0.313
71,Boston University_2011,-2.48,-3.85,835,0.473,0.46,0.273,0.286,0.34,0.657,0.272,0.212
72,Brigham Young_2011,18.65,5.76,1005,0.518,0.465,0.241,0.3,0.312,0.718,0.292,0.225
73,Bucknell_2011,2.39,-3.87,879,0.509,0.454,0.273,0.274,0.252,0.71,0.269,0.244
74,Butler_2011,11.53,5.02,906,0.501,0.481,0.255,0.275,0.332,0.721,0.273,0.26
75,UC-Santa Barbara_2011,1.22,0.12,761,0.523,0.473,0.3,0.277,0.284,0.681,0.281,0.284
76,Cincinnati_2011,15.41,6.1,783,0.494,0.458,0.26,0.304,0.381,0.69,0.256,0.249
77,Clemson_2011,13.76,6.58,793,0.503,0.456,0.28,0.311,0.342,0.675,0.27,0.247
78,Connecticut_2011,17.95,10.44,1056,0.482,0.445,0.266,0.293,0.387,0.659,0.258,0.182
79,Duke_2011,24.51,8.32,953,0.537,0.445,0.26,0.312,0.351,0.668,0.282,0.193
80,Florida State_2011,13.48,6.45,910,0.49,0.424,0.299,0.299,0.356,0.693,0.253,0.252
81,Florida_2011,16.27,7.57,917,0.521,0.472,0.274,0.308,0.372,0.7,0.239,0.187
82,George Mason_2011,11.66,1.37,824,0.532,0.466,0.256,0.303,0.329,0.687,0.266,0.217
83,Georgetown_2011,14.61,10.39,757,0.541,0.468,0.302,0.26,0.337,0.677,0.245,0.268
84,Georgia_2011,10.43,6.13,836,0.495,0.448,0.285,0.275,0.368,0.683,0.255,0.243
85,Gonzaga_2011,13.86,4.01,916,0.531,0.469,0.27,0.297,0.354,0.718,0.317,0.248
86,Hampton_2011,-5.2,-8.77,803,0.463,0.432,0.26,0.303,0.297,0.641,0.267,0.241
87,Illinois_2011,16.72,11.11,836,0.529,0.457,0.308,0.283,0.317,0.685,0.206,0.237
88,Indiana State_2011,3.41,2.9,820,0.494,0.462,0.293,0.264,0.309,0.702,0.268,0.326
89,Kansas State_2011,14.59,8.41,790,0.499,0.471,0.273,0.283,0.409,0.693,0.28,0.319
90,Kansas_2011,24.1,7.62,1026,0.57,0.445,0.27,0.303,0.367,0.721,0.267,0.233
91,Kentucky_2011,20.3,8.91,975,0.523,0.442,0.254,0.291,0.343,0.693,0.257,0.218
92,Long Island University_2011,2.23,-5.77,899,0.519,0.483,0.251,0.318,0.374,0.677,0.321,0.173
93,Louisville_2011,18.6,8.2,838,0.526,0.445,0.297,0.297,0.348,0.648,0.198,0.277
94,Marquette_2011,14.89,8.51,872,0.51,0.499,0.248,0.312,0.361,0.668,0.308,0.19
95,Memphis_2011,6.91,3.14,825,0.504,0.468,0.289,0.286,0.353,0.65,0.269,0.267
96,Michigan State_2011,13.7,11.67,849,0.489,0.481,0.284,0.267,0.345,0.71,0.256,0.255
