,Seed,School,Wins
0,1,Duke_2019,3.0
1,9,UCF_2019,1.0
2,12,Liberty_2019,1.0
3,4,Virginia Tech_2019,2.0
4,6,Maryland_2019,1.0
5,3,LSU_2019,2.0
6,10,Minnesota_2019,1.0
7,2,Michigan State_2019,4.0
8,1,Gonzaga_2019,3.0
9,9,Baylor_2019,1.0
10,12,Murray State_2019,1.0
11,4,Florida State_2019,2.0
12,6,Buffalo_2019,1.0
13,3,Texas Tech_2019,5.0
14,10,Florida_2019,1.0
15,2,Michigan_2019,2.0
16,1,UNC_2019,2.0
17,9,Washington_2019,1.0
18,5,Auburn_2019,4.0
19,4,Kansas_2019,1.0
20,11,Ohio State_2019,1.0
21,3,Houston_2019,2.0
22,7,Wofford_2019,1.0
23,2,Kentucky_2019,3.0
24,1,Virginia_2019,6.0
25,9,Oklahoma_2019,1.0
26,12,Oregon_2019,2.0
27,13,UC-Irvine_2019,1.0
28,6,Villanova_2019,1.0
29,3,Purdue_2019,3.0
30,10,Iowa_2019,1.0
31,2,Tennessee_2019,2.0
