,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,29,24,5,.828,6.24,-6.40,,13,2,,13,0,,5,4,,2196,1753,,1160,786,1752,.449,221,643,.344,403,594,.678,329,1047,513,282,86,394,554
7,Alabama,33,26,7,.788,19.60,10.02,,16,2,,12,1,,7,3,,2629,2313,,1325,924,2125,.435,348,989,.352,433,612,.708,408,1349,464,280,143,458,603
11,Appalachian State,29,17,12,.586,-5.81,-5.69,,7,8,,9,4,,4,7,,2039,1860,,1185,690,1688,.409,233,737,.316,426,574,.742,319,1053,340,230,107,343,394
17,Arkansas,31,25,6,.806,17.88,6.62,,13,4,,16,1,,5,4,,2532,2183,,1245,909,2018,.450,230,691,.333,484,654,.740,369,1238,453,246,153,397,522
24,Baylor,27,25,2,.926,23.35,5.61,,13,1,,11,0,,7,1,,2242,1763,,1085,828,1702,.486,270,662,.408,316,452,.699,339,979,449,244,101,318,455
33,Brigham Young,27,20,7,.741,15.33,7.37,,10,3,,11,2,,7,2,,2109,1853,,1095,776,1608,.483,236,633,.373,321,443,.725,255,1058,436,124,75,356,486
50,UC-Santa Barbara,27,22,5,.815,7.94,-1.94,,15,3,,11,0,,8,4,,2051,1696,,1090,739,1534,.482,181,522,.347,392,522,.751,251,951,438,199,75,294,429
64,Clemson,24,16,8,.667,12.55,9.55,,10,6,,11,1,,2,5,,1558,1486,,965,562,1323,.425,198,574,.345,236,307,.769,206,783,319,146,69,303,374
67,Cleveland State,27,19,8,.704,-5.02,-4.73,,16,4,,9,2,,8,5,,1914,1922,,1105,701,1558,.450,172,535,.321,340,507,.671,284,934,371,188,69,348,524
69,Colgate,16,14,2,.875,13.71,-1.85,,11,1,,8,1,,6,0,,1363,1114,,645,495,1004,.493,148,365,.405,225,311,.723,152,638,279,113,54,173,259
72,Colorado,32,23,9,.719,18.84,9.53,,14,6,,11,1,,6,6,,2340,2042,,1280,828,1815,.456,246,661,.372,438,535,.819,312,1113,436,167,88,364,526
74,Connecticut,23,15,8,.652,15.79,8.61,,11,6,,7,3,,6,3,,1650,1485,,925,602,1388,.434,155,463,.335,291,403,.722,311,879,297,142,121,268,432
77,Creighton,31,22,9,.710,16.31,8.56,,14,6,,11,3,,7,4,,2355,2115,,1250,878,1862,.472,293,811,.361,306,478,.640,259,1108,486,216,104,341,475
89,Drake,31,26,5,.839,9.46,-0.44,,15,3,,14,1,,9,2,,2354,1999,,1250,908,1878,.483,218,594,.367,320,449,.713,317,1120,423,216,92,320,488
90,Drexel,20,12,8,.600,-0.93,-3.88,,4,5,,3,2,,4,5,,1407,1348,,800,514,1100,.467,145,391,.371,234,300,.780,174,677,298,91,48,256,298
98,Eastern Washington,24,16,8,.667,4.06,-3.11,,12,3,,7,2,,6,5,,1879,1690,,960,667,1425,.468,204,574,.355,341,431,.791,178,848,365,115,70,277,407
107,Florida State,25,18,7,.720,17.19,9.23,,11,4,,12,1,,3,4,,1929,1730,,1010,693,1461,.474,192,510,.376,351,474,.741,272,918,363,182,127,359,459
108,Florida,25,15,10,.600,13.73,9.85,,9,7,,6,3,,5,5,,1854,1757,,1005,663,1407,.471,169,475,.356,359,477,.753,245,882,293,180,131,375,464
117,Georgetown,26,13,13,.500,10.13,10.36,,7,9,,7,6,,2,6,,1857,1863,,1045,644,1521,.423,216,592,.365,353,469,.753,298,1034,333,153,101,395,413
120,Georgia Tech,26,17,9,.654,12.85,7.96,,11,6,,11,3,,4,5,,1948,1821,,1065,722,1514,.477,192,552,.348,312,430,.726,205,787,411,236,90,290,410
122,Gonzaga,29,29,0,1.000,27.77,4.49,,15,0,,12,0,,7,0,,2663,1988,,1160,984,1787,.551,221,593,.373,474,644,.736,273,1100,538,236,81,352,472
124,Grand Canyon,24,17,7,.708,5.15,-3.42,,9,3,,10,3,,5,1,,1812,1491,,960,676,1384,.488,163,496,.329,297,434,.684,254,958,390,116,72,308,412
127,Hartford,24,15,9,.625,-3.50,-5.00,,8,6,,10,1,,5,6,,1570,1534,,960,562,1305,.431,179,554,.323,267,373,.716,191,798,264,166,54,315,386
136,Houston,30,27,3,.900,22.57,4.71,,14,3,,15,0,,5,3,,2308,1724,,1200,813,1844,.441,274,772,.355,408,555,.735,427,1227,419,245,141,322,553
142,Illinois,31,24,7,.774,23.27,11.37,,16,4,,11,2,,9,3,,2497,2128,,1255,909,1819,.500,203,545,.372,476,690,.690,322,1239,506,176,87,404,549
146,Iona,18,12,6,.667,-1.17,-6.39,,6,3,,4,2,,4,3,,1283,1189,,720,446,1010,.442,132,381,.346,259,348,.744,194,663,245,123,75,281,389
148,Iowa,31,22,9,.710,21.47,10.50,,14,6,,14,2,,6,4,,2595,2255,,1245,923,1961,.471,301,780,.386,448,627,.715,346,1231,594,173,141,294,461
158,Kansas,30,21,9,.700,15.11,10.07,,12,6,,14,1,,4,6,,2191,2010,,1205,789,1809,.436,227,663,.342,386,539,.716,333,1124,415,207,119,359,460
