,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian_2021,29,24,5,.828,6.23,-6.41,,13,2,,13,0,,5,4,,2196,1753,,1160,601,1488,.404,161,520,.310,390,573,.681,263,985,299,189,110,578,580
2,Air Force_2021,25,5,20,.200,-12.95,0.25,,3,17,,3,8,,1,10,,1468,1798,,1000,654,1309,.500,194,530,.366,296,430,.688,258,865,368,150,53,348,418
3,Akron_2021,23,15,8,.652,1.90,-1.91,,12,6,,9,1,,5,5,,1798,1660,,930,621,1435,.433,151,486,.311,267,375,.712,253,837,279,129,51,274,422
4,Alabama A&M_2021,15,6,9,.400,-18.87,-15.01,,4,9,,5,2,,1,7,,950,1008,,610,350,891,.393,84,297,.283,224,333,.673,172,582,188,121,40,192,251
5,Alabama-Birmingham_2021,29,22,7,.759,5.82,-3.81,,13,5,,15,2,,6,4,,2105,1748,,1160,633,1566,.404,181,569,.318,301,434,.694,252,994,310,122,105,478,477
6,Alabama State_2021,18,4,14,.222,-24.31,-16.97,,4,14,,3,6,,1,8,,1156,1288,,720,456,1042,.438,108,332,.325,268,385,.696,188,677,227,139,75,268,388
7,Alabama_2021,33,26,7,.788,19.57,9.99,,16,2,,12,1,,7,3,,2629,2313,,1325,837,2053,.408,205,704,.291,434,630,.689,378,1254,368,261,161,506,599
8,Albany (NY)_2021,16,7,9,.438,-4.54,-5.23,,6,6,,4,5,,2,4,,1110,1099,,640,402,894,.450,114,330,.345,181,262,.691,139,522,196,90,64,233,295
9,Alcorn State_2021,19,6,13,.316,-19.63,-10.11,,6,7,,4,3,,2,9,,1256,1437,,760,483,992,.487,134,387,.346,337,497,.678,175,663,280,128,79,299,338
10,American_2021,10,4,6,.400,-6.30,-1.80,,4,5,,2,2,,2,4,,691,736,,420,268,584,.459,50,172,.291,150,224,.670,106,351,117,85,25,125,156
11,Appalachian State_2021,29,17,12,.586,-5.83,-5.71,,7,8,,9,4,,4,7,,2039,1860,,1185,689,1648,.418,202,622,.325,280,394,.711,269,1020,346,164,125,405,507
12,Arizona State_2021,25,11,14,.440,7.49,10.25,,7,10,,7,6,,2,6,,1858,1927,,1010,671,1460,.460,192,530,.362,393,527,.746,257,990,373,139,80,380,455
13,Arizona_2021,26,17,9,.654,15.04,8.20,,11,9,,12,4,,5,5,,1961,1783,,1050,631,1470,.429,184,539,.341,337,477,.706,220,812,292,140,72,322,524
14,Little Rock_2021,26,11,15,.423,-6.39,-5.43,,7,11,,7,4,,2,8,,1786,1782,,1050,645,1476,.437,201,582,.345,291,402,.724,241,820,347,172,77,362,482
15,Arkansas-Pine Bluff_2021,25,4,21,.160,-22.74,-7.86,,3,12,,2,3,,2,17,,1549,1921,,1010,680,1434,.474,191,478,.400,370,549,.674,263,922,404,207,95,322,472
16,Arkansas State_2021,24,11,13,.458,-7.98,-5.89,,7,8,,9,3,,1,9,,1741,1667,,965,608,1431,.425,160,479,.334,291,393,.740,239,806,294,163,101,301,425
17,Arkansas_2021,32,25,7,.781,17.74,7.12,,13,4,,16,1,,5,4,,2604,2264,,1285,813,1958,.415,248,738,.336,390,568,.687,313,1144,393,209,116,483,607
18,Army_2021,22,12,10,.545,0.08,0.65,,7,7,,5,5,,5,3,,1578,1529,,885,560,1276,.439,184,518,.355,225,310,.726,185,775,283,154,74,303,375
19,Auburn_2021,27,13,14,.481,10.01,9.27,,7,11,,8,5,,3,8,,2084,2064,,1090,748,1708,.438,198,606,.327,370,540,.685,329,980,340,236,101,369,535
20,Austin Peay_2021,27,14,13,.519,-6.64,-8.20,,10,10,,8,5,,4,6,,2007,1890,,1090,687,1457,.472,194,541,.359,322,477,.675,249,856,312,210,70,436,489
23,Ball State_2021,23,10,13,.435,-1.89,-1.15,,8,9,,7,4,,3,8,,1719,1736,,930,611,1419,.431,167,538,.310,347,506,.686,272,867,289,168,61,288,409
24,Baylor_2021,28,26,2,.929,23.47,6.04,,13,1,,11,0,,7,1,,2323,1835,,1125,665,1538,.432,174,527,.330,331,477,.694,284,901,342,159,115,485,466
25,Bellarmine_2021,22,14,8,.636,-1.72,-5.52,,10,3,,6,4,,7,2,,1634,1456,,880,514,1142,.450,204,541,.377,224,318,.704,179,645,292,117,62,332,349
26,Belmont_2021,30,26,4,.867,3.48,-8.69,,18,2,,11,1,,10,2,,2439,2074,,1205,773,1813,.426,223,660,.338,305,448,.681,307,1054,386,189,110,441,489
27,Binghamton_2021,18,4,14,.222,-12.25,-5.36,,4,10,,1,9,,3,5,,1178,1302,,735,466,1037,.449,137,373,.367,233,325,.717,171,637,217,121,45,199,283
28,Boise State_2021,28,19,9,.679,9.81,1.77,,14,6,,11,1,,6,6,,2122,1868,,1125,684,1588,.431,182,551,.330,318,437,.728,223,914,313,149,68,401,540
29,Boston College_2021,20,4,16,.200,0.86,9.01,,2,11,,3,5,,0,7,,1427,1590,,805,593,1208,.491,154,435,.354,250,351,.712,193,743,297,136,68,267,347
30,Boston University_2021,18,7,11,.389,-3.70,0.86,,6,10,,2,6,,5,5,,1249,1331,,720,495,1048,.472,132,367,.360,209,312,.670,159,605,236,116,47,185,305
31,Bowling Green State_2021,26,14,12,.538,-0.11,-2.31,,10,8,,4,7,,10,3,,2015,1939,,1050,703,1584,.444,205,615,.333,328,466,.704,282,1022,347,138,99,358,438
32,Bradley_2021,28,12,16,.429,0.35,1.19,,6,12,,8,6,,2,9,,1948,1864,,1130,654,1570,.417,253,683,.370,303,457,.663,258,944,360,182,59,336,395
33,Brigham Young_2021,27,20,7,.741,15.34,7.38,,10,3,,11,2,,7,2,,2109,1853,,1095,669,1627,.411,188,570,.330,327,480,.681,239,876,312,169,54,306,500
34,Brown_2021,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
35,Bryant_2021,22,15,7,.682,-1.34,-7.25,,10,4,,10,1,,5,5,,1843,1664,,880,609,1480,.411,164,570,.288,282,400,.705,279,849,325,160,81,302,420
36,Bucknell_2021,12,5,7,.417,-7.76,-5.34,,4,6,,2,3,,3,4,,899,928,,480,334,763,.438,89,247,.360,171,223,.767,128,443,184,84,38,138,210
37,Buffalo_2021,25,16,9,.640,6.55,-1.53,,12,5,,8,3,,5,3,,2034,1823,,1010,663,1600,.414,151,527,.287,346,452,.765,265,890,326,161,76,327,426
38,Butler_2021,25,10,15,.400,4.76,9.92,,8,12,,8,4,,1,9,,1588,1717,,1015,633,1362,.465,179,512,.350,272,388,.701,194,848,345,128,92,307,418
39,Cal Poly_2021,24,4,20,.167,-13.44,-1.40,,1,15,,3,8,,0,11,,1477,1700,,965,597,1358,.440,161,456,.353,345,487,.708,239,899,309,174,76,308,413
40,Cal State Bakersfield_2021,26,15,11,.577,0.03,-2.22,,11,7,,9,2,,6,8,,1811,1665,,1045,556,1303,.427,183,534,.343,370,524,.706,209,746,313,151,75,369,419
41,Cal State Fullerton_2021,16,6,10,.375,-6.15,-2.89,,5,9,,5,4,,1,5,,1232,1257,,645,467,982,.476,133,339,.392,190,268,.709,158,579,269,109,53,222,306
42,Cal State Northridge_2021,22,9,13,.409,-8.55,-1.84,,5,9,,4,7,,4,4,,1586,1709,,885,601,1284,.468,184,514,.358,323,425,.760,211,824,329,131,52,291,397
45,California Baptist_2021,23,13,10,.565,-5.18,-4.97,,6,6,,11,4,,2,5,,1820,1674,,925,600,1359,.442,157,451,.348,317,482,.658,213,754,316,147,53,275,437
46,UC-Davis_2021,18,10,8,.556,-5.68,-4.09,,7,5,,4,3,,4,3,,1295,1289,,735,448,962,.466,118,337,.350,275,385,.714,155,597,238,112,61,307,358
47,UC-Irvine_2021,27,18,9,.667,3.64,-0.68,,13,4,,10,1,,6,6,,1950,1712,,1090,603,1559,.387,204,624,.327,302,430,.702,236,862,333,190,64,358,459
