,TeamID,School
0,1101,Abilene Chr
1,1102,Air Force
2,1103,Akron
3,1104,Alabama
4,1105,Alabama A&M
5,1106,Alabama State
6,1107,Albany (NY)
7,1108,Alcorn State
8,1109,Alliant Intl
9,1110,American Univ
10,1111,Appalachian State
11,1112,Arizona
12,1113,Arizona State
13,1114,Little Rock
14,1115,Arkansas-Pine Bluff
15,1116,Arkansas
16,1117,Arkansas State
17,1118,Armstrong State
18,1119,Army
19,1120,Auburn
20,1121,Augusta
21,1122,Austin Peay
22,1123,Ball State
23,1124,Baylor
24,1125,Belmont
25,1126,Bethune-Cookman
26,1127,Binghamton
27,1128,Birmingham So
28,1129,Boise State
29,1130,Boston College
30,1131,Boston University
31,1132,Bowling Green State
32,1133,Bradley
33,1134,Brooklyn
34,1135,Brown
35,1136,Bryant
36,1137,Bucknell
37,1138,Buffalo
38,1139,Butler
39,1140,Brigham Young
40,1141,C Michigan
41,1142,Cal Poly
42,1143,California
43,1144,Campbell
44,1145,Canisius
45,1146,Cent Arkansas
46,1147,Centenary
47,1148,Central Conn
48,1149,Charleston So
49,1150,Charlotte
50,1151,Chattanooga
51,1152,Chicago State
52,1153,Cincinnati
53,1154,Citadel
54,1155,Clemson
55,1156,Cleveland State
56,1157,Coastal Car
57,1158,Col Charleston
58,1159,Colgate
59,1160,Colorado
60,1161,Colorado State
61,1162,Columbia
62,1163,Connecticut
63,1164,Coppin State
64,1165,Cornell
65,1166,Creighton
66,1167,CS Bakersfield
67,1168,Cal State Fullerton
68,1169,Cal State Northridge
69,1170,Cal State Sacramento
70,1171,Dartmouth
71,1172,Davidson
72,1173,Dayton
73,1174,Delaware
74,1175,Delaware State
75,1176,Denver
76,1177,DePaul
77,1178,Detroit
78,1179,Drake
79,1180,Drexel
80,1181,Duke
81,1182,Duquesne
82,1183,E Illinois
83,1184,E Kentucky
84,1185,E Michigan
85,1186,E Washington
86,1187,East Carolina
87,1188,SIUE
88,1189,Elon
89,1190,ETSU
90,1191,Evansville
91,1192,F Dickinson
92,1193,Fairfield
93,1194,FL Atlantic
94,1195,FL Gulf Coast
95,1196,Florida
96,1197,Florida A&M
97,1198,Florida Intl
98,1199,Florida State
99,1200,Fordham
100,1201,Fresno State
101,1202,Furman
102,1203,G Washington
103,1204,Ga Southern
104,1205,Gardner Webb
105,1206,George Mason
106,1207,Georgetown
107,1208,Georgia
108,1209,Georgia State
109,1210,Georgia Tech
110,1211,Gonzaga
111,1212,Grambling
112,1213,Grand Canyon
113,1214,Hampton
114,1215,Hardin-Simmons
115,1216,Hartford
116,1217,Harvard
117,1218,Hawaii
118,1219,High Point
119,1220,Hofstra
120,1221,Holy Cross
121,1222,Houston
122,1223,Houston Bap
123,1224,Howard
124,1225,Idaho
125,1226,Idaho State
126,1227,IL Chicago
127,1228,Illinois
128,1229,Illinois State
129,1230,Incarnate Word
130,1231,Indiana
131,1232,Indiana State
132,1233,Iona
133,1234,Iowa
134,1235,Iowa State
135,1236,PFW
136,1237,IUPUI
137,1238,Jackson State
138,1239,Jacksonville
139,1240,Jacksonville State
140,1241,James Madison
141,1242,Kansas
142,1243,Kansas State
143,1244,Kennesaw
144,1245,Kent
145,1246,Kentucky
146,1247,La Salle
147,1248,Lafayette
148,1249,Lamar
149,1250,Lehigh
150,1251,Liberty
151,1252,Lipscomb
152,1253,Long Beach State
153,1254,LIU Brooklyn
154,1255,Longwood
155,1256,Louisiana Tech
156,1257,Louisville
157,1258,Loy Marymount
158,1259,Loyola MD
159,1260,Loyola-Chicago
160,1261,LSU
161,1262,MA Lowell
162,1263,Maine
163,1264,Manhattan
164,1265,Marist
165,1266,Marquette
166,1267,Marshall
167,1268,Maryland
168,1269,Massachusetts
169,1270,McNeese State
170,1271,MD E Shore
171,1272,Memphis
172,1273,Mercer
173,1274,Miami FL
174,1275,Miami OH
175,1276,Michigan
176,1277,Michigan State
177,1278,Minnesota
178,1279,Mississippi
179,1280,Mississippi State
180,1281,Missouri
181,1282,Missouri KC
182,1283,Missouri State
183,1284,Monmouth NJ
184,1285,Montana
185,1286,Montana State
186,1287,Morehead State
187,1288,Morgan State
188,1289,Morris Brown
189,1290,MS Valley State
190,1291,Mt State Mary's
191,1292,MTSU
192,1293,Murray State
193,1294,N Colorado
194,1295,N Dakota State
195,1296,N Illinois
196,1297,N Kentucky
197,1298,Navy
198,1299,NC A&T
199,1300,NC Central
200,1301,NC State
201,1302,NE Illinois
202,1303,NE Omaha
203,1304,Nebraska
204,1305,Nevada
205,1306,New Hampshire
206,1307,New Mexico
207,1308,New Mexico State
208,1309,New Orleans
209,1310,Niagara
210,1311,Nicholls State
211,1312,NJIT
212,1313,Norfolk State
213,1314,North Carolina
214,1315,North Dakota
215,1316,North Florida
216,1317,North Texas
217,1318,Northeastern
218,1319,Northern Arizona
219,1320,Northern Iowa
220,1321,Northwestern
221,1322,Northwestern LA
222,1323,Notre Dame
223,1324,Oakland
224,1325,Ohio
225,1326,Ohio State
226,1327,Okla City
227,1328,Oklahoma
228,1329,Oklahoma State
229,1330,Old Dominion
230,1331,Oral Roberts
231,1332,Oregon
232,1333,Oregon State
233,1334,Pacific
234,1335,Penn
235,1336,Penn State
236,1337,Pepperdine
237,1338,Pittsburgh
238,1339,Portland
239,1340,Portland State
240,1341,Prairie View
241,1342,Presbyterian
242,1343,Princeton
243,1344,Providence
244,1345,Purdue
245,1346,Quinnipiac
246,1347,Radford
247,1348,Rhode Island
248,1349,Rice
249,1350,Richmond
250,1351,Rider
251,1352,Robert Morris
252,1353,Rutgers
253,1354,S Carolina State
254,1355,S Dakota State
255,1356,S Illinois
256,1357,Sacred Heart
257,1358,Sam Houston State
258,1359,Samford
259,1360,San Diego
260,1361,San Diego State
261,1362,San Francisco
262,1363,San Jose State
263,1364,UC Santa Barbara
264,1365,Santa Clara
265,1366,Savannah State
266,1367,SC Upstate
267,1368,SE Louisiana
268,1369,SE Missouri State
269,1370,Seattle
270,1371,Seton Hall
271,1372,SF Austin
272,1373,Siena
273,1374,SMU
274,1375,South Alabama
275,1376,South Carolina
276,1377,South Dakota
277,1378,South Florida
278,1379,Southern Miss
279,1380,Southern Univ
280,1381,Southern Utah
281,1382,St Bonaventure
282,1383,St Francis NY
283,1384,St Francis PA
284,1385,St John's
285,1386,St Joseph's PA
286,1387,St Louis
287,1388,St Mary's CA
288,1389,St Peter's
289,1390,Stanford
290,1391,Stetson
291,1392,Stony Brook
292,1393,Syracuse
293,1394,TAM C. Christi
294,1395,TCU
295,1396,Temple
296,1397,Tennessee
297,1398,Tennessee State
298,1399,Tennessee Tech
299,1400,Texas
300,1401,Texas A&M
301,1402,Texas State
302,1403,Texas Tech
303,1404,TN Martin
304,1405,Toledo
305,1406,Towson
306,1407,Troy
307,1408,Tulane
308,1409,Tulsa
309,1410,UTRGV
310,1411,TX Southern
311,1412,UAB
312,1413,UC-Davis
313,1414,UC-Irvine
314,1415,UC-Riverside
315,1416,UCF
316,1417,UCLA
317,1418,Louisiana
318,1419,ULM
319,1420,UMBC
320,1421,UNC Asheville
321,1422,UNC Greensboro
322,1423,UNC Wilmington
323,1424,UNLV
324,1425,USC
325,1426,UT Arlington
326,1427,UT San Antonio
327,1428,Utah
328,1429,Utah State
329,1430,Utah Valley
330,1431,UTEP
331,1432,Utica
332,1433,VCU
333,1434,Valparaiso
334,1435,Vanderbilt
335,1436,Vermont
336,1437,Villanova
337,1438,Virginia
338,1439,Virginia Tech
339,1440,VMI
340,1441,W Carolina
341,1442,W Illinois
342,1443,WKU
343,1444,W Michigan
344,1445,W Salem State
345,1446,W Texas A&M
346,1447,Wagner
347,1448,Wake Forest
348,1449,Washington
349,1450,Washington State
350,1451,Weber State
351,1452,West Virginia
352,1453,WI Green Bay
353,1454,WI Milwaukee
354,1455,Wichita State
355,1456,William & Mary
356,1457,Winthrop
357,1458,Wisconsin
358,1459,Wofford
359,1460,Wright State
360,1461,Wyoming
361,1462,Xavier
362,1463,Yale
363,1464,Youngstown State
364,1465,Cal Baptist
365,1466,North Alabama
366,1467,Merrimack
367,1468,Bellarmine
368,1469,Dixie State
369,1470,Tarleton State
370,1471,UC San Diego
