,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian_2021,29,24,5,.828,6.26,-6.39,,13,2,,13,0,,5,4,,2196,1753,,1160,601,1488,.404,161,520,.310,390,573,.681,263,985,299,189,110,578,580
7,Alabama_2021,33,26,7,.788,19.57,9.99,,16,2,,12,1,,7,3,,2629,2313,,1325,837,2053,.408,205,704,.291,434,630,.689,378,1254,368,261,161,506,599
11,Appalachian State_2021,29,17,12,.586,-5.85,-5.73,,7,8,,9,4,,4,7,,2039,1860,,1185,689,1648,.418,202,622,.325,280,394,.711,269,1020,346,164,125,405,507
17,Arkansas_2021,32,25,7,.781,17.75,7.13,,13,4,,16,1,,5,4,,2604,2264,,1285,813,1958,.415,248,738,.336,390,568,.687,313,1144,393,209,116,483,607
24,Baylor_2021,29,27,2,.931,24.12,6.64,,13,1,,11,0,,7,1,,2401,1894,,1165,686,1593,.431,180,546,.330,342,493,.694,297,929,352,163,120,496,476
33,Brigham Young_2021,27,20,7,.741,15.39,7.43,,10,3,,11,2,,7,2,,2109,1853,,1095,669,1627,.411,188,570,.330,327,480,.681,239,876,312,169,54,306,500
50,UC-Santa Barbara_2021,27,22,5,.815,7.97,-1.91,,15,3,,11,0,,8,4,,2051,1696,,1090,623,1480,.421,157,475,.331,293,393,.746,202,803,288,124,58,373,479
64,Clemson_2021,24,16,8,.667,12.49,9.49,,10,6,,11,1,,2,5,,1558,1486,,965,529,1265,.418,173,518,.334,255,366,.697,212,787,269,157,74,338,366
67,Cleveland State_2021,27,19,8,.704,-5.13,-4.83,,16,4,,9,2,,8,5,,1914,1922,,1105,651,1532,.425,199,649,.307,421,576,.731,309,956,342,173,78,373,449
69,Colgate_2021,16,14,2,.875,13.65,-1.91,,11,1,,8,1,,6,0,,1363,1114,,645,417,1016,.410,97,368,.264,183,267,.685,164,560,177,88,46,191,282
72,Colorado_2021,32,23,9,.719,18.93,9.62,,14,6,,11,1,,6,6,,2340,2042,,1280,734,1745,.421,204,612,.333,370,507,.730,270,979,358,152,93,420,529
74,Connecticut_2021,23,15,8,.652,15.77,8.59,,11,6,,7,3,,6,3,,1650,1485,,925,514,1243,.414,134,414,.324,323,457,.707,233,762,242,125,63,299,392
77,Creighton_2021,31,22,9,.710,16.30,8.56,,14,6,,11,3,,7,4,,2355,2115,,1250,771,1889,.408,235,742,.317,338,482,.701,330,1137,406,172,87,389,496
89,Drake_2021,31,26,5,.839,9.41,-0.48,,15,3,,14,1,,9,2,,2354,1999,,1250,725,1718,.422,193,618,.312,356,495,.719,266,967,336,170,97,392,437
90,Drexel_2021,20,12,8,.600,-0.98,-3.93,,4,5,,3,2,,4,5,,1407,1348,,800,504,1124,.448,119,372,.320,221,297,.744,158,596,214,123,63,210,306
98,Eastern Washington_2021,24,16,8,.667,4.12,-3.06,,12,3,,7,2,,6,5,,1879,1690,,960,617,1479,.417,166,529,.314,290,401,.723,229,826,278,138,53,279,438
107,Florida State_2021,25,18,7,.720,17.12,9.16,,11,4,,12,1,,3,4,,1929,1730,,1010,582,1465,.397,188,579,.325,378,515,.734,290,826,299,174,69,344,415
108,Florida_2021,25,15,10,.600,13.68,9.80,,9,7,,6,3,,5,5,,1854,1757,,1005,616,1458,.422,162,528,.307,363,512,.709,276,831,316,189,83,357,444
