,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
10,Arizona_1997,34,25,9,.735,21.60,10.98,,11,7,,,,,,,,2852,2491,,,1016,2241,.453,222,600,.370,598,913,.655,562,1377,567,358,100,521,654
23,Boston College_1997,31,22,9,.710,11.94,6.71,,12,6,,,,,,,,2305,2143,,,780,1724,.452,190,512,.371,555,790,.703,430,1194,408,240,87,473,568
24,Boston University_1997,30,25,5,.833,2.53,-2.84,,17,1,,,,,,,,2020,1859,,,725,1676,.433,166,555,.299,404,600,.673,318,1105,446,227,136,431,543
31,Butler_1997,33,23,10,.697,7.62,-0.16,,12,4,,,,,,,,2297,2004,,,763,1702,.448,169,464,.364,602,901,.668,386,1186,432,210,123,480,657
37,University of California_1997,32,23,9,.719,17.25,10.03,,12,6,,,,,,,,2402,2171,,,871,1905,.457,142,436,.326,518,771,.672,450,1216,520,271,135,526,588
46,Charleston Southern_1997,30,17,13,.567,-6.93,-6.58,,7,7,,,,,,,,2151,2102,,,739,1730,.427,199,570,.349,474,681,.696,349,1077,466,226,91,428,641
47,Charlotte_1997,31,22,9,.710,10.77,5.18,,10,4,,,,,,,,2217,2044,,,768,1838,.418,182,532,.342,499,677,.737,442,1181,441,211,118,396,499
48,Chattanooga_1997,35,24,11,.686,2.60,-5.21,,11,3,,,,,,,,2680,2281,,,942,2034,.463,217,650,.334,579,839,.690,535,1351,532,288,83,492,614
50,Cincinnati_1997,34,26,8,.765,20.64,5.44,,12,2,,,,,,,,2743,2226,,,962,1938,.496,184,555,.332,635,924,.687,514,1357,525,264,100,523,716
52,Clemson_1997,33,23,10,.697,17.41,10.72,,9,7,,,,,,,,2249,2028,,,774,1746,.443,158,509,.310,543,799,.680,431,1155,458,228,85,422,633
56,College of Charleston_1997,32,29,3,.906,5.85,-6.85,,16,0,,,,,,,,2504,2108,,,937,1911,.490,112,309,.362,518,766,.676,423,1145,519,293,146,425,544
58,Colorado_1997,32,22,10,.688,9.74,6.24,,11,5,,,,,,,,2340,2228,,,823,1949,.422,147,406,.362,547,803,.681,430,1249,469,258,177,441,644
61,Coppin State_1997,31,22,9,.710,-1.22,-7.80,,15,3,,,,,,,,2453,2249,,,838,1806,.464,171,513,.333,606,823,.736,364,1104,390,288,103,521,640
75,Duke_1997,33,24,9,.727,22.72,9.27,,12,4,,,,,,,,2629,2185,,,895,1938,.462,278,714,.389,561,801,.700,417,1117,473,280,131,423,625
84,Fairfield_1997,30,11,19,.367,-5.11,-2.31,,2,12,,,,,,,,1991,2075,,,690,1609,.429,165,497,.332,446,730,.611,386,1065,388,219,107,494,613
98,Georgetown_1997,30,20,10,.667,10.88,5.85,,11,7,,,,,,,,2083,1886,,,772,1935,.399,117,392,.298,422,707,.597,559,1348,378,300,195,488,604
