,School_opp,G_opp,W_opp,L_opp,W-L%_opp,SRS_opp,SOS_opp, _opp,W_opp,L_opp, _opp,W_opp,L_opp, _opp,W_opp,L_opp, _opp,Tm._opp,Opp._opp, _opp,MP_opp,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
14,Arkansas-Pine Bluff_2010,34,18,16,.529,-8.29,-7.68,,14,4,,8,1,,5,14,,2166,2187,,1380,698,1720,.406,170,528,.322,621,938,.662,321,1086,392,261,149,473,707
23,Baylor_2010,36,28,8,.778,17.97,8.03,,11,5,,15,1,,6,4,,2771,2362,,1450,816,2136,.382,249,749,.332,481,708,.679,470,1178,471,217,85,435,660
32,Brigham Young_2010,36,30,6,.833,18.82,3.00,,13,3,,15,1,,10,4,,2992,2392,,1450,836,2049,.408,220,661,.333,500,733,.682,372,1181,445,217,105,565,668
37,Butler_2010,38,33,5,.868,14.37,5.08,,18,0,,15,0,,12,1,,2611,2258,,1525,805,1936,.416,194,612,.317,454,669,.679,335,1142,407,200,120,529,779
47,UC-Santa Barbara_2010,30,20,10,.667,-0.13,-1.09,,12,4,,11,2,,6,7,,2028,1972,,1205,671,1611,.417,198,642,.308,432,647,.668,341,1051,386,215,84,458,602
48,University of California_2010,35,24,11,.686,17.29,8.26,,13,5,,15,1,,6,6,,2703,2387,,1405,866,1993,.435,195,618,.316,460,663,.694,381,1123,435,193,132,447,608
62,Clemson_2010,32,21,11,.656,15.71,7.90,,9,7,,14,2,,5,6,,2350,2065,,1280,746,1768,.422,148,503,.294,425,626,.679,381,1112,384,263,100,551,587
74,Cornell_2010,34,29,5,.853,8.76,-0.91,,13,1,,11,1,,13,3,,2596,2192,,1370,745,1777,.419,197,579,.340,467,658,.710,335,1042,391,217,97,463,561
86,Duke_2010,40,35,5,.875,25.21,9.21,,13,3,,17,0,,5,5,,3079,2441,,1600,884,2204,.401,158,559,.283,515,750,.687,468,1310,433,210,155,569,784
91,East Tennessee State_2010,35,20,15,.571,-0.83,-1.47,,13,7,,9,5,,9,9,,2424,2362,,1405,801,1917,.418,260,782,.332,500,756,.661,425,1250,463,257,131,582,672
104,Florida State_2010,32,22,10,.688,14.64,6.79,,10,6,,13,3,,6,5,,2183,1932,,1285,660,1751,.377,203,618,.328,409,609,.672,385,1044,312,254,78,513,595
105,Florida_2010,34,21,13,.618,11.89,7.16,,9,7,,13,4,,5,5,,2455,2258,,1375,841,1952,.431,209,643,.325,367,540,.680,396,1170,439,227,135,465,584
114,Georgetown_2010,34,23,11,.676,17.03,9.56,,10,8,,12,4,,6,5,,2500,2246,,1360,788,1890,.417,216,646,.334,454,632,.718,380,1053,447,246,132,445,627
117,Georgia Tech_2010,36,23,13,.639,14.11,9.02,,7,9,,14,2,,3,8,,2621,2365,,1445,818,2129,.384,240,762,.315,489,734,.666,482,1259,472,284,113,547,687
119,Gonzaga_2010,34,27,7,.794,12.11,3.83,,12,2,,14,1,,6,3,,2614,2291,,1375,818,2006,.408,216,655,.330,439,677,.648,377,1134,416,224,98,442,724
130,Houston_2010,35,19,16,.543,6.74,3.48,,7,9,,10,5,,4,9,,2751,2624,,1410,929,2016,.461,197,594,.332,569,797,.714,469,1480,470,158,119,585,644
150,Kansas State_2010,37,29,8,.784,19.88,10.28,,11,5,,13,3,,7,2,,2949,2584,,1500,853,2037,.419,209,615,.340,669,955,.701,451,1277,440,256,124,624,894
151,Kansas_2010,36,33,3,.917,24.68,8.25,,15,1,,18,0,,9,2,,2937,2312,,1450,811,2142,.379,229,691,.331,461,672,.686,460,1211,447,234,133,502,719
156,Kentucky_2010,38,35,3,.921,21.13,6.82,,14,2,,18,0,,7,2,,3012,2468,,1535,875,2314,.378,245,783,.313,473,688,.688,488,1277,418,261,119,531,795
160,Lehigh_2010,33,22,11,.667,-3.33,-7.79,,10,4,,15,2,,7,8,,2478,2331,,1330,834,1954,.427,236,681,.347,427,603,.708,360,1159,478,219,113,451,676
170,Louisville_2010,33,20,13,.606,14.08,7.99,,11,7,,15,4,,4,7,,2505,2304,,1335,786,1833,.429,205,590,.347,527,751,.702,432,1156,444,217,70,505,645
179,Marquette_2010,34,22,12,.647,15.17,8.23,,11,7,,13,4,,6,5,,2485,2198,,1380,828,1841,.450,173,532,.325,369,542,.681,358,1116,467,191,126,488,584
183,Maryland_2010,33,24,9,.727,17.75,7.95,,13,3,,15,1,,7,3,,2629,2254,,1335,808,2052,.394,221,650,.340,417,602,.693,490,1252,384,185,116,499,613
190,Michigan State_2010,37,28,9,.757,15.33,8.17,,14,4,,15,2,,8,4,,2658,2361,,1485,829,2043,.406,248,755,.328,455,642,.709,373,1109,462,243,94,459,651
194,Minnesota_2010,35,21,14,.600,15.64,7.32,,9,9,,14,3,,4,7,,2533,2242,,1415,779,1946,.400,250,734,.341,434,638,.680,413,1178,459,230,92,496,614
202,Missouri_2010,34,23,11,.676,17.39,6.36,,10,6,,16,2,,4,6,,2627,2252,,1370,775,1890,.410,185,584,.317,517,736,.702,468,1298,382,204,105,659,641
205,Montana_2010,32,22,10,.688,3.93,-2.35,,10,6,,14,2,,7,7,,2228,1960,,1280,690,1654,.417,181,503,.360,399,609,.655,318,961,319,180,82,404,564
207,Morgan State_2010,37,27,10,.730,-1.18,-6.15,,15,1,,11,1,,12,7,,2813,2606,,1500,902,2134,.423,180,553,.325,622,921,.675,488,1351,430,218,154,529,757
209,Murray State_2010,36,31,5,.861,8.69,-3.89,,17,1,,15,0,,11,4,,2753,2175,,1440,761,1967,.387,195,586,.333,458,660,.694,424,1091,400,234,98,603,670
212,Nevada-Las Vegas_2010,34,25,9,.735,12.57,4.82,,11,5,,15,4,,9,3,,2485,2168,,1370,693,1738,.399,197,594,.332,585,827,.707,360,1172,352,163,91,535,597
215,New Mexico State_2010,34,22,12,.647,2.06,1.66,,11,5,,12,3,,7,8,,2662,2639,,1360,954,2127,.449,262,735,.356,469,680,.690,441,1282,551,192,87,452,640
216,New Mexico_2010,35,30,5,.857,12.49,3.84,,14,2,,17,1,,10,2,,2655,2352,,1410,823,1922,.428,255,765,.333,451,673,.670,331,1165,467,196,97,475,788
234,North Texas_2010,33,24,9,.727,-2.49,-4.72,,13,5,,12,2,,9,6,,2437,2303,,1340,846,1953,.433,169,522,.324,442,627,.705,366,1094,373,238,133,420,744
239,Northern Iowa_2010,35,30,5,.857,12.03,4.27,,15,3,,14,0,,9,3,,2216,1929,,1400,693,1705,.406,204,613,.333,339,491,.690,292,1042,313,163,69,425,646
244,Notre Dame_2010,35,23,12,.657,13.14,6.22,,10,8,,17,3,,3,6,,2635,2393,,1415,873,2008,.435,233,668,.349,414,558,.742,372,1128,487,209,117,361,633
245,Oakland_2010,35,26,9,.743,-0.64,-2.96,,17,1,,13,1,,10,7,,2676,2504,,1400,935,2065,.453,190,556,.342,444,661,.672,381,1174,451,241,117,461,718
246,Ohio State_2010,37,29,8,.784,19.49,7.37,,14,4,,17,1,,6,5,,2740,2274,,1490,826,2015,.410,245,727,.337,377,531,.710,373,1174,461,199,75,529,673
247,Ohio_2010,37,22,15,.595,4.56,-0.03,,7,9,,13,4,,5,9,,2763,2569,,1510,905,2165,.418,222,711,.312,537,767,.700,472,1397,515,214,130,566,746
248,Oklahoma State_2010,33,22,11,.667,12.34,6.97,,9,7,,15,1,,3,7,,2437,2243,,1325,770,1835,.420,227,628,.361,476,682,.698,326,1122,380,189,97,440,618
250,Old Dominion_2010,36,27,9,.750,11.39,1.78,,15,3,,15,0,,9,6,,2415,2069,,1445,752,1867,.403,196,653,.300,369,555,.665,369,1102,402,231,129,509,615
