"","X","Team","FG","FGA","X3P","FT","FTA","ORB","DRB","TOV","Opp.FG","Opp.FGA","Opp.3P","Opp.FT","Opp.FTA","Opp.ORB","Opp.DRB","Opp.TOV","Win.","eFG","OeFG","TOVp","oTOVp","ORBp","DRBp","FTp","oFTp"
"1",15,"schreiner",23,53,8,5,11,5,22,14,27,64,9,10,15,15,26,11,0,0.509,0.492,0.178,0.122,0.161,0.458,0.094,0.094
"2",12,"abilene-christian",27,64,9,10,15,15,26,11,23,53,8,5,11,5,22,14,1,0.492,0.509,0.122,0.178,0.405,0.542,0.156,0.156
"3",18,"mcpherson",27,63,12,5,9,11,18,10,28,50,8,24,34,4,26,6,0,0.524,0.64,0.121,0.066,0.297,0.409,0.079,0.079
"4",19,"air-force",28,50,8,24,34,4,26,6,27,63,12,5,9,11,18,10,1,0.64,0.524,0.066,0.121,0.182,0.591,0.48,0.48
"5",121,"coastal-carolina",17,62,9,10,16,10,21,13,21,48,10,18,26,7,29,11,0,0.347,0.542,0.142,0.129,0.256,0.42,0.161,0.161
"6",14,"alabama",21,48,10,18,26,7,29,11,17,62,9,10,16,10,21,13,1,0.542,0.347,0.129,0.142,0.25,0.58,0.375,0.375
"7",13,"arkansas-pine-bluff",22,62,10,12,17,11,16,17,25,53,3,33,43,11,30,15,0,0.435,0.5,0.176,0.135,0.268,0.348,0.194,0.194
"8",141,"alabama-birmingham",25,53,3,33,43,11,30,15,22,62,10,12,17,11,16,17,1,0.5,0.435,0.135,0.176,0.407,0.652,0.623,0.623
"9",16,"portland-state",26,67,6,12,15,8,21,14,33,67,9,13,18,11,29,16,0,0.433,0.56,0.145,0.158,0.216,0.42,0.179,0.179
"10",142,"arizona-state",33,67,9,13,18,11,29,16,26,67,6,12,15,8,21,14,1,0.56,0.433,0.158,0.145,0.344,0.58,0.194,0.194
"11",132,"ipfw",25,69,9,24,40,19,21,12,35,66,6,16,24,8,29,13,0,0.428,0.576,0.099,0.126,0.396,0.42,0.348,0.348
"12",131,"arkansas",35,66,6,16,24,8,29,13,25,69,9,24,40,19,21,12,1,0.576,0.428,0.126,0.099,0.276,0.58,0.242,0.242
"13",143,"north-florida",22,57,6,16,24,12,25,28,25,60,13,20,31,9,24,17,0,0.439,0.525,0.256,0.157,0.333,0.51,0.281,0.281
"14",133,"auburn",25,60,13,20,31,9,24,17,22,57,6,16,24,12,25,28,1,0.525,0.439,0.157,0.256,0.265,0.49,0.333,0.333
"15",122,"oral-roberts",24,58,3,10,14,8,22,14,24,54,10,18,26,9,26,11,0,0.44,0.537,0.162,0.12,0.235,0.458,0.172,0.172
"16",1211,"baylor",24,54,10,18,26,9,26,11,24,58,3,10,14,8,22,14,1,0.537,0.44,0.12,0.162,0.29,0.542,0.333,0.333
"17",144,"cornell",22,63,4,14,20,9,34,12,23,58,7,15,23,4,29,10,0,0.381,0.457,0.126,0.109,0.237,0.54,0.222,0.222
"18",1411,"binghamton",23,58,7,15,23,4,29,10,22,63,4,14,20,9,34,12,1,0.457,0.381,0.109,0.126,0.105,0.46,0.259,0.259
"19",123,"nicholls-state",30,61,5,14,25,7,23,9,26,52,9,12,23,5,25,16,1,0.533,0.587,0.094,0.175,0.219,0.479,0.23,0.23
"20",134,"boston-college",26,52,9,12,23,5,25,16,30,61,5,14,25,7,23,9,0,0.587,0.533,0.175,0.094,0.179,0.521,0.231,0.231
"21",17,"illinois-springfield",20,58,3,12,14,9,32,24,26,55,9,9,18,6,26,17,0,0.371,0.555,0.249,0.188,0.257,0.552,0.207,0.207
"22",151,"bradley",26,55,9,9,18,6,26,17,20,58,3,12,14,9,32,24,1,0.555,0.371,0.188,0.249,0.158,0.448,0.164,0.164
"23",145,"manhattan",22,62,8,12,19,18,23,23,25,52,7,19,32,7,22,15,0,0.419,0.548,0.22,0.151,0.45,0.511,0.194,0.194
"24",1412,"bucknell",25,52,7,19,32,7,22,15,22,62,8,12,19,18,23,23,1,0.548,0.419,0.151,0.22,0.233,0.489,0.365,0.365
"25",181,"cal-tech",12,55,4,0,3,4,20,20,28,52,7,14,21,7,37,15,0,0.255,0.606,0.255,0.17,0.098,0.351,0,0
