Year,Team,Team 1,win
2010,Kansas,Lehigh,True
2010,Ohio St,Santa Barbara,True
2010,Georgetown,Ohio,False
2010,Maryland,Houston,True
2010,Michigan St,New Mexico St,True
2010,Tennessee,San Diego St,True
2010,Oklahoma St,Georgia Tech,False
2010,UNLV,Northern Iowa,False
2010,Syracuse,Vermont,True
2010,Kansas St,North Texas,True
2010,Pittsburgh,Oakland,True
2010,Vanderbilt,Murray St,False
2010,Butler,UTEP,True
2010,Xavier,Minnesota,True
2010,BYU,Florida,True
2010,Gonzaga,Florida St,True
2010,Kentucky,East Tennessee St,True
2010,West Virginia,Morgan St,True
2010,New Mexico,Montana,True
2010,Wisconsin,Wofford,True
2010,Temple,Cornell,False
2010,Marquette,Washington,False
2010,Clemson,Missouri,False
2010,Texas,Wake Forest,False
2010,Duke,Arkansas Pine Bluff,True
2010,Villanova,Robert Morris,True
2010,Baylor,Sam Houston St,True
2010,Purdue,Siena,True
2010,Texas A&M,Utah St,True
2010,Notre Dame,Old Dominion,False
2010,Richmond,St Marys,False
2010,California,Louisville,True
2010,Kansas,Northern Iowa,False
2010,Ohio St,Georgia Tech,True
2010,Ohio,Tennessee,False
2010,Maryland,Michigan St,False
2010,Syracuse,Gonzaga,True
2010,Kansas St,BYU,True
2010,Pittsburgh,Xavier,False
2010,Murray St,Butler,False
2010,Kentucky,Wake Forest,True
2010,West Virginia,Missouri,True
2010,New Mexico,Washington,False
2010,Wisconsin,Cornell,False
2010,Duke,California,True
2010,Villanova,St Marys,False
2010,Baylor,Old Dominion,True
2010,Purdue,Texas A&M,True
2010,Northern Iowa,Michigan St,False
2010,Ohio St,Tennessee,False
2010,Syracuse,Butler,False
2010,Kansas St,Xavier,True
2010,Kentucky,Cornell,True
2010,West Virginia,Washington,True
2010,Duke,Purdue,True
2010,St Marys,Baylor,False
2010,Michigan St,Tennessee,True
2010,Butler,Kansas St,True
2010,Kentucky,West Virginia,False
2010,Duke,Baylor,True
2010,Michigan St,Butler,False
2010,West Virginia,Duke,False
2010,Butler,Duke,False
2011,Ohio St,Texas San Antonio,True
2011,North Carolina,Long Island Brooklyn,True
2011,Syracuse,Indiana St,True
2011,Kentucky,Princeton,True
2011,West Virginia,Clemson,True
2011,Xavier,Marquette,False
2011,Washington,Georgia,True
2011,George Mason,Villanova,True
2011,Duke,Hampton,True
2011,San Diego St,Northern Colorado,True
2011,Connecticut,Bucknell,True
2011,Texas,Oakland,True
2011,Arizona,Memphis,True
2011,Cincinnati,Missouri,True
2011,Temple,Penn St,True
2011,Michigan,Tennessee,True
2011,Kansas,Boston University,True
2011,Notre Dame,Akron,True
2011,Purdue,St Peters,True
2011,Louisville,Morehead St,False
2011,Vanderbilt,Richmond,False
2011,Georgetown,VCU,False
2011,Texas A&M,Florida St,False
2011,UNLV,Illinois,False
2011,Pittsburgh,UNC Asheville,True
2011,Florida,Santa Barbara,True
2011,BYU,Wofford,True
2011,Wisconsin,Belmont,True
2011,Kansas St,Utah St,True
2011,St Johns,Gonzaga,False
2011,UCLA,Michigan St,True
2011,Butler,Old Dominion,True
2011,Ohio St,George Mason,True
2011,North Carolina,Washington,True
2011,Syracuse,Marquette,False
2011,Kentucky,West Virginia,True
2011,Duke,Michigan,True
2011,San Diego St,Temple,True
2011,Connecticut,Cincinnati,True
2011,Texas,Arizona,False
2011,Kansas,Illinois,True
2011,Notre Dame,Florida St,False
2011,Purdue,VCU,False
2011,Morehead St,Richmond,False
2011,Pittsburgh,Butler,False
2011,Florida,UCLA,True
2011,BYU,Gonzaga,True
2011,Wisconsin,Kansas St,True
2011,Ohio St,Kentucky,False
2011,North Carolina,Marquette,True
2011,Duke,Arizona,False
2011,San Diego St,Connecticut,False
2011,Kansas,Richmond,True
2011,Florida St,VCU,False
2011,Butler,Wisconsin,True
2011,Florida,BYU,True
2011,Kentucky,North Carolina,True
2011,Arizona,Connecticut,False
2011,Kansas,VCU,False
2011,Butler,Florida,True
2011,Kentucky,Connecticut,False
2011,VCU,Butler,False
2011,Connecticut,Butler,True
2012,Kentucky,Western Kentucky,True
2012,Duke,Lehigh,False
2012,Baylor,South Dakota St,True
2012,Indiana,New Mexico St,True
2012,Wichita St,VCU,False
2012,UNLV,Colorado,False
2012,Notre Dame,Xavier,False
2012,Iowa St,Connecticut,True
2012,Michigan St,Long Island Brooklyn,True
2012,Missouri,Norfolk St,False
2012,Marquette,BYU,True
2012,Louisville,Davidson,True
2012,New Mexico,Long Beach St,True
2012,Murray St,Colorado St,True
2012,Florida,Virginia,True
2012,Memphis,St Louis,False
2012,Syracuse,UNC Asheville,True
2012,Ohio St,Loyola Maryland,True
2012,Florida St,St Bonaventure,True
2012,Wisconsin,Montana,True
2012,Vanderbilt,Harvard,True
2012,Cincinnati,Texas,True
2012,Gonzaga,West Virginia,True
2012,Kansas St,Southern Mississippi,True
2012,North Carolina,Vermont,True
2012,Kansas,Detroit,True
2012,Georgetown,Belmont,True
2012,Michigan,Ohio,False
2012,Temple,South Florida,False
2012,San Diego St,NC State,False
2012,St Marys,Purdue,False
2012,Creighton,Alabama,True
2012,Kentucky,Iowa St,True
2012,Lehigh,Xavier,False
2012,Baylor,Colorado,True
2012,Indiana,VCU,True
2012,Michigan St,St Louis,True
2012,Norfolk St,Florida,False
2012,Marquette,Murray St,True
2012,Louisville,New Mexico,True
2012,Syracuse,Kansas St,True
2012,Ohio St,Gonzaga,True
2012,Florida St,Cincinnati,False
2012,Wisconsin,Vanderbilt,True
2012,North Carolina,Creighton,True
2012,Kansas,Purdue,True
2012,Georgetown,NC State,False
2012,Ohio,South Florida,True
2012,Kentucky,Indiana,True
2012,Xavier,Baylor,False
2012,Michigan St,Louisville,False
2012,Florida,Marquette,True
2012,Syracuse,Wisconsin,True
2012,Ohio St,Cincinnati,True
2012,North Carolina,Ohio,True
2012,Kansas,NC State,True
2012,Kentucky,Baylor,True
2012,Louisville,Florida,True
2012,Syracuse,Ohio St,False
2012,North Carolina,Kansas,False
2012,Kentucky,Louisville,True
2012,Ohio St,Kansas,False
2012,Kentucky,Kansas,True
2013,Louisville,North Carolina A&T,True
2013,Duke,Albany,True
2013,Michigan St,Valparaiso,True
2013,St Louis,New Mexico St,True
2013,Oklahoma St,Oregon,False
2013,Memphis,St Marys,True
2013,Creighton,Cincinnati,True
2013,Colorado St,Missouri,True
2013,Gonzaga,Southern,True
2013,Ohio St,Iona,True
2013,New Mexico,Harvard,False
2013,Kansas St,La Salle,False
2013,Wisconsin,Ole Miss,False
2013,Arizona,Belmont,True
2013,Notre Dame,Iowa St,False
2013,Pittsburgh,Wichita St,False
2013,Kansas,Western Kentucky,True
2013,Georgetown,Florida Gulf Coast,False
2013,Florida,Northwestern St,True
2013,Michigan,South Dakota St,True
2013,VCU,Akron,True
2013,UCLA,Minnesota,False
2013,San Diego St,Oklahoma,True
2013,North Carolina,Villanova,True
2013,Indiana,James Madison,True
2013,Miami,Pacific,True
2013,Marquette,Davidson,True
2013,Syracuse,Montana,True
2013,UNLV,California,False
2013,Butler,Bucknell,True
2013,Illinois,Colorado,True
2013,NC State,Temple,False
2013,Louisville,Colorado St,True
2013,Duke,Creighton,True
2013,Michigan St,Memphis,True
2013,St Louis,Oregon,False
2013,Gonzaga,Wichita St,False
2013,Ohio St,Iowa St,True
2013,Harvard,Arizona,False
2013,La Salle,Ole Miss,True
2013,Kansas,North Carolina,True
2013,Florida Gulf Coast,San Diego St,True
2013,Florida,Minnesota,True
2013,Michigan,VCU,True
2013,Indiana,Temple,True
2013,Miami,Illinois,True
2013,Marquette,Butler,True
2013,Syracuse,California,True
2013,Louisville,Oregon,True
2013,Duke,Michigan St,True
2013,Wichita St,La Salle,True
2013,Ohio St,Arizona,True
2013,Kansas,Michigan,False
2013,Florida Gulf Coast,Florida,False
2013,Indiana,Syracuse,False
2013,Miami,Marquette,False
2013,Louisville,Duke,True
2013,Wichita St,Ohio St,True
2013,Michigan,Florida,True
2013,Syracuse,Marquette,True
2013,Louisville,Wichita St,True
2013,Michigan,Syracuse,True
2013,Louisville,Michigan,True
2014,Florida,Albany,True
2014,Kansas,Eastern Kentucky,True
2014,Syracuse,Western Michigan,True
2014,UCLA,Tulsa,True
2014,VCU,Stephen F Austin,False
2014,Ohio St,Dayton,False
2014,New Mexico,Stanford,False
2014,Colorado,Pittsburgh,False
2014,Virginia,Coastal Carolina,True
2014,Villanova,Wisconsin Milwaukee,True
2014,Iowa St,North Carolina Central,True
2014,Michigan St,Delaware,True
2014,Cincinnati,Harvard,False
2014,North Carolina,Providence,True
2014,Connecticut,St Josephs,True
2014,Memphis,George Washington,True
2014,Arizona,Weber St,True
2014,Wisconsin,American,True
2014,Creighton,Louisiana Lafayette,True
2014,San Diego St,New Mexico St,True
2014,Oklahoma,North Dakota St,False
2014,Baylor,Nebraska,True
2014,Oregon,BYU,True
2014,Gonzaga,Oklahoma St,True
2014,Wichita St,Cal Poly,True
