Table Names-1,Table Names,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
2013.csv,,Akron 2013,852,1874,229,436,678,425,1145,458
2013.csv,,Albany (NY) 2013,761,1748,213,516,700,345,1022,468
2013.csv,,Arizona 2013,880,1933,269,541,722,393,1172,458
2013.csv,,Belmont 2013,906,1844,279,442,604,306,966,440
2013.csv,,Boise State 2013,824,1790,249,446,597,323,988,385
2013.csv,,Bucknell 2013,818,1807,157,484,652,308,1142,321
2013.csv,,Butler 2013,869,1931,239,518,744,419,1213,474
2013.csv,,University of California 2013,833,1875,134,418,585,361,1134,417
2013.csv,,Cincinnati 2013,791,1963,230,450,696,488,1219,432
2013.csv,,Colorado State 2013,881,1961,180,611,855,493,1297,389
2013.csv,,Colorado 2013,775,1788,178,502,732,378,1128,439
2013.csv,,Creighton 2013,942,1882,307,489,644,300,1172,443
2013.csv,,Davidson 2013,837,1813,256,560,704,306,1048,371
2013.csv,,Duke 2013,960,2033,270,588,796,337,1119,383
2013.csv,,Florida Gulf Coast 2013,976,2112,247,497,736,412,1226,545
2013.csv,,Florida 2013,960,2010,300,422,623,381,1179,401
2013.csv,,Georgetown 2013,737,1627,189,407,599,297,959,407
2013.csv,,Gonzaga 2013,961,1934,226,548,777,409,1195,393
2013.csv,,Harvard 2013,677,1425,191,504,697,219,796,399
2013.csv,,Illinois 2013,858,2084,280,469,646,427,1098,411
2013.csv,,Indiana 2013,951,1971,257,672,904,439,1270,469
2013.csv,,Iona 2013,956,2106,283,538,689,395,1094,421
2013.csv,,Iowa State 2013,962,2111,346,509,696,422,1238,460
2013.csv,,James Madison 2013,818,1941,211,499,714,365,1064,401
2013.csv,,Kansas State 2013,872,2002,238,432,631,470,1145,403
2013.csv,,Kansas 2013,985,2049,216,596,809,399,1354,517
2013.csv,,La Salle 2013,871,1931,262,446,605,332,958,390
2013.csv,,Liberty 2013,838,1954,251,562,770,367,1164,478
2013.csv,,Long Island University 2013,915,1909,246,601,870,404,1083,486
2013.csv,,Louisville 2013,1048,2300,230,652,920,531,1385,495
2013.csv,,Marquette 2013,842,1844,147,551,755,418,1116,471
2013.csv,,Memphis 2013,976,2071,220,509,771,438,1243,523
2013.csv,,Miami (FL) 2013,895,1968,254,465,680,357,1179,377
2013.csv,,Michigan State 2013,882,1921,177,507,710,421,1241,489
2013.csv,,Michigan 2013,1093,2260,296,450,642,416,1246,368
2013.csv,,Middle Tennessee 2013,848,1835,181,528,759,407,1147,464
2013.csv,,Minnesota 2013,815,1838,184,523,764,501,1186,467
2013.csv,,Mississippi 2013,977,2230,238,587,866,466,1251,395
2013.csv,,Missouri 2013,924,2015,215,525,706,454,1266,442
2013.csv,,Montana 2013,760,1635,219,499,651,248,905,391
2013.csv,,Nevada-Las Vegas 2013,872,2002,227,525,747,418,1281,487
2013.csv,,New Mexico State 2013,832,1828,137,554,845,429,1235,506
2013.csv,,New Mexico 2013,768,1815,221,598,829,335,1123,402
2013.csv,,North Carolina A&T 2013,776,1927,215,532,809,387,1166,564
2013.csv,,North Carolina State 2013,985,1987,184,554,813,396,1186,433
2013.csv,,North Carolina 2013,1023,2321,272,442,655,478,1254,433
2013.csv,,Northwestern State 2013,919,2007,189,532,775,435,1133,448
2013.csv,,Notre Dame 2013,892,1929,228,438,618,387,1146,393
2013.csv,,Ohio State 2013,928,2057,227,516,729,378,1219,377
2013.csv,,Oklahoma State 2013,814,1854,183,560,751,354,1110,411
2013.csv,,Oklahoma 2013,803,1847,159,495,654,377,1066,376
2013.csv,,Oregon 2013,944,2110,192,570,809,451,1285,555
2013.csv,,Pacific 2013,824,1839,225,471,684,333,1037,390
2013.csv,,Pittsburgh 2013,837,1775,163,445,666,425,1067,364
2013.csv,,Saint Louis 2013,808,1812,210,562,798,306,1032,383
2013.csv,,Saint Mary's (CA) 2013,910,1939,273,517,713,422,1199,416
2013.csv,,San Diego State 2013,839,1916,202,476,697,376,1144,410
2013.csv,,South Dakota State 2013,910,1938,270,478,627,331,1125,365
2013.csv,,Southern 2013,761,1757,226,475,689,288,1035,359
2013.csv,,Syracuse 2013,1007,2293,233,569,843,560,1380,495
2013.csv,,Temple 2013,851,1986,243,511,707,381,1057,366
2013.csv,,UCLA 2013,961,2131,171,511,706,387,1165,391
2013.csv,,Valparaiso 2013,823,1699,253,521,713,303,1008,486
2013.csv,,Villanova 2013,732,1760,204,639,889,383,1116,533
2013.csv,,Virginia Commonwealth 2013,1010,2243,281,469,669,479,1155,407
2013.csv,,Western Kentucky 2013,837,1959,226,509,755,441,1204,537
2013.csv,,Wichita State 2013,954,2166,259,553,791,512,1355,492
2013.csv,,Wisconsin 2013,823,1960,259,369,582,401,1202,334
2016.csv,,Arizona 2016,946,1970,221,622,863,394,1368,442
2016.csv,,Little Rock 2016,886,1958,266,449,616,315,1195,355
2016.csv,,Austin Peay 2016,945,2049,223,627,936,422,1326,502
2016.csv,,Baylor 2016,933,2003,210,545,752,467,1267,432
2016.csv,,Buffalo 2016,915,2096,263,616,867,425,1363,475
2016.csv,,Butler 2016,918,1969,236,566,774,366,1188,335
2016.csv,,Cal State Bakersfield 2016,875,1939,179,476,726,414,1263,405
2016.csv,,University of California 2016,890,1931,236,529,806,386,1349,419
2016.csv,,Chattanooga 2016,897,1963,262,596,811,381,1241,437
2016.csv,,Cincinnati 2016,851,1980,252,464,658,441,1291,363
2016.csv,,Colorado 2016,865,2029,252,594,808,446,1434,454
2016.csv,,Connecticut 2016,944,2078,255,488,615,335,1300,385
2016.csv,,Dayton 2016,836,1836,221,500,749,327,1265,427
2016.csv,,Duke 2016,983,2136,328,626,866,426,1296,354
2016.csv,,Fairleigh Dickinson 2016,929,2029,238,462,663,347,1108,423
2016.csv,,Florida Gulf Coast 2016,1008,2106,186,501,778,417,1422,438
2016.csv,,Fresno State 2016,926,2126,219,559,805,409,1293,378
2016.csv,,Gonzaga 2016,1011,2081,281,537,708,382,1426,418
2016.csv,,Green Bay 2016,1048,2350,255,662,1007,458,1385,441
2016.csv,,Hampton 2016,810,1967,206,537,815,447,1322,440
2016.csv,,Hawaii 2016,893,1946,237,597,873,360,1270,443
2016.csv,,Holy Cross 2016,775,1879,251,466,678,279,1052,386
2016.csv,,Indiana 2016,1021,2034,345,504,688,414,1288,474
2016.csv,,Iona 2016,919,2011,327,463,651,348,1218,422
2016.csv,,Iowa State 2016,1087,2159,293,395,563,304,1244,398
2016.csv,,Iowa 2016,906,2027,269,480,669,392,1257,339
2016.csv,,Kansas 2016,1092,2207,304,601,843,402,1443,478
2016.csv,,Kentucky 2016,1028,2149,244,561,813,451,1395,389
2016.csv,,Maryland 2016,943,1941,267,572,745,319,1288,458
2016.csv,,Miami (FL) 2016,907,1895,241,578,772,330,1207,383
2016.csv,,Michigan State 2016,1009,2078,321,454,623,415,1454,406
2016.csv,,Michigan 2016,947,2048,342,420,569,290,1152,348
2016.csv,,Middle Tennessee 2016,909,2025,279,442,718,369,1283,419
2016.csv,,North Carolina-Asheville 2016,898,1973,195,561,808,396,1278,444
2016.csv,,North Carolina-Wilmington 2016,928,2039,230,534,760,397,1237,374
2016.csv,,North Carolina 2016,1235,2560,224,617,826,568,1624,431
2016.csv,,Northern Iowa 2016,849,1864,298,479,633,195,1091,357
2016.csv,,Notre Dame 2016,972,2042,262,498,671,381,1265,359
2016.csv,,Oklahoma 2016,1018,2225,382,530,734,407,1418,484
2016.csv,,Oregon State 2016,811,1843,218,461,687,337,1102,361
2016.csv,,Oregon 2016,1041,2230,260,648,906,442,1382,431
2016.csv,,Pittsburgh 2016,878,1919,204,516,686,417,1257,384
2016.csv,,Providence 2016,881,2093,249,566,781,402,1263,397
2016.csv,,Purdue 2016,960,2042,268,538,723,400,1443,419
2016.csv,,Saint Joseph's 2016,976,2153,251,577,806,359,1378,355
2016.csv,,Seton Hall 2016,892,1999,206,532,808,438,1355,469
2016.csv,,South Dakota State 2016,877,1950,255,582,783,381,1279,399
2016.csv,,Southern California 2016,982,2138,266,507,750,401,1337,415
2016.csv,,Southern 2016,909,2046,211,505,754,365,1258,391
2016.csv,,Stephen F. Austin 2016,972,2032,269,515,701,405,1188,411
2016.csv,,Stony Brook 2016,933,1992,220,429,637,425,1312,379
2016.csv,,Syracuse 2016,884,2080,315,506,736,445,1319,440
2016.csv,,Temple 2016,822,2021,255,368,538,371,1225,305
2016.csv,,Texas A&M 2016,991,2208,281,565,841,460,1461,434
2016.csv,,Texas Tech 2016,785,1754,185,550,741,326,1086,385
2016.csv,,Texas 2016,814,1884,232,495,743,363,1139,341
2016.csv,,Tulsa 2016,821,1849,219,495,731,323,1123,346
2016.csv,,Utah 2016,977,2000,273,551,764,347,1335,451
2016.csv,,Vanderbilt 2016,857,1879,273,519,747,313,1273,386
2016.csv,,Villanova 2016,1086,2247,347,599,766,351,1385,440
2016.csv,,Virginia Commonwealth 2016,1010,2238,262,499,721,435,1347,405
2016.csv,,Virginia 2016,964,1964,224,474,630,323,1189,345
2016.csv,,Weber State 2016,908,1885,291,555,821,300,1296,462
2016.csv,,West Virginia 2016,943,2102,209,654,972,558,1380,498
2016.csv,,Wichita State 2016,867,2023,250,551,768,407,1305,346
2016.csv,,Wisconsin 2016,816,1917,229,512,728,398,1228,386
2016.csv,,Xavier 2016,928,2054,255,626,857,436,1387,429
2016.csv,,Yale 2016,795,1693,190,468,699,407,1208,398
2015.csv,,Alabama-Birmingham 2015,873,2042,202,528,715,434,1322,482
2015.csv,,Albany (NY) 2015,729,1666,205,493,650,334,1111,381
2015.csv,,Arizona 2015,1009,2068,193,700,974,411,1399,419
2015.csv,,Arkansas 2015,978,2196,238,593,819,470,1290,430
2015.csv,,Baylor 2015,813,1874,236,487,723,497,1333,434
2015.csv,,Belmont 2015,858,1803,329,405,585,307,1093,451
2015.csv,,Boise State 2015,831,1823,297,431,591,298,1119,348
2015.csv,,Brigham Young 2015,976,2090,300,679,886,421,1349,417
2015.csv,,Buffalo 2015,837,1922,199,589,819,420,1260,378
2015.csv,,Butler 2015,814,1882,192,526,767,408,1239,376
2015.csv,,UC-Irvine 2015,854,1851,217,370,541,329,1198,396
2015.csv,,Cincinnati 2015,761,1705,167,424,633,383,1178,432
2015.csv,,Coastal Carolina 2015,836,1899,228,538,780,447,1338,399
2015.csv,,Davidson 2015,898,1924,343,390,553,335,1144,303
2015.csv,,Dayton 2015,810,1755,239,580,846,255,1121,415
2015.csv,,Duke 2015,1099,2191,283,610,873,445,1436,421
2015.csv,,Eastern Washington 2015,977,2045,344,522,719,351,1183,376
2015.csv,,Georgetown 2015,799,1753,201,541,769,367,1152,415
2015.csv,,Georgia State 2015,902,1878,174,521,719,322,1116,366
2015.csv,,Georgia 2015,747,1730,184,572,826,360,1260,420
2015.csv,,Gonzaga 2015,1084,2083,264,557,806,391,1441,397
2015.csv,,Hampton 2015,796,1959,194,560,859,416,1292,494
2015.csv,,Harvard 2015,671,1548,146,438,609,316,1025,349
2015.csv,,Indiana 2015,923,1989,319,468,651,407,1224,392
2015.csv,,Iowa State 2015,940,1973,263,502,721,323,1221,375
2015.csv,,Iowa 2015,821,1905,192,538,723,422,1274,377
2015.csv,,Kansas 2015,869,1976,213,610,842,426,1364,463
2015.csv,,Kentucky 2015,1006,2150,203,685,943,491,1482,408
2015.csv,,Lafayette 2015,872,1799,261,421,549,282,1017,366
2015.csv,,Louisiana State 2015,892,1962,189,450,658,401,1294,476
2015.csv,,Louisville 2015,878,2048,198,529,792,454,1351,408
2015.csv,,Manhattan 2015,756,1748,215,573,829,345,1065,481
2015.csv,,Maryland 2015,781,1777,258,597,790,314,1223,431
2015.csv,,Michigan State 2015,1014,2181,294,451,714,436,1458,441
2015.csv,,Mississippi 2015,848,2003,220,559,723,430,1284,378
2015.csv,,New Mexico State 2015,808,1748,165,535,771,428,1199,470
2015.csv,,North Carolina State 2015,895,2054,236,499,727,435,1369,375
2015.csv,,North Carolina 2015,1099,2309,184,571,814,526,1541,481
2015.csv,,North Dakota State 2015,743,1713,230,425,614,274,1098,325
2015.csv,,North Florida 2015,897,1910,317,540,747,339,1219,436
2015.csv,,Northeastern 2015,838,1725,203,518,713,297,1160,483
2015.csv,,Northern Iowa 2015,776,1618,257,472,644,255,1071,363
2015.csv,,Notre Dame 2015,1050,2061,302,561,756,313,1231,357
2015.csv,,Ohio State 2015,964,1995,236,471,693,387,1241,396
2015.csv,,Oklahoma State 2015,733,1667,226,468,645,287,1039,392
2015.csv,,Oklahoma 2015,885,2035,236,495,668,389,1332,419
2015.csv,,Oregon 2015,992,2143,263,466,613,372,1298,421
2015.csv,,Providence 2015,828,1889,171,543,768,411,1228,407
2015.csv,,Purdue 2015,827,1840,195,524,767,409,1249,444
2015.csv,,Robert Morris 2015,854,1926,221,485,684,367,1162,467
2015.csv,,San Diego State 2015,800,1916,189,437,694,439,1270,410
2015.csv,,Southern Methodist 2015,832,1750,145,541,770,388,1244,426
2015.csv,,St. John's (NY) 2015,835,1890,198,475,687,336,1164,352
2015.csv,,Stephen F. Austin 2015,911,1870,262,588,799,413,1176,476
2015.csv,,Texas Southern 2015,818,1840,185,569,861,394,1193,454
2015.csv,,Texas 2015,796,1837,212,486,671,422,1351,435
2015.csv,,UCLA 2015,930,2099,223,507,750,440,1367,430
2015.csv,,Utah 2015,849,1760,264,534,760,322,1204,407
2015.csv,,Valparaiso 2015,837,1836,236,456,676,397,1276,422
2015.csv,,Villanova 2015,916,1951,326,596,815,371,1235,382
2015.csv,,Virginia Commonwealth 2015,896,2139,293,524,797,444,1277,383
2015.csv,,Virginia 2015,804,1758,170,446,614,358,1232,316
2015.csv,,West Virginia 2015,872,2138,227,571,863,575,1272,453
2015.csv,,Wichita State 2015,860,1933,239,501,715,415,1245,327
2015.csv,,Wisconsin 2015,1014,2115,288,584,765,383,1338,296
2015.csv,,Wofford 2015,818,1802,222,473,688,324,1139,379
2015.csv,,Wyoming 2015,747,1619,209,448,638,216,1047,392
2015.csv,,Xavier 2015,956,2011,234,566,775,364,1282,447
2014.csv,,Albany (NY) 2014,765,1733,163,546,728,343,1175,428
2014.csv,,American 2014,748,1527,207,378,535,232,986,464
2014.csv,,Arizona State 2014,836,1852,268,546,787,281,1172,377
2014.csv,,Arizona 2014,996,2123,204,573,870,465,1449,387
2014.csv,,Baylor 2014,959,2108,280,645,949,525,1456,440
2014.csv,,Brigham Young 2014,1012,2186,177,730,1055,463,1432,395
2014.csv,,Cal Poly 2014,754,1850,218,415,603,377,1096,303
2014.csv,,Cincinnati 2014,805,1893,196,519,733,457,1224,377
2014.csv,,Coastal Carolina 2014,861,1969,212,524,758,434,1336,473
2014.csv,,Colorado 2014,814,1871,181,648,903,401,1305,466
2014.csv,,Connecticut 2014,971,2163,287,644,829,387,1389,457
2014.csv,,Creighton 2014,957,1927,356,486,654,293,1192,342
2014.csv,,Dayton 2014,935,2018,243,558,819,414,1289,442
2014.csv,,Delaware 2014,936,2108,252,658,925,385,1264,334
2014.csv,,Duke 2014,929,2020,316,571,783,410,1207,328
2014.csv,,Eastern Kentucky 2014,881,1810,315,600,798,243,884,359
2014.csv,,Florida 2014,945,2056,255,582,871,437,1385,418
2014.csv,,George Washington 2014,839,1812,187,550,845,394,1229,428
2014.csv,,Gonzaga 2014,972,1963,255,562,793,343,1291,419
2014.csv,,Harvard 2014,786,1691,184,587,811,335,1092,365
2014.csv,,Iowa State 2014,1062,2239,301,564,814,375,1387,380
2014.csv,,Iowa 2014,919,1984,191,660,898,447,1332,371
2014.csv,,Kansas State 2014,798,1840,198,486,741,406,1180,404
2014.csv,,Kansas 2014,955,1937,189,665,935,416,1336,463
2014.csv,,Kentucky 2014,1004,2213,203,781,1146,562,1607,469
2014.csv,,Louisiana 2014,988,2127,246,613,913,464,1329,459
2014.csv,,Louisville 2014,1051,2232,288,608,920,503,1396,391
2014.csv,,Manhattan 2014,828,1837,208,676,1019,415,1234,468
2014.csv,,Massachusetts 2014,900,1962,177,525,769,404,1267,446
2014.csv,,Memphis 2014,958,2009,182,516,801,427,1268,449
2014.csv,,Mercer 2014,982,2061,290,582,791,407,1338,420
2014.csv,,Michigan State 2014,1024,2159,307,515,728,395,1400,430
2014.csv,,Michigan 2014,945,1982,319,527,691,316,1160,336
2014.csv,,Milwaukee 2014,808,1888,245,604,823,343,1182,469
2014.csv,,Mount St. Mary's 2014,843,1923,296,522,706,328,1053,388
2014.csv,,Nebraska 2014,719,1684,188,511,713,278,1059,349
2014.csv,,New Mexico State 2014,936,1918,194,705,1027,428,1346,457
2014.csv,,New Mexico 2014,847,1851,197,625,863,360,1296,361
2014.csv,,North Carolina Central 2014,847,1832,184,635,872,403,1197,389
2014.csv,,North Carolina State 2014,950,2060,160,501,762,422,1239,375
2014.csv,,North Carolina 2014,953,2057,146,552,882,483,1350,406
2014.csv,,North Dakota State 2014,888,1759,176,540,719,307,1081,325
2014.csv,,Ohio State 2014,843,1875,200,546,793,346,1187,394
2014.csv,,Oklahoma State 2014,898,1941,239,693,964,332,1203,356
2014.csv,,Oklahoma 2014,909,2034,285,601,802,398,1242,376
2014.csv,,Oregon 2014,928,1977,259,668,865,356,1159,389
2014.csv,,Pittsburgh 2014,895,1944,183,613,861,432,1291,373
2014.csv,,Providence 2014,849,1984,218,650,831,432,1278,406
2014.csv,,Saint Joseph's 2014,840,1789,250,503,780,319,1218,409
2014.csv,,Saint Louis 2014,829,1869,190,526,755,345,1231,431
2014.csv,,San Diego State 2014,873,2009,186,598,902,470,1364,355
2014.csv,,Stanford 2014,896,1950,208,616,877,347,1257,409
2014.csv,,Stephen F. Austin 2014,922,1992,248,569,800,451,1186,393
2014.csv,,Syracuse 2014,819,1873,167,506,715,446,1200,306
2014.csv,,Tennessee 2014,927,2048,205,613,852,501,1424,388
2014.csv,,Texas Southern 2014,857,1854,217,653,910,386,1246,454
2014.csv,,Texas 2014,905,2095,178,610,909,528,1449,426
2014.csv,,Tulsa 2014,835,1899,197,604,894,368,1231,394
2014.csv,,UCLA 2014,1073,2196,229,628,839,368,1308,379
2014.csv,,Villanova 2014,870,1907,304,607,848,379,1263,406
2014.csv,,Virginia Commonwealth 2014,922,2196,260,520,772,479,1317,423
2014.csv,,Virginia 2014,855,1884,206,533,792,379,1312,362
2014.csv,,Weber State 2014,732,1541,222,568,767,265,1065,382
2014.csv,,Western Michigan 2014,779,1684,195,620,856,323,1143,464
2014.csv,,Wichita State 2014,896,1942,250,664,916,419,1381,374
2014.csv,,Wisconsin 2014,927,2019,297,642,861,337,1266,307
2014.csv,,Wofford 2014,808,1804,196,393,592,352,1090,351
2014.csv,,Xavier 2014,869,1850,174,530,770,379,1213,421
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,American 2008,698,1586,260,484,655,321,1064,458
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Arizona 2008,843,1765,221,536,716,281,1052,414
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Arkansas 2008,936,2001,207,514,758,446,1274,531
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Austin Peay 2008,855,1917,273,607,850,362,1107,440
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Baylor 2008,899,1979,275,528,711,384,1196,403
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Belmont 2008,938,2078,357,481,689,424,1248,498
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Boise State 2008,994,1956,271,508,768,335,1218,534
