School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Abilene Christian NCAA,897,1911,251,457,642,325,1110,407
Air Force,802,1776,234,341,503,253,1077,423
Akron,797,1948,297,380,539,312,1204,388
Alabama A&M,736,1809,182,284,453,314,1032,487
Alabama-Birmingham,906,2003,234,424,630,367,1279,399
Alabama State,712,1764,216,446,684,365,1094,451
Alabama,856,1945,244,492,739,384,1285,465
Albany (NY),728,1750,274,420,564,294,1081,454
Alcorn State,709,1721,211,366,543,334,1079,492
American,780,1645,190,411,589,251,1014,386
Appalachian State,880,1938,292,505,706,310,1127,418
Arizona State NCAA,899,2012,240,600,882,399,1351,466
Arizona,794,1861,235,446,620,324,1115,370
Little Rock,817,1687,206,461,703,244,1060,503
Arkansas-Pine Bluff,719,1685,194,476,702,317,1063,478
Arkansas State,796,1904,237,530,721,403,1211,448
Arkansas,893,2004,259,514,769,345,1152,450
Army,837,1956,272,322,471,259,1125,376
Auburn NCAA,1097,2439,454,540,760,457,1369,466
Austin Peay,973,2060,268,498,705,397,1215,392
Ball State,889,1892,202,498,709,308,1243,480
Baylor NCAA,869,1966,274,430,635,446,1281,446
Belmont NCAA,1042,2094,343,441,598,286,1275,376
Bethune-Cookman,833,1899,204,420,689,415,1274,501
Binghamton,793,1842,275,291,452,244,1060,409
Boise State,845,1801,252,422,584,242,1016,379
Boston College,768,1808,218,442,633,331,1139,378
Boston University,922,1922,221,320,468,311,1091,425
Bowling Green State,945,2134,272,506,755,408,1396,412
Bradley NCAA,812,1874,240,465,672,313,1195,440
Brigham Young,878,1878,226,545,750,263,1118,354
Brown,805,1818,255,490,685,261,1157,458
Bryant,709,1680,230,440,618,285,969,383
Bucknell,867,1928,311,489,653,286,1154,409
Buffalo NCAA,1083,2344,344,527,767,452,1470,433
Butler,861,1934,292,360,488,288,1058,359
Cal Poly,706,1715,225,293,452,284,975,334
Cal State Bakersfield,887,2092,221,417,620,486,1272,439
Cal State Fullerton,868,1911,187,514,726,277,1224,450
