,School,opp_ORB,opp_DRB
1,Akron 2013,358,702
6,Albany (NY) 2013,324,745
11,Arizona 2013,321,730
21,Belmont 2013,384,716
24,Boise State 2013,240,704
32,Bucknell 2013,300,742
34,Butler 2013,322,735
43,University of California 2013,384,749
54,Cincinnati 2013,367,772
61,Colorado State 2013,281,703
62,Colorado 2013,371,748
67,Creighton 2013,359,740
69,Davidson 2013,328,750
78,Duke 2013,415,834
92,Florida Gulf Coast 2013,447,866
95,Florida 2013,358,759
102,Georgetown 2013,342,681
107,Gonzaga 2013,373,672
112,Harvard 2013,302,622
124,Illinois 2013,392,864
126,Indiana 2013,428,686
127,Iona 2013,418,810
128,Iowa State 2013,367,812
135,James Madison 2013,368,870
136,Kansas State 2013,375,745
137,Kansas 2013,436,783
141,La Salle 2013,379,813
145,Liberty 2013,435,868
148,Long Island University 2013,403,744
154,Louisville 2013,469,858
161,Marquette 2013,407,672
168,Memphis 2013,413,792
170,Miami (FL) 2013,365,810
172,Michigan State 2013,353,736
173,Michigan 2013,396,855
174,Middle Tennessee 2013,341,707
176,Minnesota 2013,401,647
179,Mississippi 2013,432,919
182,Missouri 2013,373,719
185,Montana 2013,334,710
193,Nevada-Las Vegas 2013,361,820
196,New Mexico State 2013,372,720
197,New Mexico 2013,342,809
204,North Carolina A&T 2013,445,904
207,North Carolina State 2013,430,746
209,North Carolina 2013,417,911
220,Northwestern State 2013,453,796
222,Notre Dame 2013,368,752
224,Ohio State 2013,360,836
226,Oklahoma State 2013,376,776
227,Oklahoma 2013,363,758
231,Oregon 2013,350,811
232,Pacific 2013,338,795
236,Pittsburgh 2013,316,626
256,Saint Louis 2013,340,811
257,Saint Mary's (CA) 2013,286,714
261,San Diego State 2013,341,787
274,South Dakota State 2013,290,779
285,Southern 2013,371,802
293,Syracuse 2013,511,884
294,Temple 2013,358,856
315,UCLA 2013,458,875
319,Valparaiso 2013,322,667
322,Villanova 2013,346,779
323,Virginia Commonwealth 2013,400,852
335,Western Kentucky 2013,374,815
337,Wichita State 2013,355,835
340,Wisconsin 2013,325,838
