,School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
6,Alabama 2018,10.64,877,2109,262,527,769,414,1277,473
11,Arizona State 2018,6.56,841,1919,262,451,628,357,1171,474
12,Arizona 2018,6.84,890,2047,261,468,638,310,1018,406
16,Arkansas 2018,9.85,872,2028,301,602,828,394,1264,490
18,Auburn 2018,7.29,838,1961,273,539,747,341,1207,516
33,Bucknell 2018,-3.46,911,2138,224,513,738,360,1240,438
34,Buffalo 2018,0.25,936,2179,239,631,860,389,1313,496
35,Butler 2018,10.55,877,1954,274,512,689,278,1137,484
38,Cal State Fullerton 2018,-1.02,768,1861,220,489,647,320,1074,413
55,Cincinnati 2018,3.53,739,1974,231,362,529,361,1127,514
57,Clemson 2018,9.25,826,2033,268,387,552,332,1172,413
61,College of Charleston 2018,-3.29,824,1907,239,444,602,321,1149,403
68,Creighton 2018,8.1,907,2093,261,369,512,303,1160,387
70,Davidson 2018,2.57,802,1826,266,370,540,258,1042,352
79,Duke 2018,9.71,957,2364,279,383,526,432,1216,453
95,Florida State 2018,8.5,887,2129,285,492,689,383,1228,494
96,Florida 2018,10.08,832,1946,229,460,629,362,1273,468
105,Georgia State 2018,-2.78,771,1963,307,507,727,416,1296,501
108,Gonzaga 2018,2.59,890,2178,272,453,633,316,1160,455
120,Houston 2018,4.16,744,1887,231,552,785,320,1126,457
130,Iona 2018,-2.19,969,2102,267,397,602,379,1280,464
139,Kansas State 2018,8.74,842,1980,261,533,728,386,1259,533
140,Kansas 2018,11.87,1031,2419,315,424,595,453,1371,501
143,Kentucky 2018,10.73,905,2242,287,502,725,437,1240,436
149,Lipscomb 2018,-3.8,898,2002,249,519,751,292,1169,511
151,Long Island University 2018,-8.19,973,2209,242,486,702,401,1275,423
158,Loyola (IL) 2018,1.81,877,2118,254,369,523,335,1158,484
165,Marshall 2018,0.44,1059,2399,265,466,684,458,1466,515
166,Maryland-Baltimore County 2018,-3.84,883,2012,282,418,618,339,1289,529
174,Miami (FL) 2018,6.96,794,1841,215,368,517,314,1088,412
176,Michigan State 2018,7.1,774,2108,252,471,647,369,1058,349
177,Michigan 2018,9.41,948,2227,222,478,663,341,1353,530
186,Missouri 2018,9.19,795,1949,231,425,586,343,1079,365
189,Montana 2018,-2.25,784,1825,209,552,764,295,1102,522
193,Murray State 2018,-3.53,761,1841,199,396,547,314,1005,402
198,Nevada 2018,4.93,974,2248,275,480,677,393,1347,474
200,New Mexico State 2018,-1.1,763,1919,222,435,612,282,1103,463
209,North Carolina Central 2018,-12.31,846,2030,259,474,663,359,1168,423
210,North Carolina-Greensboro 2018,-3.87,729,1794,229,502,692,264,1070,528
211,North Carolina State 2018,6.7,908,1952,199,462,657,363,1164,487
213,North Carolina 2018,11.78,972,2297,357,410,597,362,1216,433
228,Ohio State 2018,9.03,811,1944,272,403,574,302,1078,418
231,Oklahoma 2018,10.56,964,2178,293,393,559,383,1237,415
238,Pennsylvania 2018,-3.17,816,1971,192,450,613,275,1192,406
246,Providence 2018,10.23,913,2054,240,478,654,357,1268,469
247,Purdue 2018,8.74,907,2197,251,366,531,376,1204,448
249,Radford 2018,-4.08,819,1897,261,437,582,317,1135,469
250,Rhode Island 2018,4.61,811,1792,182,534,728,303,1170,536
265,San Diego State 2018,3.91,795,1908,251,399,549,297,1077,443
272,Seton Hall 2018,10.11,903,2057,262,444,613,347,1149,431
278,South Dakota State 2018,-0.38,955,2235,291,398,554,305,1243,371
290,St. Bonaventure 2018,2.61,807,1917,266,527,737,353,1186,488
294,Stephen F. Austin 2018,-6.46,768,1796,246,604,878,325,1124,691
297,Syracuse 2018,10.02,801,2046,289,469,642,400,1237,469
302,Tennessee 2018,10.12,784,1917,222,511,720,383,1194,484
304,Texas A&M 2018,10.62,892,2186,268,415,603,378,1222,379
306,Texas Christian 2018,9.68,894,1958,262,437,598,291,1001,410
310,Texas Southern 2018,-5.53,1048,2320,280,483,724,442,1381,426
312,Texas Tech 2018,9.6,806,2008,249,536,762,368,1199,554
313,Texas 2018,10.67,861,2028,237,379,532,353,1216,425
319,UCLA 2018,6.86,891,2105,287,438,625,347,1195,351
326,Villanova 2018,10.24,1028,2401,272,479,641,378,1306,512
329,Virginia Tech 2018,6.72,844,1965,292,402,577,346,1130,433
330,Virginia 2018,9.07,647,1703,215,327,447,280,1048,432
336,West Virginia 2018,9.36,835,1962,288,617,866,375,1268,612
341,Wichita State 2018,5.46,809,1922,282,464,639,271,1005,379
346,Wright State 2018,-3.64,816,1965,268,407,573,303,1178,531
348,Xavier 2018,9.45,944,2192,301,427,562,296,1095,400
