School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Abilene Christian NCAA,-7.34,753,1737,191,464,643,295,1098,560
Air Force,0.24,821,1820,299,353,520,258,1073,386
Akron,1.09,760,1919,215,372,569,370,1292,436
Alabama A&M,-8.38,811,1730,235,428,672,333,1158,458
Alabama-Birmingham,-1.52,811,1960,297,451,616,310,1149,421
Alabama State,-7.84,788,1732,217,442,625,324,1140,470
Alabama,9.01,890,2047,223,430,605,350,1185,402
Albany (NY),-6.70,807,1797,253,349,533,301,1092,406
Alcorn State,-8.97,782,1744,205,425,619,306,1082,414
American,-7.23,747,1709,152,424,595,287,999,366
Appalachian State,0.10,916,1960,242,465,659,329,1190,428
Arizona State NCAA,6.04,828,2007,292,546,774,343,1218,476
Arizona,6.32,787,1756,213,418,615,276,1094,450
Little Rock,-2.07,792,1799,278,491,692,301,1068,439
Arkansas-Pine Bluff,-8.18,779,1713,201,510,756,318,1090,442
Arkansas State,-1.23,823,1862,240,589,794,331,1142,399
Arkansas,8.78,817,1929,270,554,804,426,1301,553
Army,-4.73,843,1853,266,353,520,246,1175,436
Auburn NCAA,10.92,940,2153,323,547,774,424,1412,683
Austin Peay,-4.41,863,1913,240,447,645,335,1136,521
Ball State,1.21,851,2053,228,432,613,365,1169,426
Baylor NCAA,9.26,795,1869,246,466,682,338,1086,421
Belmont NCAA,-2.60,895,2110,253,396,569,314,1166,403
Bethune-Cookman,-9.74,786,1901,205,468,687,372,1170,477
Binghamton,-4.69,877,1977,299,323,487,368,1264,380
Boise State,1.08,795,1768,243,430,580,247,1025,412
Boston College,7.76,797,1900,246,416,559,371,1198,359
Boston University,-5.39,858,1821,248,423,579,256,1028,412
Bowling Green State,0.86,879,2064,307,431,621,309,1215,443
Bradley NCAA,-0.90,779,1892,246,481,664,313,1163,433
Brigham Young,3.31,841,1912,256,498,677,313,1163,411
Brown,-3.29,788,1891,234,394,572,308,1159,485
Bryant,-7.66,809,1704,252,444,604,297,1081,386
Bucknell,-2.93,867,1995,230,454,647,328,1163,393
Buffalo NCAA,2.62,916,2180,236,482,687,363,1333,553
Butler,8.10,815,1784,251,456,648,291,1132,423
Cal Poly,-3.54,770,1671,204,439,625,304,1107,314
Cal State Bakersfield,-2.63,749,1719,261,653,889,302,1116,472
Cal State Fullerton,-1.14,864,2029,213,473,691,328,1211,412
Cal State Northridge,-3.39,951,2128,292,507,685,404,1322,424
California Baptist,-4.12,774,1830,210,483,677,297,1077,353
UC-Davis,-1.50,746,1635,210,426,622,272,1069,453
UC-Irvine NCAA,-2.30,809,2118,241,494,698,379,1211,419
UC-Riverside,-3.19,821,1758,229,408,586,254,1030,351
UC-Santa Barbara,-5.55,765,1794,198,386,561,282,993,356
University of California,5.42,836,1708,272,443,617,299,1117,435
Campbell,-4.39,807,1800,264,450,614,291,1147,448
Canisius,-4.85,835,1782,239,467,657,334,1142,456
Central Arkansas,-4.81,873,1992,279,473,675,359,1251,437
Central Connecticut State,-6.71,800,1817,295,472,666,324,1103,409
Central Florida NCAA,5.58,764,1938,233,367,565,371,1142,400
Central Michigan,-0.34,1010,2250,236,434,632,430,1344,506
Charleston Southern,-4.19,828,1931,289,424,598,314,1226,558
Charlotte,-0.89,688,1570,236,380,512,245,956,340
Chattanooga,-0.76,864,1899,240,408,582,299,1160,358
Chicago State,0.67,964,1988,331,451,650,368,1248,392
Cincinnati NCAA,5.50,766,1869,284,378,570,332,1088,476
Citadel,0.03,909,1969,346,420,599,344,1216,408
Clemson,8.99,755,1856,257,407,557,291,1088,453
Cleveland State,-1.52,864,1937,251,458,630,377,1210,381
Coastal Carolina,-1.94,839,1932,281,561,788,329,1125,448
Colgate NCAA,-3.83,884,2033,277,413,580,327,1112,422
College of Charleston,-2.95,822,1837,263,358,487,278,1043,421
Colorado State,1.41,864,1897,278,400,557,298,1088,355
Colorado,3.60,878,2069,247,426,643,306,1126,436
Columbia,-2.14,696,1587,231,429,606,256,996,395
Connecticut,4.32,809,1841,208,528,721,339,1137,464
Coppin State,-7.11,868,2024,297,474,680,358,1276,400
Cornell,-2.02,825,1880,209,352,502,310,1160,388
Creighton,8.59,943,2063,291,384,563,318,1188,478
Dartmouth,-3.00,800,1739,194,322,456,238,1005,342
Davidson,1.96,778,1905,275,398,561,297,1142,379
Dayton,2.91,803,1941,252,325,461,328,1056,370
Delaware State,-10.13,818,1817,244,491,685,339,1306,446
Delaware,-4.82,859,1937,271,391,537,321,1137,330
Denver,-2.97,822,1748,318,357,493,228,982,332
DePaul,4.05,963,2132,344,481,659,310,1160,459
Detroit Mercy,-0.36,879,1857,263,443,608,381,1211,432
Drake,-0.66,872,2042,225,418,600,320,1160,408
Drexel,-2.93,921,1909,244,389,576,280,1043,334
Duke NCAA,11.98,960,2415,253,403,579,441,1348,540
Duquesne,-0.63,839,1903,223,413,607,401,1219,491
East Carolina,1.31,787,1753,214,511,732,332,1152,427
East Tennessee State,-1.79,836,1921,296,403,584,276,1006,494
Eastern Illinois,-5.01,858,1896,296,445,631,348,1186,423
Eastern Kentucky,-2.47,898,1931,230,551,767,341,1288,568
Eastern Michigan,4.43,787,1832,265,374,549,383,1108,446
Eastern Washington,-4.17,877,1940,291,482,672,272,1199,408
Elon,-3.56,876,1934,286,407,557,311,1171,342
Evansville,0.13,824,1868,211,458,673,296,1219,400
Fairfield,-7.14,748,1625,212,459,652,279,1065,451
Fairleigh Dickinson NCAA,-7.24,908,2041,277,422,608,389,1186,508
Florida A&M,-8.09,704,1645,185,464,661,333,1079,459
Florida Atlantic,-1.76,795,1933,250,403,586,314,1177,442
Florida Gulf Coast,-1.48,852,1928,288,368,525,346,1138,445
Florida International,-1.45,980,2147,266,508,726,420,1465,667
Florida State NCAA,10.26,842,2067,269,532,737,348,1223,529
Florida NCAA,11.22,806,1916,231,446,644,390,1242,527
Fordham,-2.40,746,1725,207,442,634,295,1194,419
Fresno State,0.67,750,1788,225,437,617,287,1092,438
Furman,-1.50,818,1951,237,309,455,352,1132,474
Gardner-Webb NCAA,-4.43,871,2101,310,416,579,393,1229,468
George Mason,0.08,832,1894,237,388,580,313,1107,413
George Washington,1.20,849,1925,275,383,582,334,1236,387
Georgetown,5.31,913,2111,291,459,640,333,1198,404
Georgia Southern,0.13,899,2033,256,435,615,335,1152,521
Georgia State NCAA,0.65,872,2051,304,443,631,428,1336,512
Georgia Tech,8.15,740,1848,207,443,643,376,1154,410
Georgia,8.12,853,2004,238,420,600,385,1119,349
Gonzaga NCAA,5.01,877,2256,239,407,584,382,1194,501
Grambling,-9.34,782,2003,216,556,820,384,1245,441
Grand Canyon,-1.49,848,1945,240,417,584,301,1152,465
Green Bay,-0.36,1082,2432,325,547,773,433,1511,574
Hampton,-5.06,927,2180,286,529,741,357,1333,436
Hartford,-4.89,865,1911,258,419,577,343,1161,449
Harvard,0.66,763,1756,228,420,593,256,979,381
Hawaii,-3.61,774,1727,203,380,562,250,1009,371
High Point,-4.39,740,1753,271,354,506,272,969,338
Hofstra,-4.53,955,2113,271,372,532,356,1154,450
Holy Cross,-4.01,825,1805,292,354,484,338,1190,479
Houston Baptist,-5.53,887,1805,248,462,625,287,1046,474
Houston NCAA,4.61,749,2035,233,527,759,360,1236,452
Howard,-9.52,911,2093,278,561,777,412,1351,510
Idaho State,-4.81,854,1787,264,397,536,281,1032,311
Idaho,-6.19,875,1940,280,430,613,351,1161,304
Illinois-Chicago,-1.99,790,1887,243,562,781,359,1181,414
Illinois State,0.25,815,1848,255,429,604,288,1160,407
Illinois,11.53,849,1833,214,571,777,345,1203,516
Incarnate Word,-5.11,828,1682,241,458,621,303,965,417
Indiana State,0.62,770,1709,218,460,635,273,1072,422
Indiana,10.10,862,2057,260,390,601,363,1234,439
Iona NCAA,-5.50,900,2021,314,394,576,369,1249,437
Iowa State NCAA,9.30,877,2097,276,355,495,388,1213,440
Iowa NCAA,9.84,943,2104,281,418,606,363,1218,457
Purdue-Fort Wayne,-3.60,951,2093,300,354,501,334,1191,439
IUPUI,-3.04,862,1924,276,429,612,312,1083,460
Jackson State,-9.33,694,1651,213,506,725,277,1106,446
Jacksonville State,-5.47,798,1931,270,417,569,305,1102,494
Jacksonville,-4.74,883,1957,245,391,560,307,1141,432
James Madison,-4.07,865,1879,230,449,629,321,1097,374
Kansas State NCAA,9.18,717,1728,233,358,531,279,1098,504
Kansas NCAA,12.79,898,2201,309,420,612,385,1263,455
Kennesaw State,-1.04,907,1945,257,384,546,330,1223,392
Kent State,0.61,862,1880,244,449,650,327,1139,451
Kentucky NCAA,10.29,854,2134,283,403,572,337,1083,449
La Salle,1.29,774,1698,193,502,702,297,1109,427
Lafayette,-4.93,854,1810,246,395,555,275,1075,335
Lamar,-7.22,819,1863,239,445,632,300,1054,523
Lehigh,-4.46,846,1967,282,439,599,329,1083,354
Liberty NCAA,-3.88,790,1894,231,398,588,300,1104,482
Lipscomb,-1.20,929,2227,279,460,614,303,1229,558
Cal State Long Beach,-0.44,948,2133,248,440,640,414,1331,490
Long Island University,-9.08,823,1944,209,482,680,356,1191,436
Longwood,-6.62,806,1932,320,474,626,290,1161,429
Louisiana,-1.51,903,1951,256,513,699,357,1215,485
Louisiana-Monroe,-1.96,962,2116,292,421,589,358,1205,433
Louisiana State NCAA,9.16,900,2085,281,477,691,388,1200,508
Louisiana Tech,-2.31,804,1882,245,382,555,322,1174,439
Louisville NCAA,11.04,819,2007,239,447,643,330,1176,380
Loyola (IL),-0.16,764,1749,248,290,409,223,992,448
Loyola Marymount,0.90,715,1703,230,465,610,265,1007,488
Loyola (MD),-4.60,885,1819,254,453,588,291,1069,468
Maine,-4.21,757,1661,303,454,639,274,1064,418
Manhattan,-7.32,650,1499,227,484,683,287,1066,473
Marist,-7.53,728,1637,278,413,588,259,1015,395
Marquette NCAA,6.96,819,2020,233,492,725,341,1146,402
Marshall,-0.61,1071,2340,293,544,758,433,1551,591
Maryland-Baltimore County,-5.85,742,1774,289,404,566,266,1132,532
Maryland-Eastern Shore,-7.91,786,1725,284,435,636,329,1188,405
Maryland NCAA,10.09,795,2005,252,386,534,315,1050,318
Massachusetts-Lowell,-6.95,879,1946,215,447,632,340,1126,419
Massachusetts,-0.18,800,1773,216,538,734,288,1037,371
McNeese State,-6.15,839,1839,264,361,493,318,1029,379
Memphis,5.09,917,2169,275,571,814,404,1292,583
Mercer,-0.24,779,1772,289,399,591,345,1093,442
Miami (FL),8.70,852,1888,260,311,428,326,1161,436
Miami (OH),2.31,784,1813,248,417,603,269,1099,385
Michigan State NCAA,12.34,905,2378,280,444,654,404,1238,398
Michigan NCAA,10.55,823,2073,181,331,499,320,1273,434
Middle Tennessee,1.44,807,1869,259,440,621,311,1118,394
Milwaukee,-2.50,796,1812,276,447,638,305,1125,326
Minnesota NCAA,11.27,922,2107,243,411,594,353,1252,412
Mississippi State NCAA,9.07,848,1937,253,445,622,342,1086,458
Mississippi Valley State,-6.99,897,1935,281,423,611,351,1281,394
Mississippi NCAA,8.13,832,1869,241,442,627,332,1080,471
Missouri-Kansas City,-1.55,825,1774,234,457,649,326,1164,466
Missouri State,-1.03,749,1656,240,419,585,247,1013,460
Missouri,9.16,738,1719,223,469,654,271,1011,386
Monmouth,-4.83,788,1879,346,568,812,343,1222,515
Montana State,-5.81,923,1908,318,388,552,273,1099,394
Montana NCAA,-5.05,823,1906,236,515,687,286,1094,472
Morehead State,-1.76,924,2029,273,422,569,361,1236,424
Morgan State,-10.70,804,1726,233,463,685,355,1208,530
Mount St. Mary's,-6.02,802,1804,247,435,604,331,1148,393
Murray State NCAA,-3.11,827,2014,204,397,552,376,1145,464
Navy,-4.00,800,1782,258,392,530,272,1053,352
Omaha,-3.39,890,1896,302,372,499,259,1083,389
Nebraska,11.31,875,2080,237,434,613,413,1358,470
Nevada-Las Vegas,0.48,813,1810,220,396,572,299,1054,380
Nevada NCAA,2.68,815,1984,263,375,555,312,1186,461
New Hampshire,-6.03,688,1552,198,416,596,217,1080,340
New Mexico State NCAA,-2.38,789,1882,252,429,611,236,1003,460
New Mexico,1.61,869,1925,230,486,708,319,1191,438
New Orleans,-6.47,815,1860,202,493,699,377,1180,577
Niagara,-7.77,902,1946,276,352,492,285,1154,365
Nicholls State,-6.98,829,1872,198,446,634,368,1239,426
NJIT,-4.74,872,2041,252,405,600,326,1247,444
Norfolk State,-8.74,831,2033,279,562,837,372,1308,562
North Alabama,-1.69,818,1806,232,490,698,273,1200,410
North Carolina-Asheville,-2.35,810,1702,271,422,593,346,1073,366
North Carolina A&T,-9.88,790,1855,220,409,579,388,1158,455
North Carolina Central NCAA,-11.24,831,1911,213,391,582,308,1045,450
North Carolina-Greensboro,-0.90,867,1981,265,444,628,348,1218,592
North Carolina State,6.22,898,2037,216,556,790,362,1232,559
North Carolina-Wilmington,-2.04,938,1984,330,464,634,293,1109,342
North Carolina NCAA,11.35,935,2248,330,434,639,321,1216,501
North Dakota State NCAA,-2.07,942,2043,261,396,529,284,1164,343
North Dakota,-3.55,806,1783,204,380,489,254,1054,382
North Florida,-0.70,939,2161,214,439,628,425,1261,428
North Texas,-3.48,718,1766,205,436,653,295,1095,451
Northeastern NCAA,-0.70,889,1931,234,394,536,272,1090,383
