School,Wins
Villanova,6
Michigan,5
Kansas,4
Loyola (IL),4
Kansas State,3
Duke,3
Texas Tech,3
Florida State,3
Syracuse,3
Texas A&M,2
Clemson,2
Nevada,2
Kentucky,2
Gonzaga,2
Purdue,2
West Virginia,2
Xavier,1
North Carolina,1
Houston,1
Florida,1
Michigan State,1
Ohio State,1
Marshall,1
Alabama,1
Tennessee,1
Auburn,1
UMBC,1
Texas Southern,1
Radford,1
Butler,1
Rhode Island,1
St. Bonaventure,1
Seton Hall,1
Cincinnati,1
Buffalo,1
California State-Fullerton,0
Georgia State,0
College of Charleston,0
Bucknell,0
Davidson,0
Iona,0
Creighton,0
Arkansas,0
Arizona State,0
Arizona,0
Pennsylvania,0
Wright State,0
Wichita State,0
Virginia Tech,0
Virginia,0
UCLA,0
Texas Christian,0
Texas,0
Stephen F. Austin,0
South Dakota State,0
Montana,0
Providence,0
Lipscomb,0
Oklahoma,0
North Carolina-Greensboro,0
North Carolina State,0
North Carolina Central,0
New Mexico State,0
Murray State,0
Missouri,0
Miami (FL),0
Long Island-Brooklyn,0
San Diego State,0
