School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Air Force,665,1474,225,402,590,276,966,365
Akron,787,1887,177,542,764,401,1188,496
Alabama A&M,666,1570,140,409,653,408,1141,511
Alabama-Birmingham,713,1752,156,471,658,325,1082,476
Alabama State,692,1591,150,509,762,321,1046,486
Alabama,736,1734,181,420,633,384,1102,446
Albany (NY),778,1788,222,434,628,355,1065,392
Alcorn State,888,1912,223,543,855,467,1329,488
American,732,1709,169,450,664,294,997,297
Appalachian State,908,2164,288,463,704,382,1134,400
Arizona State,678,1687,181,401,587,345,1056,426
Arizona,787,1800,180,479,689,350,1067,399
Little Rock,751,1703,229,463,663,338,1061,359
Arkansas-Pine Bluff NCAA,698,1720,170,621,938,321,1086,473
Arkansas State,738,1804,161,428,608,354,1072,377
Arkansas,825,1910,233,483,668,396,1187,469
Army,560,1358,202,446,636,270,955,495
Auburn,830,1818,223,490,687,342,1137,484
Austin Peay,828,1864,226,435,620,391,1129,432
Ball State,665,1660,182,359,522,343,1010,355
Baylor NCAA,816,2136,249,481,708,470,1178,435
Belmont,753,1822,161,457,677,403,1096,449
Bethune-Cookman,668,1575,191,469,721,332,1060,465
Binghamton,740,1725,219,383,572,378,1068,354
Boise State,864,1898,205,398,587,350,1112,470
Boston College,766,1758,150,366,545,336,977,363
Boston University,806,1960,222,561,832,403,1325,511
Bowling Green State,689,1591,224,374,550,318,963,392
Bradley,725,1764,223,416,538,367,1082,378
Brigham Young NCAA,836,2049,220,500,733,372,1181,565
Brown,856,1932,207,312,460,382,1157,313
Bucknell,722,1675,208,455,633,319,1074,401
Buffalo,745,1646,197,448,638,318,1024,456
Butler NCAA,805,1936,194,454,669,335,1142,529
Cal Poly,746,1637,207,636,886,309,1052,383
Cal State Fullerton,791,1850,195,486,714,368,1134,407
Cal State Northridge,772,1824,240,628,875,420,1188,521
UC-Davis,782,1682,196,502,759,312,1073,499
UC-Irvine,752,1688,204,520,733,345,1124,428
UC-Riverside,621,1494,220,397,603,272,930,348
UC-Santa Barbara NCAA,671,1611,198,432,647,341,1051,458
University of California NCAA,866,1993,195,460,663,381,1123,447
Campbell,644,1474,192,420,610,312,955,552
Canisius,783,1857,210,384,586,400,1151,421
Centenary (LA),799,1631,188,534,728,336,1119,472
Central Connecticut State,732,1614,162,309,461,326,1024,431
Central Florida,750,1708,212,472,694,375,1088,457
Central Michigan,600,1410,159,565,774,302,973,459
Charleston Southern,730,1656,178,392,595,348,1072,472
Charlotte,785,1891,212,423,606,399,1148,383
Chattanooga,818,1938,331,412,616,381,1201,485
Chicago State,762,1657,244,519,774,332,1134,509
Cincinnati,807,1954,230,483,703,368,1157,423
Citadel,682,1616,190,360,529,310,1058,385
Clemson NCAA,746,1768,148,425,626,381,1112,551
Cleveland State,750,1617,193,561,833,352,1119,524
Coastal Carolina,767,2008,184,385,576,431,1179,507
Colgate,718,1602,204,429,589,280,957,369
College of Charleston,939,2096,192,423,656,505,1379,449
Colorado State,703,1627,205,523,770,305,1029,465
Colorado,786,1702,184,543,780,381,1116,469
Columbia,618,1384,179,413,595,255,916,407
Connecticut,834,2118,202,396,563,479,1208,421
Coppin State,694,1638,185,456,684,404,1163,441
Cornell NCAA,745,1777,197,467,658,335,1042,463
Creighton,795,1897,224,506,702,370,1171,399
Dartmouth,648,1452,143,396,553,306,1020,377
Davidson,748,1714,204,449,632,289,1040,385
Dayton,778,1981,217,532,810,374,1218,520
Delaware State,621,1300,149,300,465,292,912,496
Delaware,756,1679,207,532,754,346,1105,362
Denver,645,1403,132,590,838,279,953,410
DePaul,724,1669,180,445,661,397,1205,400
Detroit Mercy,775,1874,207,477,668,361,1090,520
Drake,813,1769,246,387,561,338,1158,409
Drexel,686,1676,136,543,775,367,1151,414
Duke NCAA,884,2204,158,515,750,468,1310,569
Duquesne,800,1920,234,450,674,466,1321,527
East Carolina,816,1853,232,459,652,380,1056,361
East Tennessee State NCAA,801,1917,260,500,756,425,1250,582
Eastern Illinois,690,1706,237,406,576,360,1002,407
Eastern Kentucky,786,1689,237,399,566,335,1099,450
Eastern Michigan,743,1707,186,424,641,322,1081,455
Eastern Washington,776,1654,195,541,759,278,1084,423
Elon,846,1842,211,432,649,378,1233,453
Evansville,687,1567,197,497,690,284,976,396
Fairfield,808,1900,220,451,652,417,1209,506
Fairleigh Dickinson,798,1871,240,443,683,396,1182,391
Florida A&M,807,1791,191,465,673,418,1184,427
Florida Atlantic,766,1685,165,508,759,364,1154,433
Florida International,868,1785,255,478,678,358,1192,471
Florida State NCAA,660,1751,203,409,609,385,1044,513
Florida NCAA,841,1952,209,367,540,396,1170,465
Fordham,786,1729,175,473,683,362,1145,344
Fresno State,771,1810,247,418,618,371,1156,467
Furman,720,1698,155,464,711,356,1067,376
Gardner-Webb,806,1737,189,456,697,376,1136,459
George Mason,775,1817,189,422,617,401,1148,421
George Washington,700,1691,234,479,723,341,1066,470
Georgetown NCAA,788,1890,216,454,632,380,1053,445
Georgia Southern,903,1762,206,517,791,392,1195,573
Georgia State,692,1630,173,482,681,376,1070,458
Georgia Tech NCAA,818,2129,240,489,734,482,1259,547
Georgia,768,1782,190,424,576,356,980,369
Gonzaga NCAA,818,2006,216,439,677,377,1134,442
Grambling,686,1515,140,536,832,358,1097,443
Green Bay,833,1887,207,468,675,404,1179,478
Hampton,723,1755,170,434,689,427,1156,516
Hartford,676,1524,226,522,755,333,1136,406
Harvard,656,1565,166,450,635,308,906,431
Hawaii,774,1712,196,443,635,336,971,330
High Point,744,1643,162,553,793,356,1088,470
Hofstra,745,1879,160,640,929,407,1249,461
Holy Cross,796,1817,218,413,594,352,1008,340
Houston NCAA,929,2016,197,569,797,469,1480,585
Howard,840,1800,169,402,597,360,1180,389
Idaho State,743,1592,232,458,648,337,930,321
Idaho,792,1783,203,401,574,339,1036,398
Illinois-Chicago,719,1634,203,469,667,361,1174,433
Illinois State,742,1753,225,406,550,306,1037,446
Illinois,838,2094,267,463,665,407,1240,433
Indiana State,741,1786,203,438,657,385,1146,367
Indiana,768,1730,186,493,712,387,1102,435
Iona,629,1575,163,500,745,352,1113,504
Iowa State,801,1916,206,366,509,373,1128,394
Iowa,778,1696,196,360,505,293,1019,349
Fort Wayne,733,1736,154,492,665,325,1134,398
IUPUI,875,2033,257,413,604,414,1128,523
Jackson State,690,1715,183,526,807,365,1132,427
Jacksonville State,746,1690,192,460,671,358,1063,403
Jacksonville,749,1735,183,547,795,362,1123,538
James Madison,839,1981,200,429,617,430,1189,399
Kansas State NCAA,853,2037,209,669,955,451,1277,624
Kansas NCAA,811,2142,229,461,672,460,1211,502
Kennesaw State,864,1928,217,369,564,453,1236,471
Kent State,771,1799,197,474,671,348,1181,523
Kentucky NCAA,875,2314,245,473,688,488,1277,531
La Salle,787,1803,208,411,604,374,1034,352
Lafayette,842,1846,247,356,529,391,1134,468
Lamar,822,1853,194,450,669,360,1089,442
Lehigh NCAA,834,1954,236,427,603,360,1159,451
Liberty,766,1806,215,367,580,367,1081,418
Lipscomb,836,1791,236,347,552,336,1020,415
Long Beach State,858,1939,197,434,628,404,1238,508
Long Island University,807,1861,221,390,586,371,1152,395
Longwood,854,1781,169,560,818,360,1186,504
Louisiana,670,1566,166,519,739,352,1042,445
Louisiana-Monroe,772,1664,207,473,676,326,987,443
Louisiana State,722,1678,204,411,618,362,1084,383
Louisiana Tech,900,2062,235,407,586,398,1210,475
Louisville NCAA,786,1833,205,527,751,432,1156,505
Loyola (IL),723,1675,203,368,522,330,995,342
Loyola Marymount,878,1995,230,595,813,431,1230,466
Loyola (MD),649,1634,153,532,748,387,1052,394
Maine,665,1682,196,338,493,348,1067,431
Manhattan,701,1699,188,494,709,377,1195,453
Marist,743,1620,205,424,607,337,1097,359
Marquette NCAA,828,1841,173,369,542,358,1116,488
Marshall,829,2096,191,498,711,458,1238,457
Maryland-Baltimore County,758,1713,219,480,681,400,1205,381
Maryland-Eastern Shore,801,1810,181,433,663,379,1145,386
Maryland NCAA,808,2052,221,417,602,490,1252,499
Massachusetts,843,1920,226,484,724,396,1196,395
McNeese State,676,1542,191,561,794,354,1027,427
Memphis,768,1832,168,529,755,424,1182,512
Mercer,887,2004,211,493,710,405,1149,413
Miami (FL),737,1813,210,452,645,371,1082,448
Miami (OH),708,1691,181,427,621,351,1054,337
Michigan State NCAA,829,2043,248,455,642,373,1109,459
Michigan,752,1698,177,289,428,349,1113,452
Middle Tennessee,709,1595,180,537,798,275,1032,491
Milwaukee,832,1899,210,440,628,313,1121,395
Minnesota NCAA,779,1946,250,434,638,413,1178,496
Mississippi State,868,2233,231,369,554,447,1335,411
Mississippi Valley State,806,1779,216,487,736,370,1177,490
Mississippi,852,2081,227,543,794,453,1317,494
Missouri-Kansas City,713,1486,159,521,725,254,984,432
Missouri State,815,1882,227,493,692,329,1124,465
Missouri NCAA,775,1890,185,517,736,468,1298,659
Monmouth,721,1628,192,431,643,329,1113,463
Montana State,672,1564,188,430,583,337,1027,383
Montana NCAA,690,1654,181,399,609,318,961,404
Morehead State,734,1711,222,526,774,304,1029,560
Morgan State NCAA,902,2134,180,622,921,488,1351,529
Mount St. Mary's,715,1749,149,380,554,386,1151,478
Murray State NCAA,761,1967,195,458,660,424,1091,603
Navy,764,1694,188,545,774,369,1187,497
Nebraska,725,1682,233,486,700,314,1080,463
Nevada-Las Vegas NCAA,693,1738,197,585,827,360,1172,535
Nevada,935,2133,202,479,672,415,1201,378
New Hampshire,639,1538,133,462,659,295,1059,407
New Mexico State NCAA,954,2127,262,469,680,441,1282,452
New Mexico NCAA,823,1922,255,451,673,331,1165,475
New Orleans,683,1526,172,448,654,279,983,417
Niagara,832,1983,177,448,660,465,1330,488
Nicholls State,709,1378,184,512,752,257,948,496
NJIT,691,1645,183,505,697,335,1172,493
Norfolk State,766,1788,181,547,844,419,1113,449
North Carolina-Asheville,861,1992,218,461,684,433,1189,445
North Carolina A&T,826,1985,252,472,660,444,1344,498
North Carolina-Greensboro,791,1707,220,424,632,339,1090,433
North Carolina State,841,1990,162,478,728,444,1278,474
North Carolina-Wilmington,788,1809,137,502,754,421,1176,388
North Carolina,984,2390,284,409,585,484,1354,508
North Dakota State,733,1697,166,455,636,307,1031,355
North Florida,690,1633,165,474,700,386,1114,429
North Texas NCAA,846,1953,169,442,627,366,1094,420
Northeastern,721,1749,174,367,506,403,1107,461
Northern Arizona,712,1564,175,404,601,282,917,367
