,Team_Id,wins,School
231,1115,1,Ark Pine Bluff 2010
232,1124,3,Baylor 2010
233,1139,5,Butler 2010
234,1140,1,BYU 2010
235,1143,1,California 2010
236,1165,2,Cornell 2010
237,1181,6,Duke 2010
238,1210,1,Georgia Tech 2010
239,1211,1,Gonzaga 2010
240,1242,1,Kansas 2010
241,1243,3,Kansas St 2010
242,1246,3,Kentucky 2010
243,1268,1,Maryland 2010
244,1277,4,Michigan St 2010
245,1281,1,Missouri 2010
246,1293,1,Murray St 2010
247,1307,1,New Mexico 2010
248,1320,2,Northern Iowa 2010
249,1325,1,Ohio 2010
250,1326,2,Ohio St 2010
251,1330,1,Old Dominion 2010
252,1338,1,Pittsburgh 2010
253,1345,2,Purdue 2010
254,1388,2,St Mary's CA 2010
255,1393,2,Syracuse 2010
256,1397,3,Tennessee 2010
257,1401,1,Texas A&M 2010
258,1437,1,Villanova 2010
259,1448,1,Wake Forest 2010
260,1449,2,Washington 2010
261,1452,4,West Virginia 2010
262,1458,1,Wisconsin 2010
263,1462,2,Xavier 2010
264,1112,3,Arizona 2011
265,1139,5,Butler 2011
266,1140,2,BYU 2011
267,1153,1,Cincinnati 2011
268,1155,1,Clemson 2011
269,1163,6,Connecticut 2011
270,1181,2,Duke 2011
271,1196,3,Florida 2011
272,1199,2,Florida St 2011
273,1206,1,George Mason 2011
274,1211,1,Gonzaga 2011
275,1228,1,Illinois 2011
276,1242,3,Kansas 2011
277,1243,1,Kansas St 2011
278,1246,4,Kentucky 2011
279,1266,2,Marquette 2011
280,1276,1,Michigan 2011
281,1287,1,Morehead St 2011
282,1314,3,North Carolina 2011
283,1323,1,Notre Dame 2011
284,1326,2,Ohio St 2011
285,1338,1,Pittsburgh 2011
286,1345,1,Purdue 2011
287,1350,2,Richmond 2011
288,1361,2,San Diego St 2011
289,1393,1,Syracuse 2011
290,1396,1,Temple 2011
291,1400,1,Texas 2011
292,1417,1,UCLA 2011
293,1421,1,UNC Asheville 2011
294,1427,1,UT San Antonio 2011
295,1433,5,VA Commonwealth 2011
296,1449,1,Washington 2011
297,1452,1,West Virginia 2011
298,1458,2,Wisconsin 2011
299,1124,3,Baylor 2012
300,1140,1,BYU 2012
301,1153,2,Cincinnati 2012
302,1160,1,Colorado 2012
303,1166,1,Creighton 2012
304,1196,3,Florida 2012
305,1199,1,Florida St 2012
306,1207,1,Georgetown 2012
307,1211,1,Gonzaga 2012
