Rank,School,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,.521,17.7,27.8,.217
2,Air Force,.490,16.3,27.5,.233
3,Akron,.518,17.3,27.1,.222
4,Alabama A&M,.450,20.9,29.4,.203
5,Alabama-Birmingham,.545,16.5,31.1,.218
6,Alabama State,.465,16.9,31.9,.227
7,Alabama NCAA,.519,17.8,29.3,.281
8,Albany (NY),.507,14.7,34.9,.279
9,Alcorn State,.499,17.9,27.1,.232
10,American,.506,18.3,23.4,.202
11,Appalachian State,.509,16.3,30.8,.252
12,Arizona State NCAA,.538,13.0,27.9,.303
13,Arizona NCAA,.563,15.3,33.2,.281
14,Little Rock,.484,18.5,28.9,.192
15,Arkansas-Pine Bluff,.496,18.6,23.9,.247
16,Arkansas State,.502,15.9,30.3,.236
17,Arkansas NCAA,.538,13.2,28.7,.255
18,Army,.524,16.4,27.0,.160
19,Auburn NCAA,.508,14.1,31.8,.308
20,Austin Peay,.505,16.8,35.7,.239
21,Ball State,.516,16.1,27.8,.239
22,Baylor,.523,16.7,35.6,.234
23,Belmont,.588,16.3,25.2,.206
24,Bethune-Cookman,.502,17.3,33.5,.282
25,Binghamton,.510,15.8,26.0,.190
26,Boise State,.542,16.5,29.3,.231
27,Boston College,.521,15.5,29.8,.228
28,Boston University,.529,17.6,28.6,.206
29,Bowling Green State,.483,15.0,30.0,.272
30,Bradley,.490,17.3,31.9,.263
31,Brigham Young,.541,15.2,22.4,.282
32,Brown,.483,15.7,30.3,.309
33,Bryant,.479,15.9,26.1,.196
34,Bucknell NCAA,.539,15.1,26.9,.306
35,Buffalo NCAA,.549,14.3,31.6,.208
36,Butler NCAA,.540,13.9,27.1,.202
37,Cal Poly,.470,15.2,25.8,.205
38,Cal State Bakersfield,.473,17.6,32.2,.241
39,Cal State Fullerton NCAA,.516,18.0,26.8,.316
40,Cal State Northridge,.488,16.0,24.0,.198
41,UC-Davis,.525,16.7,24.9,.282
42,UC-Irvine,.490,17.2,33.1,.204
43,UC-Riverside,.454,17.2,27.0,.229
44,UC-Santa Barbara,.532,13.4,29.3,.219
45,University of California,.446,17.4,34.7,.256
46,Campbell,.561,15.6,21.4,.260
47,Canisius,.542,16.2,29.9,.213
48,Central Arkansas,.519,15.9,26.9,.265
49,Central Connecticut State,.510,19.1,31.1,.228
50,Central Florida,.478,18.0,28.5,.277
51,Central Michigan,.517,14.2,30.9,.262
52,Charleston Southern,.505,16.5,31.6,.234
53,Charlotte,.493,18.1,26.3,.279
54,Chattanooga,.511,18.0,27.1,.247
55,Chicago State,.452,18.0,26.7,.239
56,Cincinnati NCAA,.512,14.1,38.4,.249
57,Citadel,.504,16.2,27.4,.221
58,Clemson NCAA,.529,15.3,27.0,.253
59,Cleveland State,.509,17.0,22.2,.205
60,Coastal Carolina,.494,18.2,34.5,.279
61,Colgate,.518,14.4,26.0,.225
62,College of Charleston NCAA,.527,13.2,25.6,.277
63,Colorado State,.476,15.9,30.7,.241
64,Colorado,.506,17.5,29.4,.243
65,Columbia,.522,15.2,27.6,.179
66,Connecticut,.475,16.0,28.8,.241
67,Coppin State,.433,18.3,22.3,.201
68,Cornell,.529,16.6,24.2,.260
69,Creighton NCAA,.575,13.9,22.3,.194
70,Dartmouth,.517,17.9,23.7,.233
71,Davidson NCAA,.574,13.1,22.3,.196
72,Dayton,.555,18.1,25.5,.232
73,Delaware State,.471,19.4,30.2,.201
74,Delaware,.508,13.9,27.2,.228
75,Denver,.535,18.7,31.4,.221
76,DePaul,.479,16.5,32.9,.208
77,Detroit Mercy,.504,15.8,27.6,.231
78,Drake,.510,15.3,23.1,.250
79,Drexel,.498,15.1,30.7,.234
80,Duke NCAA,.559,14.7,38.6,.246
81,Duquesne,.497,14.9,33.0,.242
82,East Carolina,.483,18.0,27.8,.191
83,East Tennessee State,.536,16.7,31.2,.235
84,Eastern Illinois,.489,17.3,30.3,.218
85,Eastern Kentucky,.501,16.3,27.1,.252
86,Eastern Michigan,.522,16.3,29.8,.203
87,Eastern Washington,.541,14.9,22.2,.217
88,Elon,.527,14.9,22.5,.170
89,Evansville,.498,18.3,24.3,.271
90,Fairfield,.514,15.4,24.5,.220
91,Fairleigh Dickinson,.508,16.6,30.8,.223
92,Florida A&M,.474,17.1,27.6,.234
93,Florida Atlantic,.456,15.3,29.2,.205
94,Florida Gulf Coast,.554,16.8,31.7,.238
95,Florida International,.479,13.6,25.5,.224
96,Florida State NCAA,.532,15.4,31.7,.256
97,Florida NCAA,.507,12.3,28.7,.234
98,Fordham,.479,16.9,18.7,.190
99,Fresno State,.550,15.3,28.2,.262
100,Furman,.554,14.4,27.5,.198
101,Gardner-Webb,.508,17.2,26.8,.204
102,George Mason,.491,15.9,27.9,.236
103,George Washington,.495,16.5,31.7,.205
104,Georgetown,.518,18.0,31.1,.297
105,Georgia Southern,.497,13.6,31.1,.263
106,Georgia State NCAA,.540,14.5,25.6,.205
107,Georgia Tech,.469,16.6,30.8,.248
108,Georgia,.475,16.2,34.8,.281
109,Gonzaga NCAA,.570,13.9,32.4,.227
110,Grambling,.461,17.7,31.9,.295
111,Grand Canyon,.492,16.0,31.4,.277
112,Green Bay,.497,16.2,26.3,.249
113,Hampton,.492,14.9,29.6,.260
114,Hartford,.527,16.0,24.9,.210
115,Harvard,.503,18.1,26.7,.224
116,Hawaii,.504,17.1,26.7,.282
117,High Point,.507,16.0,31.7,.244
118,Hofstra,.534,13.2,30.8,.251
119,Holy Cross,.526,17.6,19.3,.205
120,Houston Baptist,.471,15.5,35.3,.215
121,Houston NCAA,.533,14.9,33.4,.234
122,Howard,.491,16.0,29.3,.244
123,Idaho State,.552,17.5,21.1,.246
124,Idaho,.547,16.9,31.3,.237
125,Illinois-Chicago,.507,18.0,28.7,.267
126,Illinois State,.503,16.5,25.8,.228
127,Illinois,.500,15.8,34.1,.245
128,Incarnate Word,.481,19.2,28.2,.300
129,Indiana State,.498,17.4,28.1,.252
130,Indiana,.511,15.7,31.8,.239
131,Iona NCAA,.539,14.3,24.3,.223
