"","Rank","Team","FG","FGA","X3P","FT","FTA","ORB","DRB","TOV","Opp.FG","Opp.FGA","Opp.3P","Opp.FT","Opp.FTA","Opp.ORB","Opp.DRB","Opp.TOV","Win."
"1",1,"canisius",25,52,8,17,19,6,23,18,30,73,7,13,20,17,19,12,0
"2",2,"buffalo",30,73,7,13,20,17,19,12,25,52,8,17,19,6,23,18,1
"3",3,"pennsylvania",26,72,9,11,19,7,23,9,28,56,4,20,24,7,37,16,0
"4",4,"fairfield",28,56,4,20,24,7,37,16,26,72,9,11,19,7,23,9,1
"5",5,"illinois-state",33,65,14,7,16,3,19,11,32,65,7,27,37,13,30,11,0
"6",6,"florida-gulf-coast",32,65,7,27,37,13,30,11,33,65,14,7,16,3,19,11,1
"7",7,"iupui",15,53,6,17,20,10,19,11,25,56,12,6,12,12,24,12,0
"8",8,"bradley",25,56,12,6,12,12,24,12,15,53,6,17,20,10,19,11,1
"9",9,"alabama-am",21,62,4,7,8,8,34,22,24,65,5,8,13,4,29,15,0
"10",10,"ohio",24,65,5,8,13,4,29,15,21,62,4,7,8,8,34,22,1
"11",11,"dartmouth",28,68,5,16,19,6,20,6,24,60,8,22,27,14,30,15,0
"12",12,"quinnipiac",24,60,8,22,27,14,30,15,28,68,5,16,19,6,20,6,1
"13",13,"siena-heights",26,63,14,6,6,8,15,18,36,69,9,22,31,15,26,8,0
"14",14,"western-michigan",36,69,9,22,31,15,26,8,26,63,14,6,6,8,15,18,1
"15",15,"toccoa-falls",11,69,3,9,15,3,13,20,50,80,20,15,27,18,53,16,0
"16",16,"appalachian-state",50,80,20,15,27,18,53,16,11,69,3,9,15,3,13,20,1
"17",17,"johnson-wales-ri",23,59,8,24,31,7,24,18,32,78,7,35,40,22,26,10,0
"18",18,"brown",32,78,7,35,40,22,26,10,23,59,8,24,31,7,24,18,1
"19",19,"coe",19,51,10,6,8,2,20,18,33,56,16,19,22,6,31,11,0
"20",20,"drake",33,56,16,19,22,6,31,11,19,51,10,6,8,2,20,18,1
"21",21,"saint-peters",15,49,7,3,5,6,19,14,22,47,7,10,14,5,27,13,0
"22",22,"la-salle",22,47,7,10,14,5,27,13,15,49,7,3,5,6,19,14,1
"23",23,"stephen-f-austin",25,56,6,18,25,15,27,20,22,56,4,13,18,8,19,22,1
"24",24,"longwood",22,56,4,13,18,8,19,22,25,56,6,18,25,15,27,20,0
"25",25,"ouachita",29,53,14,9,12,5,19,16,33,60,6,7,16,9,19,11,1
"26",26,"arkansas-little-rock",33,60,6,7,16,9,19,11,29,53,14,9,12,5,19,16,0
"27",27,"north-dakota-state",22,54,7,15,20,6,20,8,27,53,12,19,26,6,26,6,0
"28",28,"california-santa-barbara",27,53,12,19,26,6,26,6,22,54,7,15,20,6,20,8,1
"29",29,"notre-dame",25,53,12,10,16,6,31,8,22,65,5,9,16,10,21,4,1
"30",30,"depaul",22,65,5,9,16,10,21,4,25,53,12,10,16,6,31,8,0
"31",31,"st-francis-ny",26,65,5,13,16,13,21,10,23,59,3,31,45,13,25,8,0
"32",32,"duquesne",23,59,3,31,45,13,25,8,26,65,5,13,16,13,21,10,1
"33",33,"wagner",20,55,6,14,22,12,26,16,15,47,4,15,30,7,25,16,1
"34",34,"njit",15,47,4,15,30,7,25,16,20,55,6,14,22,12,26,16,0
"35",35,"cleveland-state",22,55,3,10,26,4,33,15,20,64,8,19,23,6,37,16,0
"36",36,"akron",20,64,8,19,23,6,37,16,22,55,3,10,26,4,33,15,1
"37",37,"utah-valley",25,67,6,13,16,12,21,19,39,73,10,11,17,13,27,11,0
"38",38,"duke",39,73,10,11,17,13,27,11,25,67,6,13,16,12,21,19,1
"39",39,"peace",19,64,15,0,1,3,18,15,34,67,13,15,20,13,40,16,0
"40",40,"elon",34,67,13,15,20,13,40,16,19,64,15,0,1,3,18,15,1
"41",41,"lehigh",30,75,12,12,17,12,26,8,24,55,9,19,29,6,34,16,1
"42",42,"marist",24,55,9,19,29,6,34,16,30,75,12,12,17,12,26,8,0
"43",43,"north-florida",22,50,9,13,17,6,22,23,33,71,9,11,16,12,23,10,0
"44",44,"michigan",33,71,9,11,16,12,23,10,22,50,9,13,17,6,22,23,1
"45",45,"north-carolina-wesleyan",30,75,10,11,13,12,27,16,40,80,9,16,26,15,33,10,0
"46",46,"north-carolina-wilmington",40,80,9,16,26,15,33,10,30,75,10,11,13,12,27,16,1
