"","Rank","Team","FG","FGA","X3P","FT","FTA","ORB","DRB","TOV","Opp.FG","Opp.FGA","Opp.3P","Opp.FT","Opp.FTA","Opp.ORB","Opp.DRB","Opp.TOV","Win.","eFG","OeFG","TOVp","oTOVp","ORBp","DRBp","FTp","oFTp"
"1",1,"canisius",25,52,8,17,19,6,23,18,30,73,7,13,20,17,19,12,0,0.558,0.459,0.201,0.114,0.24,0.548,0.327,0.327
"2",2,"buffalo",30,73,7,13,20,17,19,12,25,52,8,17,19,6,23,18,1,0.459,0.558,0.114,0.201,0.425,0.452,0.178,0.178
"3",3,"pennsylvania",26,72,9,11,19,7,23,9,28,56,4,20,24,7,37,16,0,0.424,0.536,0.09,0.166,0.159,0.383,0.153,0.153
"4",4,"fairfield",28,56,4,20,24,7,37,16,26,72,9,11,19,7,23,9,1,0.536,0.424,0.166,0.09,0.233,0.617,0.357,0.357
"5",5,"illinois-state",33,65,14,7,16,3,19,11,32,65,7,27,37,13,30,11,0,0.615,0.546,0.119,0.097,0.091,0.388,0.108,0.108
"6",6,"florida-gulf-coast",32,65,7,27,37,13,30,11,33,65,14,7,16,3,19,11,1,0.546,0.615,0.097,0.119,0.406,0.612,0.415,0.415
"7",7,"iupui",15,53,6,17,20,10,19,11,25,56,12,6,12,12,24,12,0,0.34,0.554,0.13,0.149,0.294,0.442,0.321,0.321
"8",8,"bradley",25,56,12,6,12,12,24,12,15,53,6,17,20,10,19,11,1,0.554,0.34,0.149,0.13,0.387,0.558,0.107,0.107
"9",9,"alabama-am",21,62,4,7,8,8,34,22,24,65,5,8,13,4,29,15,0,0.371,0.408,0.238,0.161,0.216,0.54,0.113,0.113
"10",10,"ohio",24,65,5,8,13,4,29,15,21,62,4,7,8,8,34,22,1,0.408,0.371,0.161,0.238,0.105,0.46,0.123,0.123
"11",11,"dartmouth",28,68,5,16,19,6,20,6,24,60,8,22,27,14,30,15,0,0.449,0.467,0.064,0.146,0.167,0.4,0.235,0.235
"12",12,"quinnipiac",24,60,8,22,27,14,30,15,28,68,5,16,19,6,20,6,1,0.467,0.449,0.146,0.064,0.412,0.6,0.367,0.367
"13",13,"siena-heights",26,63,14,6,6,8,15,18,36,69,9,22,31,15,26,8,0,0.524,0.587,0.206,0.074,0.235,0.366,0.095,0.095
"14",14,"western-michigan",36,69,9,22,31,15,26,8,26,63,14,6,6,8,15,18,1,0.587,0.524,0.074,0.206,0.5,0.634,0.319,0.319
"15",15,"toccoa-falls",11,69,3,9,15,3,13,20,50,80,20,15,27,18,53,16,0,0.181,0.75,0.191,0.13,0.054,0.197,0.13,0.13
"16",16,"appalachian-state",50,80,20,15,27,18,53,16,11,69,3,9,15,3,13,20,1,0.75,0.181,0.13,0.191,0.581,0.803,0.188,0.188
"17",17,"johnson-wales-ri",23,59,8,24,31,7,24,18,32,78,7,35,40,22,26,10,0,0.458,0.455,0.166,0.078,0.212,0.48,0.407,0.407
"18",18,"brown",32,78,7,35,40,22,26,10,23,59,8,24,31,7,24,18,1,0.455,0.458,0.078,0.166,0.478,0.52,0.449,0.449
"19",19,"coe",19,51,10,6,8,2,20,18,33,56,16,19,22,6,31,11,0,0.471,0.732,0.232,0.123,0.061,0.392,0.118,0.118
"20",20,"drake",33,56,16,19,22,6,31,11,19,51,10,6,8,2,20,18,1,0.732,0.471,0.123,0.232,0.231,0.608,0.339,0.339
"21",21,"saint-peters",15,49,7,3,5,6,19,14,22,47,7,10,14,5,27,13,0,0.378,0.543,0.205,0.175,0.182,0.413,0.061,0.061
