Team,Team_1,win,SOS,SOS-1,efg%,def_efg%,tov%,def_tov%,orb%,drb%,ft%,def_ft%,efg%-1,def_efg%-1,tov%-1,def_tov%-1,orb%-1,drb%-1,ft%-1,def_ft%-1
Purdue_2016,Little_Rock_2016,0,7.46,-1.76,0.536,0.443,0.132,0.108,0.277,1.304,0.263,0.701,0.52,0.456,0.121,0.163,0.264,1.397,0.229,0.684
Iowa_State_2016,Little_Rock_2016,1,10.16,-1.76,0.571,0.498,0.128,0.131,0.244,1.546,0.183,0.688,0.52,0.456,0.121,0.163,0.264,1.397,0.229,0.684
Kansas_2016,Austin_Peay_2016,1,11.22,-2.98,0.564,0.45,0.135,0.14,0.279,1.295,0.272,0.724,0.516,0.531,0.144,0.145,0.318,1.071,0.306,0.706
Miami_(FL)_2016,Buffalo_2016,1,10.69,0.9,0.542,0.483,0.126,0.135,0.273,1.329,0.305,0.717,0.499,0.493,0.138,0.138,0.312,1.104,0.294,0.716
Virginia_2016,Butler_2016,1,11.12,7.55,0.548,0.484,0.117,0.148,0.272,1.341,0.241,0.702,0.526,0.497,0.109,0.145,0.308,1.123,0.287,0.71
Texas_Tech_2016,Butler_2016,0,10.25,7.55,0.5,0.496,0.134,0.142,0.3,1.166,0.314,0.705,0.526,0.497,0.109,0.145,0.308,1.123,0.287,0.71
Oklahoma_2016,Cal_State_Bakersfield_2016,1,11.14,-5.15,0.543,0.472,0.141,0.136,0.287,1.242,0.238,0.678,0.497,0.451,0.132,0.166,0.328,1.025,0.245,0.688
Indiana_2016,Chattanooga_2016,1,6.9,-3.46,0.587,0.498,0.148,0.147,0.321,1.056,0.248,0.681,0.524,0.5,0.136,0.162,0.307,1.129,0.304,0.68
Saint_Joseph's_2016,Cincinnati_2016,1,4.93,5.25,0.512,0.481,0.107,0.129,0.261,1.419,0.268,0.699,0.493,0.456,0.121,0.155,0.342,0.964,0.234,0.68
Kansas_2016,Connecticut_2016,1,11.22,6.28,0.564,0.45,0.135,0.14,0.279,1.295,0.272,0.724,0.516,0.445,0.125,0.135,0.258,1.44,0.235,0.661
Colorado_2016,Connecticut_2016,0,7.64,6.28,0.488,0.47,0.138,0.119,0.311,1.108,0.293,0.686,0.516,0.445,0.125,0.135,0.258,1.44,0.235,0.661
Oregon_2016,Duke_2016,1,8.64,10.59,0.525,0.485,0.121,0.156,0.32,1.063,0.291,0.696,0.537,0.495,0.105,0.132,0.329,1.021,0.293,0.681
North_Carolina_2016,Florida_Gulf_Coast_2016,1,10.69,-3.82,0.526,0.481,0.113,0.141,0.35,0.93,0.241,0.697,0.523,0.467,0.132,0.129,0.293,1.205,0.238,0.683
Utah_2016,Fresno_State_2016,1,8.79,2.24,0.557,0.48,0.14,0.122,0.26,1.424,0.276,0.725,0.487,0.486,0.114,0.159,0.316,1.081,0.263,0.697
Utah_2016,Gonzaga_2016,0,8.79,4.23,0.557,0.48,0.14,0.122,0.26,1.424,0.276,0.725,0.553,0.446,0.13,0.118,0.268,1.366,0.258,0.702
Syracuse_2016,Gonzaga_2016,1,9.75,4.23,0.501,0.473,0.135,0.153,0.337,0.982,0.243,0.666,0.553,0.446,0.13,0.118,0.268,1.366,0.258,0.702
Seton_Hall_2016,Gonzaga_2016,0,8.28,4.23,0.498,0.454,0.143,0.147,0.323,1.047,0.266,0.679,0.553,0.446,0.13,0.118,0.268,1.366,0.258,0.702
Texas_A&M_2016,Green_Bay_2016,1,8.45,-0.67,0.512,0.474,0.125,0.16,0.315,1.088,0.256,0.658,0.5,0.511,0.116,0.166,0.331,1.012,0.282,0.714
Virginia_2016,Hampton_2016,1,11.12,-8.45,0.548,0.484,0.117,0.148,0.272,1.341,0.241,0.702,0.464,0.483,0.137,0.13,0.338,0.979,0.273,0.723
University_of_California_2016,Hawaii_2016,0,7.87,-1.04,0.522,0.443,0.133,0.107,0.286,1.247,0.274,0.709,0.52,0.453,0.136,0.158,0.283,1.264,0.307,0.717
Oregon_2016,Holy_Cross_2016,1,8.64,-6.11,0.525,0.485,0.121,0.156,0.32,1.063,0.291,0.696,0.479,0.532,0.131,0.153,0.265,1.385,0.248,0.725
North_Carolina_2016,Indiana_2016,1,10.69,6.9,0.526,0.481,0.113,0.141,0.35,0.93,0.241,0.697,0.587,0.498,0.148,0.147,0.321,1.056,0.248,0.681
Kentucky_2016,Indiana_2016,0,8.84,6.9,0.535,0.445,0.116,0.13,0.323,1.047,0.261,0.703,0.587,0.498,0.148,0.147,0.321,1.056,0.248,0.681
Iowa_State_2016,Iona_2016,1,10.16,-1.78,0.571,0.498,0.128,0.131,0.244,1.546,0.183,0.688,0.538,0.488,0.137,0.145,0.286,1.25,0.23,0.699
Virginia_2016,Iowa_State_2016,1,11.12,10.16,0.548,0.484,0.117,0.148,0.272,1.341,0.241,0.702,0.571,0.498,0.128,0.131,0.244,1.546,0.183,0.688
Villanova_2016,Iowa_2016,1,9.71,8.71,0.561,0.467,0.127,0.159,0.253,1.473,0.267,0.662,0.513,0.48,0.112,0.146,0.312,1.103,0.237,0.683
Kansas_2016,Maryland_2016,1,11.22,8.31,0.564,0.45,0.135,0.14,0.279,1.295,0.272,0.724,0.555,0.463,0.146,0.13,0.248,1.519,0.295,0.712
Hawaii_2016,Maryland_2016,0,-1.04,8.31,0.52,0.453,0.136,0.158,0.283,1.264,0.307,0.717,0.555,0.463,0.146,0.13,0.248,1.519,0.295,0.712
Villanova_2016,Miami_(FL)_2016,1,9.71,10.69,0.561,0.467,0.127,0.159,0.253,1.473,0.267,0.662,0.542,0.483,0.126,0.135,0.273,1.329,0.305,0.717
Notre_Dame_2016,Michigan_2016,1,9.57,7.92,0.54,0.495,0.117,0.113,0.301,1.16,0.244,0.728,0.546,0.511,0.117,0.146,0.252,1.486,0.205,0.725
Michigan_State_2016,Middle_Tennessee_2016,0,6.94,-0.7,0.563,0.433,0.131,0.109,0.285,1.252,0.218,0.714,0.518,0.494,0.132,0.148,0.288,1.238,0.218,0.668
Villanova_2016,North_Carolina-Asheville_2016,1,9.71,-3.25,0.561,0.467,0.127,0.159,0.253,1.473,0.267,0.662,0.505,0.48,0.138,0.17,0.31,1.114,0.284,0.699
Duke_2016,North_Carolina-Wilmington_2016,1,10.59,0.35,0.537,0.495,0.105,0.132,0.329,1.021,0.293,0.681,0.512,0.469,0.118,0.151,0.321,1.058,0.262,0.705
Villanova_2016,North_Carolina_2016,1,9.71,10.69,0.561,0.467,0.127,0.159,0.253,1.473,0.267,0.662,0.526,0.481,0.113,0.141,0.35,0.93,0.241,0.697
Texas_2016,Northern_Iowa_2016,0,11.71,4.44,0.494,0.477,0.115,0.138,0.319,1.069,0.263,0.699,0.535,0.486,0.125,0.144,0.179,2.297,0.257,0.72
Texas_A&M_2016,Northern_Iowa_2016,1,8.45,4.44,0.512,0.474,0.125,0.16,0.315,1.088,0.256,0.658,0.535,0.486,0.125,0.144,0.179,2.297,0.257,0.72
Wisconsin_2016,Notre_Dame_2016,0,9.4,9.57,0.485,0.48,0.127,0.144,0.324,1.043,0.267,0.708,0.54,0.495,0.117,0.113,0.301,1.16,0.244,0.728
Stephen_F._Austin_2016,Notre_Dame_2016,0,-5.47,9.57,0.545,0.488,0.131,0.206,0.341,0.967,0.253,0.663,0.54,0.495,0.117,0.113,0.301,1.16,0.244,0.728
North_Carolina_2016,Notre_Dame_2016,1,10.69,9.57,0.526,0.481,0.113,0.141,0.35,0.93,0.241,0.697,0.54,0.495,0.117,0.113,0.301,1.16,0.244,0.728
Villanova_2016,Oklahoma_2016,1,9.71,11.14,0.561,0.467,0.127,0.159,0.253,1.473,0.267,0.662,0.543,0.472,0.141,0.136,0.287,1.242,0.238,0.678
Oregon_2016,Oklahoma_2016,0,8.64,11.14,0.525,0.485,0.121,0.156,0.32,1.063,0.291,0.696,0.543,0.472,0.141,0.136,0.287,1.242,0.238,0.678
Wisconsin_2016,Pittsburgh_2016,1,9.4,8.75,0.485,0.48,0.127,0.144,0.324,1.043,0.267,0.708,0.511,0.493,0.128,0.134,0.332,1.007,0.269,0.661
Southern_California_2016,Providence_2016,0,7.64,8.46,0.522,0.473,0.126,0.127,0.3,1.167,0.237,0.703,0.48,0.493,0.121,0.161,0.318,1.071,0.27,0.72
North_Carolina_2016,Providence_2016,1,10.69,8.46,0.526,0.481,0.113,0.141,0.35,0.93,0.241,0.697,0.48,0.493,0.121,0.161,0.318,1.071,0.27,0.72
Oregon_2016,Saint_Joseph's_2016,1,8.64,4.93,0.525,0.485,0.121,0.156,0.32,1.063,0.291,0.696,0.512,0.481,0.107,0.129,0.261,1.419,0.268,0.699
Maryland_2016,South_Dakota_State_2016,1,8.31,-1.22,0.555,0.463,0.146,0.13,0.248,1.519,0.295,0.712,0.515,0.473,0.127,0.135,0.298,1.178,0.298,0.721
West_Virginia_2016,Stephen_F._Austin_2016,0,9.78,-5.47,0.498,0.484,0.139,0.19,0.404,0.737,0.311,0.714,0.545,0.488,0.131,0.206,0.341,0.967,0.253,0.663
Kentucky_2016,Stony_Brook_2016,1,8.84,-5.28,0.535,0.445,0.116,0.13,0.323,1.047,0.261,0.703,0.524,0.464,0.126,0.149,0.324,1.044,0.215,0.717
Virginia_2016,Syracuse_2016,0,11.12,9.75,0.548,0.484,0.117,0.148,0.272,1.341,0.241,0.702,0.501,0.473,0.135,0.153,0.337,0.982,0.243,0.666
North_Carolina_2016,Syracuse_2016,1,10.69,9.75,0.526,0.481,0.113,0.141,0.35,0.93,0.241,0.697,0.501,0.473,0.135,0.153,0.337,0.982,0.243,0.666
Middle_Tennessee_2016,Syracuse_2016,0,-0.7,9.75,0.518,0.494,0.132,0.148,0.288,1.238,0.218,0.668,0.501,0.473,0.135,0.153,0.337,0.982,0.243,0.666
Dayton_2016,Syracuse_2016,0,4.76,9.75,0.516,0.469,0.142,0.141,0.258,1.434,0.272,0.667,0.501,0.473,0.135,0.153,0.337,0.982,0.243,0.666
Iowa_2016,Temple_2016,1,8.71,6.57,0.513,0.48,0.112,0.146,0.312,1.103,0.237,0.683,0.47,0.465,0.106,0.124,0.303,1.151,0.182,0.742
