Team,Team_1,win,SOS,SOS-1,efg%,def_efg%,tov%,def_tov%,orb%,drb%,ft%,def_ft%,efg%-1,def_efg%-1,tov%-1,def_tov%-1,orb%-1,drb%-1,ft%-1,def_ft%-1
Kentucky_2019,Abilene_Christian_2019,1,10.29,-7.34,0.53,0.466,0.138,0.142,0.299,1.172,0.31,0.705,0.535,0.488,0.137,0.19,0.293,1.208,0.239,0.722
Buffalo_2019,Arizona_State_2019,1,2.62,6.04,0.535,0.474,0.122,0.162,0.307,1.126,0.225,0.702,0.506,0.485,0.139,0.146,0.295,1.193,0.298,0.705
Virginia_2019,Auburn_2019,1,10.15,10.92,0.552,0.447,0.114,0.139,0.258,1.439,0.216,0.666,0.543,0.512,0.127,0.189,0.334,0.998,0.221,0.707
North_Carolina_2019,Auburn_2019,0,11.35,10.92,0.529,0.489,0.131,0.148,0.3,1.166,0.224,0.679,0.543,0.512,0.127,0.189,0.334,0.998,0.221,0.707
Kansas_2019,Auburn_2019,0,12.79,10.92,0.526,0.478,0.143,0.139,0.272,1.34,0.229,0.686,0.543,0.512,0.127,0.189,0.334,0.998,0.221,0.707
Syracuse_2019,Baylor_2019,0,10.09,9.26,0.496,0.48,0.14,0.175,0.309,1.117,0.252,0.722,0.512,0.491,0.146,0.142,0.348,0.936,0.219,0.683
Gonzaga_2019,Baylor_2019,1,5.01,9.26,0.59,0.442,0.115,0.15,0.245,1.538,0.269,0.697,0.512,0.491,0.146,0.142,0.348,0.936,0.219,0.683
Maryland_2019,Belmont_2019,1,10.09,-2.6,0.514,0.459,0.147,0.111,0.283,1.267,0.244,0.723,0.58,0.484,0.123,0.131,0.224,1.729,0.211,0.696
Michigan_State_2019,Bradley_2019,1,12.34,-0.9,0.552,0.439,0.142,0.116,0.262,1.407,0.253,0.679,0.497,0.477,0.147,0.145,0.262,1.409,0.248,0.724
Texas_Tech_2019,Buffalo_2019,1,9.53,2.62,0.535,0.43,0.14,0.175,0.243,1.559,0.241,0.694,0.535,0.474,0.122,0.162,0.307,1.126,0.225,0.702
