,Unnamed: 0,Year,Team,Team 1,win
0,0,2010,Lehigh 2010,Lehigh 2010,1
1,1,2010,Santa Barbara 2010,Santa Barbara 2010,1
2,2,2010,Ohio 2010,Ohio 2010,0
3,3,2010,Houston 2010,Houston 2010,1
4,4,2010,New Mexico St 2010,New Mexico St 2010,1
5,5,2010,San Diego St 2010,San Diego St 2010,1
6,6,2010,Georgia Tech 2010,Georgia Tech 2010,0
7,7,2010,Northern Iowa 2010,Northern Iowa 2010,0
8,8,2010,Vermont 2010,Vermont 2010,1
9,9,2010,North Texas 2010,North Texas 2010,1
10,10,2010,Oakland 2010,Oakland 2010,1
11,11,2010,Murray St 2010,Murray St 2010,0
12,12,2010,UTEP 2010,UTEP 2010,1
13,13,2010,Minnesota 2010,Minnesota 2010,1
14,14,2010,Florida 2010,Florida 2010,1
15,15,2010,Florida St 2010,Florida St 2010,1
16,16,2010,East Tennessee St 2010,East Tennessee St 2010,1
17,17,2010,Morgan St 2010,Morgan St 2010,1
18,18,2010,Montana 2010,Montana 2010,1
19,19,2010,Wofford 2010,Wofford 2010,1
20,20,2010,Cornell 2010,Cornell 2010,0
21,21,2010,Washington 2010,Washington 2010,0
22,22,2010,Missouri 2010,Missouri 2010,0
23,23,2010,Wake Forest 2010,Wake Forest 2010,0
24,24,2010,Arkansas Pine Bluff 2010,Arkansas Pine Bluff 2010,1
25,25,2010,Robert Morris 2010,Robert Morris 2010,1
26,26,2010,Sam Houston St 2010,Sam Houston St 2010,1
27,27,2010,Siena 2010,Siena 2010,1
28,28,2010,Utah St 2010,Utah St 2010,1
29,29,2010,Old Dominion 2010,Old Dominion 2010,0
30,30,2010,St Marys 2010,St Marys 2010,0
31,31,2010,Louisville 2010,Louisville 2010,1
32,32,2010,Northern Iowa 2010,Northern Iowa 2010,0
33,33,2010,Georgia Tech 2010,Georgia Tech 2010,1
34,34,2010,Tennessee 2010,Tennessee 2010,0
35,35,2010,Michigan St 2010,Michigan St 2010,0
36,36,2010,Gonzaga 2010,Gonzaga 2010,1
37,37,2010,BYU 2010,BYU 2010,1
38,38,2010,Xavier 2010,Xavier 2010,0
39,39,2010,Butler 2010,Butler 2010,0
40,40,2010,Wake Forest 2010,Wake Forest 2010,1
41,41,2010,Missouri 2010,Missouri 2010,1
42,42,2010,Washington 2010,Washington 2010,0
43,43,2010,Cornell 2010,Cornell 2010,0
44,44,2010,California 2010,California 2010,1
45,45,2010,St Marys 2010,St Marys 2010,0
46,46,2010,Old Dominion 2010,Old Dominion 2010,1
47,47,2010,Texas A&M 2010,Texas A&M 2010,1
48,48,2010,Michigan St 2010,Michigan St 2010,0
49,49,2010,Tennessee 2010,Tennessee 2010,0
50,50,2010,Butler 2010,Butler 2010,0
51,51,2010,Xavier 2010,Xavier 2010,1
52,52,2010,Cornell 2010,Cornell 2010,1
53,53,2010,Washington 2010,Washington 2010,1
54,54,2010,Purdue 2010,Purdue 2010,1
55,55,2010,Baylor 2010,Baylor 2010,0
56,56,2010,Tennessee 2010,Tennessee 2010,1
57,57,2010,Kansas St 2010,Kansas St 2010,1
58,58,2010,West Virginia 2010,West Virginia 2010,0
