School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV,Team_Id,wins
Arizona 2003,973,2111,228,551,777,479,1374,468,1112,3
Arizona St 2003,886,1838,131,561,832,434,1162,437,1113,1
Auburn 2003,879,1890,198,452,685,417,1200,541,1120,2
Butler 2003,786,1655,274,383,533,261,923,353,1139,2
C Michigan 2003,864,1714,224,601,789,347,1079,577,1141,1
California 2003,847,1819,198,409,601,350,1095,433,1143,1
Connecticut 2003,964,2057,196,498,736,486,1407,507,1163,2
Duke 2003,897,1981,244,639,897,431,1206,462,1181,2
Florida 2003,883,1856,287,431,613,352,1149,438,1196,1
Gonzaga 2003,862,1843,239,595,822,394,1234,474,1211,1
Illinois 2003,859,1793,233,437,603,305,1133,418,1228,1
Indiana 2003,788,1851,254,546,760,387,1234,392,1231,1
Kansas 2003,1182,2393,183,594,906,550,1589,562,1242,5
Kentucky 2003,1026,2102,208,522,742,460,1324,501,1246,3
Louisville 2003,902,1950,272,536,770,442,1220,426,1257,1
Marquette 2003,901,1871,202,585,759,487,1208,438,1266,4
Maryland 2003,901,1940,204,466,654,409,1241,431,1268,2
Michigan St 2003,812,1795,179,564,767,373,1226,502,1277,3
Missouri 2003,870,1959,252,397,600,437,1301,457,1281,1
Notre Dame 2003,917,2055,283,575,756,378,1303,446,1323,2
Oklahoma 2003,853,1912,250,436,629,414,1251,412,1328,3
Oklahoma St 2003,800,1784,157,467,719,397,1175,474,1329,1
Pittsburgh 2003,893,1766,208,479,748,369,1203,484,1338,2
Purdue 2003,715,1638,157,569,757,312,1015,413,1345,1
Stanford 2003,851,1925,231,458,676,449,1279,470,1390,1
Syracuse 2003,1020,2146,186,559,806,478,1425,494,1393,6
Texas 2003,916,2055,196,590,818,531,1386,431,1400,4
Tulsa 2003,877,1884,217,452,619,365,1221,467,1409,1
UNC Asheville 2003,801,1848,212,506,665,393,1142,514,1421,1
Utah 2003,757,1679,236,441,620,333,1093,427,1428,1
Wake Forest 2003,805,1778,191,611,813,459,1292,475,1448,1
Wisconsin 2003,798,1723,201,453,619,326,1045,334,1458,2
Xavier 2003,850,1897,206,576,772,460,1259,407,1462,1
Alabama 2004,813,1802,233,521,735,366,1148,423,1104,3
Boston College 2004,819,1799,128,546,804,425,1224,457,1130,1
Cincinnati 2004,867,1893,237,484,723,420,1197,393,1153,1
Connecticut 2004,1154,2403,249,516,828,586,1742,532,1163,6
DePaul 2004,813,1755,163,468,671,382,1159,422,1177,1
Duke 2004,1018,2161,263,655,890,474,1351,511,1181,4
Florida A&M 2004,747,1802,271,546,771,,1089,537,1197,1
Georgia Tech 2004,1029,2213,267,586,847,429,1422,578,1210,5
Gonzaga 2004,899,1765,195,543,724,348,1230,418,1211,1
Illinois 2004,887,1899,231,397,571,381,1151,401,1228,2
Kansas 2004,895,1923,188,525,743,409,1303,485,1242,3
Kentucky 2004,862,1828,204,437,627,371,1160,468,1246,1
Manhattan 2004,762,1724,180,607,798,374,1079,395,1264,1
Maryland 2004,891,2021,165,530,840,485,1322,485,1268,1
Memphis 2004,736,1751,259,441,671,402,1139,383,1272,1
Mississippi St 2004,822,1766,198,476,717,444,1231,458,1280,1
NC State 2004,760,1688,260,481,602,317,1046,420,1301,1
Nevada 2004,901,1991,172,605,830,449,1322,445,1305,2
North Carolina 2004,877,1912,195,515,749,460,1189,462,1314,1
Oklahoma St 2004,1002,1953,166,528,760,393,1253,468,1329,4
Pacific 2004,764,1633,195,549,746,304,1101,471,1334,1
Pittsburgh 2004,904,1921,150,488,748,466,1320,455,1338,2
Seton Hall 2004,806,1759,181,435,609,359,1134,403,1371,1
St Joseph's PA 2004,866,1822,313,431,614,308,1043,370,1386,3
Stanford 2004,849,1771,169,489,651,366,1178,453,1390,1
Syracuse 2004,847,1827,141,430,669,423,1180,396,1393,2
Texas 2004,904,2046,227,494,726,517,1355,388,1400,2
Texas Tech 2004,922,1985,125,521,703,385,1153,424,1403,1
UAB 2004,882,2006,213,437,656,401,1119,431,1412,2
Vanderbilt 2004,841,1873,263,469,660,367,1150,419,1435,2
Wake Forest 2004,882,1854,236,590,829,417,1148,457,1448,2
Wisconsin 2004,754,1687,190,492,684,347,1049,320,1458,1
Xavier 2004,908,2058,284,535,777,439,1327,459,1462,3
Arizona 2005,942,1938,219,511,650,421,1177,448,1112,3
Boston College 2005,819,1799,128,546,804,425,1224,457,1130,1
Bucknell 2005,704,1585,218,471,672,306,1044,508,1137,1
Cincinnati 2005,867,1893,237,484,723,420,1197,393,1153,1
Connecticut 2005,1154,2403,249,516,828,586,1742,532,1163,1
Duke 2005,1018,2161,263,655,890,474,1351,511,1181,2
Florida 2005,829,1719,249,462,616,306,1081,454,1196,1
Georgia Tech 2005,1029,2213,267,586,847,429,1422,578,1210,1
Gonzaga 2005,899,1765,195,543,724,348,1230,418,1211,1
Illinois 2005,887,1899,231,397,571,381,1151,401,1228,5
Iowa St 2005,784,1794,113,431,632,376,1100,405,1235,1
Kentucky 2005,862,1828,204,437,627,371,1160,468,1246,3
Louisville 2005,737,1757,241,480,641,351,1126,413,1257,4
Michigan St 2005,823,1969,258,499,705,424,1199,490,1277,4
Mississippi St 2005,822,1766,198,476,717,444,1231,458,1280,1
NC State 2005,760,1688,260,481,602,317,1046,420,1301,2
Nevada 2005,901,1991,172,605,830,449,1322,445,1305,1
North Carolina 2005,877,1912,195,515,749,460,1189,462,1314,6
Oakland 2005,811,1804,201,446,671,384,1044,390,1324,1
