,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
0,Akron 2013,852,1874,229,436,678,425.0,1145,458
1,Albany (NY) 2013,761,1748,213,516,700,345.0,1022,468
2,Arizona 2013,880,1933,269,541,722,393.0,1172,458
3,Belmont 2013,906,1844,279,442,604,306.0,966,440
4,Boise State 2013,824,1790,249,446,597,323.0,988,385
5,Bucknell 2013,818,1807,157,484,652,308.0,1142,321
6,Butler 2013,869,1931,239,518,744,419.0,1213,474
7,University of California 2013,833,1875,134,418,585,361.0,1134,417
8,Cincinnati 2013,791,1963,230,450,696,488.0,1219,432
9,Colorado State 2013,881,1961,180,611,855,493.0,1297,389
10,Colorado 2013,775,1788,178,502,732,378.0,1128,439
11,Creighton 2013,942,1882,307,489,644,300.0,1172,443
12,Davidson 2013,837,1813,256,560,704,306.0,1048,371
13,Duke 2013,960,2033,270,588,796,337.0,1119,383
14,Florida Gulf Coast 2013,976,2112,247,497,736,412.0,1226,545
15,Florida 2013,960,2010,300,422,623,381.0,1179,401
16,Georgetown 2013,737,1627,189,407,599,297.0,959,407
17,Gonzaga 2013,961,1934,226,548,777,409.0,1195,393
18,Harvard 2013,677,1425,191,504,697,219.0,796,399
19,Illinois 2013,858,2084,280,469,646,427.0,1098,411
20,Indiana 2013,951,1971,257,672,904,439.0,1270,469
21,Iona 2013,956,2106,283,538,689,395.0,1094,421
22,Iowa State 2013,962,2111,346,509,696,422.0,1238,460
23,James Madison 2013,818,1941,211,499,714,365.0,1064,401
24,Kansas State 2013,872,2002,238,432,631,470.0,1145,403
25,Kansas 2013,985,2049,216,596,809,399.0,1354,517
26,La Salle 2013,871,1931,262,446,605,332.0,958,390
27,Liberty 2013,838,1954,251,562,770,367.0,1164,478
28,Long Island University 2013,915,1909,246,601,870,404.0,1083,486
29,Louisville 2013,1048,2300,230,652,920,531.0,1385,495
30,Marquette 2013,842,1844,147,551,755,418.0,1116,471
31,Memphis 2013,976,2071,220,509,771,438.0,1243,523
32,Miami (FL) 2013,895,1968,254,465,680,357.0,1179,377
33,Michigan State 2013,882,1921,177,507,710,421.0,1241,489
34,Michigan 2013,1093,2260,296,450,642,416.0,1246,368
35,Middle Tennessee 2013,848,1835,181,528,759,407.0,1147,464
36,Minnesota 2013,815,1838,184,523,764,501.0,1186,467
37,Mississippi 2013,977,2230,238,587,866,466.0,1251,395
38,Missouri 2013,924,2015,215,525,706,454.0,1266,442
39,Montana 2013,760,1635,219,499,651,248.0,905,391
40,Nevada-Las Vegas 2013,872,2002,227,525,747,418.0,1281,487
41,New Mexico State 2013,832,1828,137,554,845,429.0,1235,506
