,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
1,Akron 2009,823,1969,258,499,705,424.0,1199,490
4,Alabama State 2009,816,1752,181,389,614,358.0,1130,435
8,American 2009,751,1614,230,333,514,302.0,1046,422
10,Arizona State 2009,825,1718,288,490,665,288.0,1085,401
11,Arizona 2009,897,1892,212,523,709,387.0,1183,442
23,Binghamton 2009,778,1764,192,491,733,357.0,1101,431
25,Boston College 2009,885,2000,217,541,733,485.0,1259,457
29,Brigham Young 2009,909,1879,238,488,669,302.0,1196,375
33,Butler 2009,705,1609,257,501,692,328.0,1094,400
36,Cal State Northridge 2009,821,1808,215,425,611,403.0,1150,549
41,University of California 2009,892,1848,210,478,633,333.0,1113,399
50,Chattanooga 2009,877,2002,289,614,935,438.0,1374,551
54,Clemson 2009,912,1971,256,427,621,462.0,1189,456
55,Cleveland State 2009,882,2043,180,511,729,441.0,1267,454
62,Connecticut 2009,996,2102,165,662,976,511.0,1559,458
64,Cornell 2009,821,1736,241,398,545,321.0,1105,398
68,Dayton 2009,831,1972,190,487,752,484.0,1328,475
76,Duke 2009,971,2186,267,658,904,490.0,1348,454
79,East Tennessee State 2009,944,2044,195,574,810,395.0,1290,477
91,Florida State 2009,820,1886,216,536,739,399.0,1253,548
104,Gonzaga 2009,967,1982,251,499,696,345.0,1276,386
120,Illinois 2009,859,1865,188,298,419,320.0,1127,420
133,Kansas 2009,945,1979,217,567,782,421.0,1371,508
147,Louisiana State 2009,937,2093,213,530,740,475.0,1365,425
149,Louisville 2009,1001,2189,305,441,687,464.0,1395,508
156,Marquette 2009,914,2023,243,668,918,425.0,1247,408
160,Maryland 2009,924,2179,201,463,611,464.0,1274,428
163,Memphis 2009,979,2176,222,599,868,498.0,1452,464
167,Michigan State 2009,962,2135,201,612,877,533.0,1482,532
168,Michigan 2009,812,1910,305,412,544,336.0,1087,402
171,Minnesota 2009,782,1772,188,437,611,397.0,1136,477
172,Mississippi State 2009,890,2058,296,601,847,407.0,1384,517
177,Missouri 2009,1124,2381,263,585,871,486.0,1393,449
181,Morehead State 2009,865,1978,188,593,823,498.0,1400,557
182,Morgan State 2009,857,2047,181,438,675,508.0,1330,456
201,North Carolina 2009,1205,2509,264,739,983,556.0,1594,472
202,North Dakota State 2009,943,1936,238,535,724,363.0,1171,370
208,Northern Iowa 2009,766,1692,217,541,718,297.0,1140,397
213,Ohio State 2009,778,1618,216,434,619,266.0,1024,439
215,Oklahoma State 2009,948,2059,327,607,812,346.0,1223,431
216,Oklahoma 2009,982,1997,242,627,929,435.0,1402,500
225,Pittsburgh 2009,1040,2174,225,482,713,533.0,1433,436
226,Portland State 2009,861,1899,317,378,557,388.0,1116,453
231,Purdue 2009,914,2071,244,483,687,363.0,1271,426
233,Radford 2009,884,1917,163,560,825,418.0,1372,539
238,Robert Morris 2009,880,1859,226,481,683,353.0,1161,530
256,Siena 2009,1007,2157,184,511,769,438.0,1273,462
264,Southern California 2009,872,1843,129,524,778,409.0,1247,487
274,Stephen F. Austin 2009,786,1795,177,350,539,311.0,1126,384
277,Syracuse 2009,1110,2277,256,570,884,482.0,1505,583
278,Temple 2009,846,1908,258,383,547,376.0,1248,426
282,Tennessee 2009,957,2105,229,522,772,485.0,1316,452
284,Texas A&M 2009,822,1831,202,594,856,422.0,1249,432
293,Texas 2009,917,2063,166,532,797,496.0,1359,442
299,UCLA 2009,967,1973,262,446,616,395.0,1151,440
300,Utah State 2009,899,1813,222,514,695,365.0,1202,393
301,Utah 2009,819,1727,242,541,693,279.0,1193,469
305,Villanova 2009,990,2193,247,692,919,477.0,1449,505
306,Virginia Commonwealth 2009,866,1878,222,486,689,362.0,1152,431
311,Wake Forest 2009,906,1849,126,572,804,390.0,1262,492
313,Washington 2009,977,2136,146,650,929,532.0,1437,515
315,West Virginia 2009,886,2067,231,518,742,532.0,1340,420
318,Western Kentucky 2009,871,1929,266,446,647,432.0,1251,452
323,Wisconsin 2009,735,1686,213,423,583,317.0,1020,330
327,Xavier 2009,847,1846,239,575,851,420.0,1378,511
