School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Air Force,616,1383,192,362,537,178,767,371
Akron,868,1879,207,513,741,398,1098,480
Alabama A&M,629,1538,147,359,555,316,849,463
Alabama-Birmingham,654,1559,179,388,566,350,997,439
Alabama State,648,1714,190,354,606,400,982,470
Alabama NCAA,778,1722,136,443,623,352,1066,423
Albany (NY),842,1889,245,524,694,400,1072,429
Alcorn State,689,1669,128,420,606,291,872,482
American,713,1678,227,406,567,281,948,355
Appalachian State,746,1693,203,426,656,333,1009,444
Arizona State,654,1439,181,402,594,262,898,505
Arizona,795,1812,258,568,806,365,1130,446
Little Rock,672,1655,161,469,672,302,928,387
Arkansas-Pine Bluff,705,1707,145,458,719,364,1003,491
Arkansas State,765,1771,176,492,737,392,1030,460
Arkansas,808,1860,205,478,692,363,971,415
Army,678,1608,238,433,596,247,860,467
Auburn,696,1669,156,394,608,345,985,433
Austin Peay,792,1781,139,493,735,388,982,466
Ball State,647,1536,191,416,604,336,941,388
Baylor NCAA,1004,2148,259,572,759,470,1280,522
Belmont NCAA,975,2026,309,572,779,401,1151,430
Bethune-Cookman,818,1890,178,462,702,414,974,471
Binghamton,627,1579,132,376,538,278,832,462
Boise State,708,1653,227,407,589,328,917,366
Boston College,629,1543,225,350,520,222,836,454
Boston University,725,1717,202,393,583,351,1012,434
Bowling Green State,823,1795,156,323,474,363,984,425
Bradley,689,1720,151,426,625,302,985,438
Brigham Young NCAA,977,2099,233,540,771,381,1223,473
Brown,685,1695,234,303,483,280,928,382
Bryant,656,1626,209,331,480,293,854,441
Bucknell,836,1813,206,532,687,314,1135,416
Buffalo,806,1734,212,438,665,374,1128,465
Butler,823,2014,183,523,806,468,1201,485
Cal Poly,772,1800,226,366,524,407,1033,351
Cal State Bakersfield,761,1676,198,401,587,352,883,457
Cal State Fullerton,833,1763,266,485,699,385,1053,476
Cal State Northridge,641,1671,170,456,604,397,879,384
UC-Davis,661,1614,240,362,529,278,868,479
UC-Irvine,776,1861,250,377,592,375,1071,489
UC-Riverside,684,1669,130,343,498,308,933,411
UC-Santa Barbara,809,1757,227,417,601,383,1096,367
University of California NCAA,893,1878,156,477,641,341,1095,411
Campbell,846,1748,169,509,761,329,1044,454
Canisius,704,1731,191,366,503,371,938,442
Central Arkansas,786,1884,150,336,605,425,984,445
Central Connecticut State,717,1689,180,415,547,345,859,424
Central Florida,768,1777,178,452,722,423,1083,417
Central Michigan,700,1772,203,377,594,378,968,393
Charleston Southern,835,1866,259,454,658,393,996,416
Charlotte,693,1683,192,432,656,334,982,421
Chattanooga,765,1849,240,490,714,377,1147,443
Chicago State,688,1732,155,353,541,345,944,507
Cincinnati NCAA,924,2194,260,414,643,489,1225,403
Citadel,704,1610,162,355,537,299,870,441
Clemson,736,1701,171,358,534,345,946,375
Cleveland State,804,1798,217,352,496,371,967,458
Coastal Carolina,853,1753,150,392,582,357,1089,428
Colgate,660,1532,198,375,544,250,873,439
College of Charleston,754,1769,245,438,683,345,1007,411
Colorado State NCAA,764,1621,189,526,685,266,939,408
Colorado NCAA,835,1874,199,560,810,351,1192,468
Columbia,683,1586,211,378,509,286,943,365
Connecticut NCAA,858,1900,185,435,657,415,1151,418
