,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
12,Arizona 2017,977,2048,244,635,830,380,1358,413
16,Arkansas 2017,997,2165,233,628,825,401,1298,428
21,Baylor 2017,921,1956,230,478,661,451,1329,469
33,Bucknell 2017,942,1961,286,497,730,302,1203,466
35,Butler 2017,906,1898,261,522,704,287,1091,346
40,UC-Davis 2017,873,2008,221,558,828,364,1280,513
55,Cincinnati 2017,969,2116,264,472,688,437,1328,361
68,Creighton 2017,1078,2137,304,404,592,289,1223,435
71,Dayton 2017,820,1763,258,530,768,277,1097,376
79,Duke 2017,1019,2144,311,642,842,390,1341,421
82,East Tennessee State 2017,960,1967,265,597,850,357,1269,519
93,Florida Gulf Coast 2017,1007,2017,221,466,664,379,1269,421
95,Florida State 2017,1036,2146,233,568,824,409,1324,415
96,Florida 2017,953,2118,278,620,851,416,1331,431
108,Gonzaga 2017,1149,2280,286,638,890,378,1587,448
130,Iona 2017,979,2155,342,513,668,338,1250,421
131,Iowa State 2017,1031,2186,344,423,604,318,1219,355
136,Jacksonville State 2017,857,1869,258,462,647,355,1244,477
139,Kansas State 2017,869,1883,247,538,775,330,1132,453
140,Kansas 2017,1071,2193,318,535,789,428,1393,456
142,Kent State 2017,986,2302,257,543,755,539,1454,465
143,Kentucky 2017,1134,2396,267,690,980,470,1512,443
157,Louisville 2017,952,2085,238,486,708,457,1343,374
164,Marquette 2017,919,1888,336,457,585,280,1058,396
168,Maryland 2017,827,1840,272,512,732,351,1173,426
174,Miami (FL) 2017,813,1800,209,443,617,363,1176,417
176,Michigan State 2017,905,1927,273,432,646,328,1275,490
177,Michigan 2017,1002,2076,361,486,624,280,1111,348
178,Middle Tennessee 2017,1014,2077,228,441,631,355,1273,374
180,Minnesota 2017,887,2037,209,573,806,378,1341,393
192,Mount St. Mary's 2017,877,1977,261,431,640,276,1082,472
198,Nevada 2017,933,2082,320,606,859,386,1351,386
200,New Mexico State 2017,913,1957,252,600,843,436,1339,465
202,New Orleans 2017,830,1755,139,532,749,386,1140,534
209,North Carolina Central 2017,910,2005,255,467,684,397,1313,406
212,North Carolina-Wilmington 2017,1071,2231,336,489,708,422,1261,363
213,North Carolina 2017,1226,2633,283,642,916,630,1748,473
215,North Dakota 2017,926,1919,228,498,698,297,1146,419
223,Northern Kentucky 2017,928,2037,300,503,740,391,1319,468
225,Northwestern 2017,913,2094,256,476,637,386,1304,383
226,Notre Dame 2017,980,2139,334,489,611,334,1212,341
230,Oklahoma State 2017,957,2050,294,620,786,454,1215,432
235,Oregon 2017,1091,2270,334,560,787,412,1431,454
245,Princeton 2017,772,1716,298,307,416,247,1003,298
246,Providence 2017,804,1795,239,472,683,294,1101,412
247,Purdue 2017,980,2044,315,515,680,344,1322,455
250,Rhode Island 2017,916,2019,217,528,791,409,1301,389
261,Saint Mary's (CA) 2017,892,1797,293,372,499,324,1205,365
272,Seton Hall 2017,872,1949,202,471,733,439,1311,449
277,South Carolina 2017,924,2197,248,611,874,464,1346,480
278,South Dakota State 2017,881,1938,318,603,782,316,1229,453
283,Southern California 2017,975,2139,283,583,787,387,1286,398
286,Southern Methodist 2017,914,1934,286,485,696,416,1335,377
310,Texas Southern 2017,866,2015,205,656,893,401,1228,407
316,Troy 2017,982,2153,311,614,847,409,1362,462
319,UCLA 2017,1210,2320,354,459,622,343,1386,404
324,Vanderbilt 2017,815,1896,346,513,660,286,1208,430
325,Vermont 2017,943,1909,229,456,651,326,1192,392
326,Villanova 2017,965,1948,311,538,681,316,1208,402
327,Virginia Commonwealth 2017,945,2050,199,527,747,386,1275,435
329,Virginia Tech 2017,887,1813,290,546,741,240,1068,398
330,Virginia 2017,839,1823,232,336,474,297,1119,324
332,Wake Forest 2017,923,1955,268,619,795,349,1199,389
336,West Virginia 2017,1059,2333,275,621,907,534,1387,455
341,Wichita State 2017,992,2114,310,622,848,433,1472,406
343,Winthrop 2017,891,1957,313,520,725,316,1224,430
344,Wisconsin 2017,971,2135,283,453,703,460,1377,411
348,Xavier 2017,981,2148,267,607,881,451,1417,478
