,School,opp_ORB,opp_DRB
7,Albany (NY) 2014,329,733
9,American 2014,319,643
11,Arizona State 2014,385,866
12,Arizona 2014,369,812
21,Baylor 2014,432,768
30,Brigham Young 2014,382,871
36,Cal Poly 2014,341,809
55,Cincinnati 2014,366,712
59,Coastal Carolina 2014,372,803
63,Colorado 2014,319,779
65,Connecticut 2014,492,886
68,Creighton 2014,347,765
71,Dayton 2014,353,805
73,Delaware 2014,429,936
79,Duke 2014,357,780
84,Eastern Kentucky 2014,325,785
96,Florida 2014,370,821
102,George Washington 2014,383,730
108,Gonzaga 2014,399,779
114,Harvard 2014,318,686
131,Iowa State 2014,403,926
132,Iowa 2014,361,740
139,Kansas State 2014,385,764
140,Kansas 2014,373,700
143,Kentucky 2014,437,794
153,Louisiana 2014,400,814
157,Louisville 2014,434,851
162,Manhattan 2014,409,790
170,Massachusetts 2014,400,772
172,Memphis 2014,421,771
173,Mercer 2014,399,791
176,Michigan State 2014,375,833
177,Michigan 2014,364,790
179,Milwaukee 2014,373,868
192,Mount St. Mary's 2014,357,850
196,Nebraska 2014,319,802
200,New Mexico State 2014,457,713
201,New Mexico 2014,368,747
209,North Carolina Central 2014,382,698
211,North Carolina State 2014,453,813
213,North Carolina 2014,395,784
214,North Dakota State 2014,290,660
228,Ohio State 2014,354,823
230,Oklahoma State 2014,409,853
231,Oklahoma 2014,369,829
235,Oregon 2014,377,748
240,Pittsburgh 2014,352,727
246,Providence 2014,374,789
259,Saint Joseph's 2014,343,780
260,Saint Louis 2014,354,828
265,San Diego State 2014,370,810
293,Stanford 2014,355,838
294,Stephen F. Austin 2014,293,725
297,Syracuse 2014,346,726
302,Tennessee 2014,351,757
310,Texas Southern 2014,386,755
313,Texas 2014,399,804
318,Tulsa 2014,363,851
319,UCLA 2014,377,868
326,Villanova 2014,355,782
327,Virginia Commonwealth 2014,369,916
330,Virginia 2014,321,764
335,Weber State 2014,311,652
340,Western Michigan 2014,385,698
341,Wichita State 2014,339,776
344,Wisconsin 2014,350,862
345,Wofford 2014,286,760
348,Xavier 2014,335,734
