School,ORB,TRB
Air Force,381,1110
Akron NCAA,425,1345
Alabama A&M,360,1109
Alabama-Birmingham NCAA,333,1035
Alabama State NCAA,406,1235
Alabama,450,1238
Albany (NY),383,1077
Alcorn State,424,1288
American,268,948
Appalachian State,329,1070
Arizona State,345,1102
Arizona NCAA,375,1167
Little Rock NCAA,376,1260
Arkansas-Pine Bluff,316,1127
Arkansas State,323,1029
Arkansas,404,1153
Army,320,1072
Auburn,345,1095
Austin Peay,411,1186
Ball State,365,1064
Baylor,329,953
Belmont NCAA,382,1137
Bethune-Cookman,348,1108
Binghamton,382,1119
Boise State,295,1138
Boston College,383,1116
Boston University NCAA,435,1237
Bowling Green State,365,1184
Bradley,321,1123
Brigham Young NCAA,395,1320
Brown,288,1017
Bryant,353,1117
Bucknell NCAA,359,1162
Buffalo,397,1089
Butler NCAA,351,1220
Cal Poly,313,1019
Cal State Bakersfield,331,1091
Cal State Fullerton,338,1049
Cal State Northridge,355,1095
UC-Davis,359,1085
UC-Irvine,367,1252
UC-Riverside,331,1074
UC-Santa Barbara NCAA,356,1056
University of California,340,1083
Campbell,355,1027
Canisius,387,1092
Centenary (LA),386,1163
Central Arkansas,325,1076
Central Connecticut State,394,1076
Central Florida,388,1079
Central Michigan,281,1064
Charleston Southern,349,1056
Charlotte,330,1040
Chattanooga,301,1131
Chicago State,418,1330
Cincinnati NCAA,351,1088
Citadel,300,1034
Clemson NCAA,382,1122
Cleveland State,411,1257
Coastal Carolina,383,1099
Colgate,309,1023
College of Charleston,479,1307
Colorado State,336,1044
Colorado,440,1261
Columbia,248,927
Connecticut NCAA,546,1447
Coppin State,384,1139
Cornell,284,1002
Creighton,372,1200
Dartmouth,326,1062
Davidson,323,1073
Dayton,360,1220
Delaware State,356,1050
Delaware,351,1092
Denver,259,890
DePaul,384,1176
Detroit Mercy,422,1122
Drake,315,1103
Drexel,255,956
Duke NCAA,473,1299
Duquesne,437,1220
East Carolina,419,1208
East Tennessee State,429,1220
Eastern Illinois,293,938
Eastern Kentucky,304,997
Eastern Michigan,299,1122
Eastern Washington,341,1060
Elon,350,1152
Evansville,294,1043
Fairfield,370,1111
Fairleigh Dickinson,342,1072
Florida A&M,422,1208
Florida Atlantic,372,1110
Florida Gulf Coast,341,1068
Florida International,394,1113
Florida State NCAA,403,1167
Florida NCAA,393,1181
Fordham,351,1061
Fresno State,331,1081
Furman,352,1040
Gardner-Webb,297,1072
George Mason NCAA,376,1117
George Washington,333,1052
Georgetown NCAA,361,999
Georgia Southern,341,1061
Georgia State,330,1022
Georgia Tech,290,1071
Georgia NCAA,388,1086
Gonzaga NCAA,359,1086
Grambling,368,1270
Green Bay,329,1047
Hampton NCAA,449,1317
Hartford,313,1161
Harvard,309,898
Hawaii,395,1092
High Point,361,1134
Hofstra,412,1191
Holy Cross,302,974
Houston Baptist,426,1258
Houston,401,1069
Howard,343,1073
Idaho State,326,1002
Idaho,378,1046
Illinois-Chicago,329,1013
Illinois State,291,996
Illinois NCAA,384,1122
Indiana State NCAA,348,1134
Indiana,317,1019
Iona,380,1255
Iowa State,399,1245
Iowa,340,1045
Fort Wayne,267,960
IUPUI,348,1028
Jackson State,290,1038
Jacksonville State,305,977
Jacksonville,351,1096
James Madison,316,1065
Kansas State NCAA,350,1058
Kansas NCAA,397,1172
Kennesaw State,416,1156
Kent State,482,1351
Kentucky NCAA,431,1285
La Salle,439,1212
Lafayette,354,1148
Lamar,354,1141
Lehigh,358,1144
Liberty,346,1051
Lipscomb,351,1059
Long Beach State,343,1157
Long Island University NCAA,428,1230
Longwood,403,1218
Louisiana,317,983
Louisiana-Monroe,284,976
Louisiana State,400,1178
Louisiana Tech,310,1081
Louisville NCAA,455,1268
Loyola (IL),330,1017
Loyola Marymount,369,1133
Loyola (MD),309,979
Maine,333,992
Manhattan,400,1123
Marist,397,1242
Marquette NCAA,433,1241
Marshall,395,1136
Maryland-Baltimore County,341,1128
Maryland-Eastern Shore,374,1195
Maryland,402,1161
Massachusetts,371,1108
McNeese State,414,1207
Memphis NCAA,445,1217
Mercer,358,1158
Miami (FL),400,1171
Miami (OH),369,1129
Michigan State NCAA,347,1119
Michigan NCAA,335,1178
Middle Tennessee,322,1051
Milwaukee,336,1103
Minnesota,362,1021
Mississippi State,389,1141
Mississippi Valley State,360,1200
Mississippi,378,1144
Missouri-Kansas City,324,1028
Missouri State,290,1040
Missouri NCAA,439,1266
Monmouth,349,1064
Montana State,346,1117
Montana,353,1057
Morehead State NCAA,313,992
Morgan State,329,1027
Mount St. Mary's,406,1149
Murray State,312,957
Navy,358,1270
Nebraska,310,1016
Nevada-Las Vegas NCAA,363,1106
Nevada,373,1132
New Hampshire,316,1095
New Mexico State,379,1140
New Mexico,342,1091
Niagara,437,1316
Nicholls State,268,909
NJIT,295,1065
Norfolk State,395,1157
North Carolina-Asheville NCAA,440,1246
North Carolina A&T,495,1283
North Carolina Central,354,1041
North Carolina-Greensboro,375,1135
North Carolina State,407,1135
North Carolina-Wilmington,407,1089
North Carolina NCAA,454,1343
North Dakota State,307,935
North Dakota,328,1189
North Florida,502,1269
North Texas,361,1072
Northeastern,336,1016
Northern Arizona,364,1058
Northern Colorado NCAA,305,995
Northern Illinois,316,1074
Northern Iowa,265,1051
Northwestern State,490,1274
Northwestern,318,1129
Notre Dame NCAA,372,1111
Oakland NCAA,430,1192
Ohio State NCAA,341,1096
Ohio,398,1253
Oklahoma State,345,1113
Oklahoma,331,1051
Old Dominion NCAA,326,957
Oral Roberts,365,1171
Oregon State,336,1071
Oregon,399,1348
Pacific,280,970
Penn State NCAA,316,1025
Pennsylvania,251,878
Pepperdine,331,1110
Pittsburgh NCAA,350,993
Portland State,355,1086
Portland,329,997
Prairie View,407,1300
Presbyterian,336,1024
Princeton NCAA,289,975
Providence,422,1207
Purdue NCAA,349,1143
Quinnipiac,303,1063
Radford,366,1115
Rhode Island,399,1248
Rice,279,1008
Richmond NCAA,441,1300
Rider,458,1262
Robert Morris,354,1108
Rutgers,356,1096
Sacramento State,314,967
Sacred Heart,324,975
Saint Francis (PA),346,1038
Saint Joseph's,396,1207
Saint Louis,294,1025
Saint Mary's (CA),321,1042
Saint Peter's NCAA,431,1243
Sam Houston State,293,1023
Samford,380,1121
San Diego State NCAA,381,1146
San Diego,345,1078
San Francisco,364,1188
San Jose State,344,1183
Santa Clara,367,1214
Savannah State,324,1031
Seattle,346,1158
Seton Hall,353,1160
Siena,354,1089
South Alabama,347,1021
South Carolina State,361,1065
South Carolina Upstate,339,1116
South Carolina,377,1139
South Dakota State,331,1076
South Dakota,393,1284
South Florida,376,1079
Southeast Missouri State,350,1121
Southeastern Louisiana,335,1009
Southern California NCAA,324,1122
SIU Edwardsville,365,1119
Southern Illinois,292,1016
Southern Methodist,382,1077
Southern Mississippi,327,993
Southern Utah,334,929
Southern,418,1210
St. Bonaventure,352,1018
St. Francis (NY),349,1114
St. John's (NY) NCAA,354,1089
Stanford,302,1005
Stephen F. Austin,248,816
Stetson,380,1081
Stony Brook,353,1179
Syracuse NCAA,442,1182
Temple NCAA,340,1132
Tennessee-Martin,393,1198
Tennessee State,363,1007
Tennessee Tech,337,1054
Tennessee NCAA,388,1153
Texas A&M-Corpus Christi,330,1012
Texas A&M NCAA,321,988
Texas-Arlington,368,1036
Texas Christian,299,1136
Texas-El Paso,398,1267
Texas-Rio Grande Valley,317,1080
Texas-San Antonio NCAA,413,1240
Texas Southern,394,1139
Texas State,372,1200
Texas Tech,397,1149
Texas NCAA,423,1223
Toledo,368,1121
Towson,342,1046
Troy,339,1144
Tulane,287,1001
Tulsa,301,1008
UCLA NCAA,396,1116
Utah State NCAA,319,1007
Utah Valley,309,1004
Utah,363,1130
Valparaiso,401,1185
Vanderbilt NCAA,419,1172
Vermont,343,1017
Villanova NCAA,356,1076
Virginia Commonwealth NCAA,496,1455
VMI,439,1299
Virginia Tech,364,1111
Virginia,280,1045
Wagner,359,1071
Wake Forest,414,1211
Washington State,436,1279
Washington NCAA,412,1219
Weber State,302,1042
West Virginia NCAA,417,1116
Western Carolina,346,1177
Western Illinois,303,1031
Western Kentucky,422,1179
Western Michigan,380,1142
Wichita State,318,1078
William & Mary,335,1068
Winthrop,337,1106
Wisconsin NCAA,273,1008
Wofford NCAA,353,1073
Wright State,274,1030
Wyoming,335,1102
Xavier NCAA,308,991
Yale,291,953
Youngstown State,344,1194
