School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Air Force,2.14,606,1479,199,387,548,299,993,407
Akron,0.72,809,1926,173,450,651,400,1133,476
Alabama A&M,-10.79,667,1493,133,497,756,318,1018,402
Alabama-Birmingham,3.64,693,1678,177,344,496,335,990,363
Alabama State,-9.96,709,1627,148,429,655,345,1155,485
Alabama NCAA,7.18,666,1711,164,422,654,373,1072,442
Albany (NY),-6.92,878,1910,242,353,534,371,1108,445
Alcorn State,-10.61,746,1735,169,487,749,403,1148,456
American,-5.24,711,1729,181,388,566,334,1090,353
Appalachian State,-3.28,777,1785,157,464,693,357,1097,359
Arizona State,4.31,701,1626,211,443,623,307,929,349
Arizona,4.62,799,1969,170,428,643,380,1173,415
Little Rock,0.03,668,1590,189,465,707,326,1112,447
Arkansas-Pine Bluff,-8.34,791,1787,230,479,756,403,1194,472
Arkansas State,-0.52,838,1847,213,350,508,327,1068,443
Arkansas,3.63,793,1827,190,455,673,416,1204,519
Army,-7.16,736,1657,217,402,591,307,1077,477
Auburn,3.84,675,1651,203,430,627,355,1093,440
Austin Peay,-0.66,839,1804,214,432,629,389,1130,478
Ball State,-4.45,635,1555,198,354,509,335,977,412
Baylor NCAA,8.03,883,2114,232,485,706,428,1181,535
Belmont NCAA,-1.22,850,1981,207,456,694,402,1163,506
Bethune-Cookman,-7.05,811,1752,174,523,753,388,1169,555
Binghamton,-6.24,776,1645,209,432,620,298,1057,395
Boise State,3.14,687,1511,215,399,592,231,922,398
Boston College,4.89,775,1777,211,364,505,341,1111,365
Boston University,-4.09,724,1744,203,383,549,358,1110,415
Bowling Green State,0.07,735,1656,179,397,597,338,1038,479
Bradley,3.62,821,1810,219,395,585,345,1190,414
Brigham Young NCAA,1.55,841,2029,229,447,671,348,1213,554
Brown,-3.62,795,1751,224,340,483,317,1162,362
Bryant,-4.27,816,1716,229,400,575,343,1110,350
Bucknell,-3.08,730,1840,226,461,648,277,1011,366
Buffalo,0.15,728,1852,219,415,594,358,1033,358
Butler,1.14,754,1835,189,548,811,332,1176,521
Cal Poly,-3.78,681,1557,168,468,674,255,958,373
Cal State Bakersfield,-3.65,711,1527,190,542,747,302,959,480
Cal State Fullerton,-5.32,770,1762,211,454,661,333,990,429
Cal State Northridge,-2.61,683,1479,213,522,748,322,1021,426
UC-Davis,-2.63,827,1780,209,444,667,386,1138,350
UC-Irvine,-1.24,786,1894,240,497,691,388,1222,418
UC-Riverside,-2.22,658,1675,188,450,614,361,1113,389
UC-Santa Barbara,-1.38,717,1780,219,406,599,375,1048,352
University of California NCAA,4.53,786,1893,186,346,505,315,1037,438
Campbell,-4.80,796,1846,217,552,784,378,1092,395
Canisius,-4.53,801,1765,224,445,617,387,1110,375
Central Arkansas,-4.83,864,1750,169,474,743,377,1204,462
Central Connecticut State,-5.05,739,1630,183,377,550,363,1054,494
Central Florida,2.98,764,1814,190,378,573,368,1105,410
Central Michigan,-1.62,702,1632,220,510,746,367,1172,465
Charleston Southern,-4.33,809,1735,214,410,600,309,1062,501
Charlotte,2.86,723,1694,211,409,579,325,1104,434
Chattanooga,-3.54,771,1895,300,362,556,342,1162,427
Chicago State,-3.13,781,1730,241,510,713,344,1145,428
Cincinnati NCAA,6.28,849,2063,207,371,542,443,1324,518
Citadel,-3.67,804,1701,200,350,525,310,1025,382
Clemson,3.41,683,1585,178,336,478,293,994,451
Cleveland State,0.12,648,1564,158,529,800,366,1053,542
Coastal Carolina,-4.56,707,1756,213,415,603,349,994,381
Colgate,-4.38,772,1699,222,443,622,302,1013,300
College of Charleston,-2.54,793,1890,198,333,486,421,1230,447
Colorado State NCAA,5.23,738,1696,230,471,669,309,971,383
Colorado NCAA,5.73,812,2009,229,416,642,366,1182,444
Columbia,-3.18,651,1564,161,400,564,263,960,364
Connecticut NCAA,8.07,785,2034,245,378,514,457,1185,372
Coppin State,-5.96,838,1845,256,325,520,396,1152,397
Cornell,-0.98,633,1514,172,460,624,309,1069,433
Creighton NCAA,3.41,903,2049,228,405,600,328,1068,361
Dartmouth,-3.56,649,1533,183,423,581,265,982,364
Davidson NCAA,-1.68,781,1830,170,506,758,315,1072,409
Dayton,4.30,801,1786,186,443,666,347,1060,424
Delaware State,-6.78,675,1568,145,373,552,389,1074,406
Delaware,-2.18,777,1978,182,452,638,435,1238,342
Denver,-1.47,649,1486,139,439,604,302,944,453
DePaul,4.57,868,1802,155,487,737,412,1229,485
Detroit Mercy NCAA,-0.01,842,1915,244,504,719,381,1160,544
Drake,2.96,771,1794,168,561,796,320,1179,466
Drexel,-1.80,704,1794,160,452,671,322,1057,402
Duke NCAA,8.40,864,1996,153,453,657,395,1159,434
Duquesne,3.96,810,1768,206,406,572,414,1186,533
East Carolina,2.53,733,1688,160,393,591,337,1071,457
East Tennessee State,-1.78,703,1609,253,358,550,349,1048,532
Eastern Illinois,-6.48,714,1572,188,368,532,334,979,392
Eastern Kentucky,-5.93,741,1619,168,467,683,326,1073,431
Eastern Michigan,-1.68,642,1555,195,399,603,374,1086,453
Eastern Washington,-3.23,721,1617,203,639,925,333,1171,498
Elon,-3.03,804,1889,202,416,631,382,1213,403
Evansville,3.56,807,1660,219,492,720,337,1095,549
Fairfield,-1.34,784,1910,183,508,721,415,1214,583
Fairleigh Dickinson,-5.06,718,1653,207,465,636,343,1065,372
Florida A&M,-6.29,846,1902,198,526,794,459,1300,502
Florida Atlantic,0.77,706,1593,138,496,685,334,1064,415
Florida Gulf Coast,-1.96,794,1840,258,460,703,420,1131,456
Florida International,-1.10,654,1495,184,459,709,352,1001,406
Florida State NCAA,7.62,749,1965,221,482,674,430,1168,531
Florida NCAA,7.33,875,2068,226,428,618,391,1217,464
Fordham,1.92,718,1685,221,417,594,371,1118,374
Fresno State,0.77,746,1666,186,503,737,351,1178,471
Furman,-3.90,711,1639,156,444,622,313,994,382
Gardner-Webb,-4.82,751,1716,177,459,698,337,1096,429
George Mason,-1.67,732,1864,194,484,700,409,1125,473
George Washington,4.15,733,1632,185,418,592,350,1041,425
Georgetown NCAA,7.69,683,1766,164,429,631,360,1017,424
Georgia Southern,-3.78,722,1587,174,415,603,307,985,459
Georgia State,-2.99,702,1847,218,381,559,386,1196,513
Georgia Tech,4.13,669,1658,199,403,560,306,980,347
Georgia,7.95,681,1625,191,462,667,322,1115,371
Gonzaga NCAA,3.25,771,1867,198,346,514,332,1011,428
