,School,opp_ORB,opp_DRB
4,Alabama-Birmingham 2015,435,834
7,Albany (NY) 2015,274,690
12,Arizona 2015,285,780
16,Arkansas 2015,433,848
21,Baylor 2015,376,676
22,Belmont 2015,330,750
25,Boise State 2015,279,751
30,Brigham Young 2015,370,815
34,Buffalo 2015,367,796
35,Butler 2015,281,768
41,UC-Irvine 2015,382,762
55,Cincinnati 2015,380,645
59,Coastal Carolina 2015,317,746
70,Davidson 2015,351,781
71,Dayton 2015,344,840
79,Duke 2015,428,799
86,Eastern Washington 2015,363,822
103,Georgetown 2015,352,704
105,Georgia State 2015,416,750
107,Georgia 2015,358,759
108,Gonzaga 2015,403,754
112,Hampton 2015,392,893
114,Harvard 2015,280,649
129,Indiana 2015,374,748
131,Iowa State 2015,377,819
132,Iowa 2015,371,765
140,Kansas 2015,434,793
143,Kentucky 2015,463,752
145,Lafayette 2015,378,712
155,Louisiana State 2015,438,781
157,Louisville 2015,400,856
162,Manhattan 2015,357,771
168,Maryland 2015,399,771
176,Michigan State 2015,378,869
183,Mississippi 2015,391,806
200,New Mexico State 2015,339,644
211,North Carolina State 2015,402,845
213,North Carolina 2015,460,790
214,North Dakota State 2015,248,795
216,North Florida 2015,400,787
218,Northeastern 2015,291,689
222,Northern Iowa 2015,301,690
226,Notre Dame 2015,435,808
228,Ohio State 2015,401,767
230,Oklahoma State 2015,352,747
231,Oklahoma 2015,432,845
235,Oregon 2015,418,834
246,Providence 2015,334,759
247,Purdue 2015,376,711
254,Robert Morris 2015,446,816
265,San Diego State 2015,351,801
286,Southern Methodist 2015,357,659
292,St. John's (NY) 2015,444,849
294,Stephen F. Austin 2015,316,678
310,Texas Southern 2015,422,772
313,Texas 2015,372,691
319,UCLA 2015,371,862
322,Utah 2015,342,698
323,Valparaiso 2015,323,717
326,Villanova 2015,392,771
327,Virginia Commonwealth 2015,367,952
330,Virginia 2015,280,689
336,West Virginia 2015,312,857
341,Wichita State 2015,304,773
344,Wisconsin 2015,297,809
345,Wofford 2015,300,789
347,Wyoming 2015,298,754
348,Xavier 2015,345,800
