School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,op_FTA,opp_ORB,opp_TRB,opp_TOV
Abilene Christian,-7.10,708,1557,210,447,671,294,1017,427
Air Force,1.00,861,1883,320,435,613,275,1135,407
Akron,-1.21,913,2058,249,475,673,347,1188,415
Alabama A&M,-11.09,821,1724,214,399,586,356,1055,268
Alabama-Birmingham,-1.83,836,1941,250,394,569,339,1080,381
Alabama State,-10.75,798,1799,196,513,755,363,1170,394
Alabama,7.47,748,1848,209,495,738,329,1138,460
Albany (NY),-4.69,808,1873,276,409,578,262,1008,399
Alcorn State,-10.95,768,1838,181,458,707,370,1173,418
American,-3.50,716,1528,172,445,632,258,996,397
Appalachian State,-1.60,788,1718,194,509,742,284,1097,382
Arizona State,7.11,978,2040,304,435,611,366,1310,440
Arizona NCAA,7.63,893,2121,239,415,607,339,1107,432
Little Rock,-3.80,739,1661,228,479,668,280,1034,430
Arkansas-Pine Bluff,-10.28,731,1631,207,651,920,364,1153,535
Arkansas State,-2.10,760,1755,195,496,724,306,1074,422
Arkansas NCAA,8.60,901,2159,263,594,843,460,1322,477
Army,-4.10,839,1907,220,442,641,275,1128,403
Auburn,7.33,861,1972,273,551,765,398,1248,482
Austin Peay,-2.32,922,1877,264,407,558,364,1122,407
Ball State,-3.57,885,2097,267,530,738,372,1222,435
Baylor NCAA,11.87,794,1960,222,418,586,351,1023,397
Belmont,-1.69,742,1739,178,416,558,263,973,340
Bethune-Cookman,-11.21,886,1889,225,493,733,398,1279,467
Binghamton,-5.79,815,1813,248,392,574,294,1117,373
Boise State,2.72,775,1815,183,545,748,296,1081,378
Boston College,8.08,864,1840,229,551,729,263,1109,398
Boston University,-3.66,769,1809,274,452,661,321,1138,473
Bowling Green State,-2.00,879,1893,231,464,638,311,1210,472
Bradley,2.94,775,1854,248,535,748,359,1195,432
Brigham Young,1.87,906,2175,274,437,677,349,1230,416
Brown,-4.08,832,1669,229,445,623,277,1017,474
Bryant,-5.43,860,1904,234,524,713,351,1175,407
Bucknell NCAA,-2.48,860,2017,216,440,667,347,1176,487
Buffalo,-1.01,794,1914,233,554,812,362,1144,410
Butler NCAA,10.23,818,1837,231,474,680,293,1065,451
Cal Poly,-4.22,791,1696,184,476,664,300,1155,372
Cal State Bakersfield,-1.94,696,1874,242,601,870,389,1232,584
Cal State Fullerton,-6.85,771,1823,212,526,729,297,1094,457
Cal State Northridge,-4.13,842,1832,209,547,760,340,1097,391
UC-Davis NCAA,-4.68,889,2086,253,475,666,347,1241,503
UC-Irvine,-2.70,779,2034,221,552,789,352,1191,379
UC-Riverside,-3.87,693,1660,224,406,560,292,1056,396
UC-Santa Barbara,-2.00,702,1572,236,347,502,275,1049,326
University of California,6.34,757,1893,202,438,647,292,1095,379
Campbell,-7.59,896,2057,245,568,793,347,1252,442
Canisius,-3.50,962,1976,229,489,667,359,1200,508
Central Arkansas,-3.76,945,2031,350,452,650,378,1210,366
Central Connecticut State,-7.68,749,1602,233,381,555,304,1026,392
Central Florida,3.69,793,2175,273,343,485,370,1174,351
Central Michigan,-2.63,1022,2222,282,481,688,423,1366,398
Charleston Southern,-6.21,795,1725,238,515,699,267,1088,391
Charlotte,-0.93,870,1860,207,460,656,339,1204,413
Chattanooga,-2.08,748,1682,175,461,610,325,1040,463
Chicago State,-0.19,870,1870,302,469,664,337,1278,435
Cincinnati NCAA,5.49,767,1974,251,423,575,368,1162,475
Citadel,-2.93,1106,2162,282,627,891,410,1450,578
Clemson,9.98,875,1930,254,357,467,360,1158,451
Cleveland State,-1.53,771,1685,212,468,684,324,1153,485
Coastal Carolina,-1.48,979,2345,369,531,751,385,1449,470
Colgate,-3.60,782,1732,252,457,660,263,1049,380
College of Charleston,-0.19,813,1942,229,405,612,360,1237,432
Colorado State,2.17,860,2115,272,455,663,388,1274,418
Colorado,6.00,855,1978,277,468,662,340,1171,407
Columbia,-3.13,673,1552,251,367,536,303,1001,385
Connecticut,6.61,754,1919,255,426,606,376,1164,349
Coppin State,-8.01,872,1856,256,521,747,367,1291,433
Cornell,-1.55,807,1769,214,410,556,277,1030,323
Creighton NCAA,8.95,933,2134,259,424,615,379,1257,489
Dartmouth,-3.45,740,1575,197,343,484,246,899,293
Davidson,4.26,810,1874,241,431,625,318,1167,382
Dayton NCAA,4.27,731,1772,227,437,618,312,1110,479
Delaware State,-9.37,814,1826,273,498,689,392,1232,458
Delaware,-1.42,813,1823,280,475,711,306,1155,330
Denver,-4.19,756,1700,236,491,664,257,933,323
DePaul,7.78,812,1743,253,511,700,308,1101,444
Detroit Mercy,-1.62,894,1789,252,590,853,323,1164,455
Drake,1.91,866,1878,259,399,574,338,1185,384
Drexel,-2.56,877,1899,244,510,739,340,1186,405
Duke NCAA,10.91,959,2218,187,492,693,399,1245,447
Duquesne,0.69,843,1926,237,453,641,357,1195,400
East Carolina,1.33,771,1969,218,388,535,397,1231,374
East Tennessee State NCAA,-2.11,819,1962,274,526,729,340,1123,548
Eastern Illinois,-5.05,718,1667,197,450,642,330,1127,459
Eastern Kentucky,-2.44,785,1770,224,536,734,348,1155,428
Eastern Michigan,0.16,772,1829,242,623,869,403,1208,533
Eastern Washington,-4.43,897,2031,271,527,733,343,1154,359
Elon,-1.39,836,1989,251,369,524,328,1199,353
Evansville,2.42,758,1800,242,503,712,313,1111,420
Fairfield,-3.85,830,1890,210,409,604,329,1182,392
Fairleigh Dickinson,-5.31,769,1704,202,510,734,350,1105,412
Florida A&M,-11.85,836,1834,270,423,626,373,1246,426
Florida Atlantic,-1.98,799,1772,189,434,624,331,1186,391
Florida Gulf Coast NCAA,-3.42,830,1953,232,464,682,347,1085,441
Florida International,-3.27,809,1738,214,450,620,283,1000,359
Florida State NCAA,8.87,857,2060,259,550,769,382,1189,494
Florida NCAA,11.01,849,2070,198,498,705,375,1266,533
Fordham,1.36,732,1585,218,485,678,293,1147,561
Fresno State,2.31,755,1817,230,575,810,318,1145,486
Furman,-3.75,812,1915,245,450,643,314,1130,473
Gardner-Webb,-5.71,787,1885,230,515,748,333,1127,496
George Mason,1.28,888,2090,252,409,587,312,1123,344
George Washington,2.11,904,2031,233,397,546,312,1132,379
Georgetown,9.31,798,1893,199,514,735,364,1116,393
Georgia Southern,-2.83,851,1962,273,445,667,397,1306,451
Georgia State,-2.17,758,1844,274,522,734,336,1100,474
Georgia Tech,8.21,887,2231,272,426,608,429,1343,485
Georgia,10.28,832,2024,246,483,692,365,1184,402
Gonzaga NCAA,4.13,875,2400,223,425,646,421,1312,475
Grambling,-11.89,834,1761,245,499,736,359,1222,572
Grand Canyon,-4.22,759,1805,206,379,544,308,1124,466
