,School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,op_FTA,opp_ORB,opp_TRB,opp_TOV
12,Arizona 2017,7.63,893,2121,239,415,607,339,1107,432
16,Arkansas 2017,8.6,901,2159,263,594,843,460,1322,477
21,Baylor 2017,11.87,794,1960,222,418,586,351,1023,397
33,Bucknell 2017,-2.48,860,2017,216,440,667,347,1176,487
35,Butler 2017,10.23,818,1837,231,474,680,293,1065,451
40,UC-Davis 2017,-4.68,889,2086,253,475,666,347,1241,503
55,Cincinnati 2017,5.49,767,1974,251,423,575,368,1162,475
68,Creighton 2017,8.95,933,2134,259,424,615,379,1257,489
71,Dayton 2017,4.27,731,1772,227,437,618,312,1110,479
79,Duke 2017,10.91,959,2218,187,492,693,399,1245,447
82,East Tennessee State 2017,-2.11,819,1962,274,526,729,340,1123,548
93,Florida Gulf Coast 2017,-3.42,830,1953,232,464,682,347,1085,441
95,Florida State 2017,8.87,857,2060,259,550,769,382,1189,494
96,Florida 2017,11.01,849,2070,198,498,705,375,1266,533
108,Gonzaga 2017,4.13,875,2400,223,425,646,421,1312,475
130,Iona 2017,-2.47,951,2183,280,507,729,429,1345,461
131,Iowa State 2017,11.94,933,2178,270,393,558,416,1339,491
136,Jacksonville State 2017,-3.24,816,1955,268,478,663,343,1116,381
139,Kansas State 2017,10.48,827,1921,250,468,642,382,1171,525
140,Kansas 2017,12.23,924,2200,268,472,660,401,1234,483
142,Kent State 2017,-1.63,931,2139,265,501,713,385,1238,502
143,Kentucky 2017,10.49,979,2309,235,523,774,388,1332,544
157,Louisville 2017,11.15,760,1894,213,510,734,348,1139,460
164,Marquette 2017,8.6,859,1871,235,465,667,319,1077,418
168,Maryland 2017,8.29,797,1917,212,440,626,383,1160,418
174,Miami (FL) 2017,9.57,761,1817,208,386,522,318,1043,392
176,Michigan State 2017,10.5,832,2027,229,511,704,349,1150,380
177,Michigan 2017,10.17,958,2060,224,383,560,348,1210,478
178,Middle Tennessee 2017,-0.48,791,1882,219,498,700,286,1088,476
180,Minnesota 2017,8.82,857,2142,220,427,626,415,1312,429
192,Mount St. Mary's 2017,-3.51,923,2039,190,438,664,427,1351,534
198,Nevada 2017,2.03,920,2149,236,420,607,341,1229,397
200,New Mexico State 2017,-3.82,827,1972,188,468,686,371,1124,466
202,New Orleans 2017,-5.34,792,1793,209,422,614,349,1016,521
209,North Carolina Central 2017,-12.12,788,2007,210,373,576,416,1225,474
212,North Carolina-Wilmington 2017,-0.55,938,1964,192,556,777,320,1184,504
213,North Carolina 2017,11.76,982,2377,319,541,746,362,1258,544
215,North Dakota 2017,-5.45,824,1858,215,494,715,310,1123,479
223,Northern Kentucky 2017,-2.84,918,2087,227,444,628,322,1165,427
225,Northwestern 2017,8.43,817,2025,233,490,732,404,1275,430
226,Notre Dame 2017,9.78,914,2118,250,416,565,387,1278,456
230,Oklahoma State 2017,12.22,875,1856,235,604,834,345,1083,491
235,Oregon 2017,8.38,932,2311,273,428,595,408,1274,516
245,Princeton 2017,-1.84,652,1568,195,344,499,238,1002,394
246,Providence 2017,7.84,810,1840,207,380,562,322,1142,454
247,Purdue 2017,8.79,902,2145,242,347,491,313,1088,411
250,Rhode Island 2017,4.62,762,1875,166,598,845,373,1212,459
261,Saint Mary's (CA) 2017,2.19,738,1792,149,329,476,245,903,318
272,Seton Hall 2017,9.25,811,1872,214,487,677,295,1087,403
277,South Carolina 2017,10.16,789,1969,208,628,868,382,1304,632
278,South Dakota State 2017,-0.66,963,2140,369,402,557,356,1195,400
283,Southern California 2017,6.4,973,2243,301,386,538,408,1272,452
286,Southern Methodist 2017,4.45,745,1928,282,328,474,329,1035,409
310,Texas Southern 2017,-7.81,940,2113,196,466,682,441,1310,473
316,Troy 2017,-3.36,933,2182,295,506,703,380,1267,463
319,UCLA 2017,6.39,1000,2371,310,409,602,413,1257,423
324,Vanderbilt 2017,10.72,862,2028,226,435,622,339,1209,379
325,Vermont 2017,-3.27,812,1918,199,351,498,315,1066,453
326,Villanova 2017,9.28,846,2018,251,313,445,336,1073,475
327,Virginia Commonwealth 2017,3.77,800,1897,202,541,776,334,1185,515
329,Virginia Tech 2017,8.38,902,2029,264,397,554,359,1146,383
330,Virginia 2017,10.93,658,1653,209,391,559,264,1022,432
332,Wake Forest 2017,9.8,891,1948,270,536,740,323,1109,385
336,West Virginia 2017,9.67,826,1948,250,565,827,393,1274,740
341,Wichita State 2017,2.96,754,2000,241,497,718,321,1154,488
343,Winthrop 2017,-6.12,811,1990,219,481,666,355,1207,462
344,Wisconsin 2017,9.4,822,1992,251,413,559,313,1142,473
348,Xavier 2017,11.51,964,2144,283,500,716,327,1188,454
