,School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
0,Abilene Christian 2019,-7.34,753,1737,191,464,643,295,1098,560
11,Arizona State 2019,6.04,828,2007,292,546,774,343,1218,476
18,Auburn 2019,10.92,940,2153,323,547,774,424,1412,683
21,Baylor 2019,9.26,795,1869,246,466,682,338,1086,421
22,Belmont 2019,-2.6,895,2110,253,396,569,314,1166,403
29,Bradley 2019,-0.9,779,1892,246,481,664,313,1163,433
34,Buffalo 2019,2.62,916,2180,236,482,687,363,1333,553
42,UC-Irvine 2019,-2.3,809,2118,241,494,698,379,1211,419
50,Central Florida 2019,5.58,764,1938,233,367,565,371,1142,400
56,Cincinnati 2019,5.5,766,1869,284,378,570,332,1088,476
61,Colgate 2019,-3.83,884,2033,277,413,580,327,1112,422
80,Duke 2019,11.98,960,2415,253,403,579,441,1348,540
91,Fairleigh Dickinson 2019,-7.24,908,2041,277,422,608,389,1186,508
96,Florida State 2019,10.26,842,2067,269,532,737,348,1223,529
97,Florida 2019,11.22,806,1916,231,446,644,390,1242,527
101,Gardner-Webb 2019,-4.43,871,2101,310,416,579,393,1229,468
106,Georgia State 2019,0.65,872,2051,304,443,631,428,1336,512
109,Gonzaga 2019,5.01,877,2256,239,407,584,382,1194,501
121,Houston 2019,4.61,749,2035,233,527,759,360,1236,452
131,Iona 2019,-5.5,900,2021,314,394,576,369,1249,437
132,Iowa State 2019,9.3,877,2097,276,355,495,388,1213,440
133,Iowa 2019,9.84,943,2104,281,418,606,363,1218,457
140,Kansas State 2019,9.18,717,1728,233,358,531,279,1098,504
141,Kansas 2019,12.79,898,2201,309,420,612,385,1263,455
144,Kentucky 2019,10.29,854,2134,283,403,572,337,1083,449
149,Liberty 2019,-3.88,790,1894,231,398,588,300,1104,482
156,Louisiana State 2019,9.16,900,2085,281,477,691,388,1200,508
158,Louisville 2019,11.04,819,2007,239,447,643,330,1176,380
165,Marquette 2019,6.96,819,2020,233,492,725,341,1146,402
169,Maryland 2019,10.09,795,2005,252,386,534,315,1050,318
177,Michigan State 2019,12.34,905,2378,280,444,654,404,1238,398
178,Michigan 2019,10.55,823,2073,181,331,499,320,1273,434
181,Minnesota 2019,11.27,922,2107,243,411,594,353,1252,412
182,Mississippi State 2019,9.07,848,1937,253,445,622,342,1086,458
184,Mississippi 2019,8.13,832,1869,241,442,627,332,1080,471
190,Montana 2019,-5.05,823,1906,236,515,687,286,1094,472
194,Murray State 2019,-3.11,827,2014,204,397,552,376,1145,464
199,Nevada 2019,2.68,815,1984,263,375,555,312,1186,461
201,New Mexico State 2019,-2.38,789,1882,252,429,611,236,1003,460
211,North Carolina Central 2019,-11.24,831,1911,213,391,582,308,1045,450
215,North Carolina 2019,11.35,935,2248,330,434,639,321,1216,501
216,North Dakota State 2019,-2.07,942,2043,261,396,529,284,1164,343
220,Northeastern 2019,-0.7,889,1931,234,394,536,272,1090,383
225,Northern Kentucky 2019,-2.39,834,1987,244,498,692,317,1141,466
230,Ohio State 2019,11.0,814,1929,236,454,613,308,1170,425
233,Oklahoma 2019,12.21,852,2096,288,326,485,362,1253,408
234,Old Dominion 2019,-1.18,737,1887,248,408,612,305,1201,424
237,Oregon 2019,6.13,807,2027,267,483,688,371,1250,523
245,Prairie View 2019,-9.17,863,1887,215,606,875,393,1316,637
249,Purdue 2019,11.99,831,1997,295,464,634,331,1155,448
262,Saint Louis 2019,2.23,798,1948,230,471,652,305,1191,466
263,Saint Mary's (CA) 2019,4.4,803,1834,186,393,534,251,991,358
274,Seton Hall 2019,8.34,845,1974,270,481,648,352,1212,477
294,St. John's (NY) 2019,5.5,853,1961,283,553,779,353,1323,529
299,Syracuse 2019,10.09,746,1859,294,460,637,405,1253,528
300,Temple 2019,4.93,841,1897,239,437,643,325,1222,485
304,Tennessee 2019,10.16,888,2199,311,493,755,421,1270,472
314,Texas Tech 2019,9.53,751,2027,243,516,743,373,1254,586
322,Utah State 2019,0.89,790,2008,282,487,682,293,1096,432
327,Vermont 2019,-4.18,768,1834,240,367,503,241,1050,439
328,Villanova 2019,7.97,877,2012,274,397,567,334,1190,414
329,Virginia Commonwealth 2019,2.87,706,1822,172,460,667,374,1171,535
331,Virginia Tech 2019,7.79,758,1856,303,353,489,307,1058,491
332,Virginia 2019,10.15,769,1995,245,349,524,323,1132,407
336,Washington 2019,7.01,814,1958,231,472,665,418,1245,587
346,Wisconsin 2019,11.01,774,1950,215,336,503,327,1207,387
347,Wofford 2019,0.8,818,1924,248,411,585,271,1029,482
351,Yale 2019,-1.24,779,1890,223,421,577,285,1029,338
