Season,Team_Id,wins,Team_Id-1,Team_Name
2003,1112,3,1112,Arizona
2003,1113,1,1113,Arizona St
2003,1120,2,1120,Auburn
2003,1139,2,1139,Butler
2003,1141,1,1141,C Michigan
2003,1143,1,1143,California
2003,1163,2,1163,Connecticut
2003,1181,2,1181,Duke
2003,1196,1,1196,Florida
2003,1211,1,1211,Gonzaga
2003,1228,1,1228,Illinois
2003,1231,1,1231,Indiana
2003,1242,5,1242,Kansas
2003,1246,3,1246,Kentucky
2003,1257,1,1257,Louisville
2003,1266,4,1266,Marquette
2003,1268,2,1268,Maryland
2003,1277,3,1277,Michigan St
2003,1281,1,1281,Missouri
2003,1323,2,1323,Notre Dame
2003,1328,3,1328,Oklahoma
2003,1329,1,1329,Oklahoma St
2003,1338,2,1338,Pittsburgh
2003,1345,1,1345,Purdue
2003,1390,1,1390,Stanford
2003,1393,6,1393,Syracuse
2003,1400,4,1400,Texas
2003,1409,1,1409,Tulsa
2003,1421,1,1421,UNC Asheville
2003,1428,1,1428,Utah
2003,1448,1,1448,Wake Forest
2003,1458,2,1458,Wisconsin
2003,1462,1,1462,Xavier
2004,1104,3,1104,Alabama
2004,1130,1,1130,Boston College
2004,1153,1,1153,Cincinnati
2004,1163,6,1163,Connecticut
2004,1177,1,1177,DePaul
2004,1181,4,1181,Duke
2004,1197,1,1197,Florida A&M
2004,1210,5,1210,Georgia Tech
2004,1211,1,1211,Gonzaga
2004,1228,2,1228,Illinois
2004,1242,3,1242,Kansas
2004,1246,1,1246,Kentucky
2004,1264,1,1264,Manhattan
2004,1268,1,1268,Maryland
2004,1272,1,1272,Memphis
2004,1280,1,1280,Mississippi St
2004,1301,1,1301,NC State
2004,1305,2,1305,Nevada
2004,1314,1,1314,North Carolina
2004,1329,4,1329,Oklahoma St
2004,1334,1,1334,Pacific
2004,1338,2,1338,Pittsburgh
2004,1371,1,1371,Seton Hall
2004,1386,3,1386,St Joseph's PA
2004,1390,1,1390,Stanford
2004,1393,2,1393,Syracuse
2004,1400,2,1400,Texas
2004,1403,1,1403,Texas Tech
2004,1412,2,1412,UAB
2004,1435,2,1435,Vanderbilt
2004,1448,2,1448,Wake Forest
2004,1458,1,1458,Wisconsin
2004,1462,3,1462,Xavier
2005,1112,3,1112,Arizona
2005,1130,1,1130,Boston College
2005,1137,1,1137,Bucknell
2005,1153,1,1153,Cincinnati
2005,1163,1,1163,Connecticut
2005,1181,2,1181,Duke
2005,1196,1,1196,Florida
2005,1210,1,1210,Georgia Tech
2005,1211,1,1211,Gonzaga
2005,1228,5,1228,Illinois
2005,1235,1,1235,Iowa St
2005,1246,3,1246,Kentucky
2005,1257,4,1257,Louisville
2005,1277,4,1277,Michigan St
2005,1280,1,1280,Mississippi St
2005,1301,2,1301,NC State
2005,1305,1,1305,Nevada
2005,1314,6,1314,North Carolina
2005,1324,1,1324,Oakland
2005,1328,1,1328,Oklahoma
2005,1329,2,1329,Oklahoma St
2005,1334,1,1334,Pacific
2005,1356,1,1356,S Illinois
2005,1403,2,1403,Texas Tech
2005,1412,1,1412,UAB
2005,1428,2,1428,Utah
2005,1436,1,1436,Vermont
2005,1437,2,1437,Villanova
2005,1448,1,1448,Wake Forest
2005,1449,2,1449,Washington
2005,1452,3,1452,West Virginia
2005,1454,2,1454,WI Milwaukee
2005,1458,3,1458,Wisconsin
2006,1104,1,1104,Alabama
2006,1112,1,1112,Arizona
2006,1130,2,1130,Boston College
2006,1133,2,1133,Bradley
2006,1137,1,1137,Bucknell
2006,1163,3,1163,Connecticut
2006,1181,2,1181,Duke
2006,1196,6,1196,Florida
2006,1203,1,1203,G Washington
2006,1206,4,1206,George Mason
2006,1207,2,1207,Georgetown
2006,1211,2,1211,Gonzaga
2006,1228,1,1228,Illinois
2006,1231,1,1231,Indiana
2006,1246,1,1246,Kentucky
2006,1261,4,1261,LSU
2006,1272,3,1272,Memphis
2006,1284,1,1284,Monmouth NJ
2006,1285,1,1285,Montana
2006,1301,1,1301,NC State
2006,1314,1,1314,North Carolina
2006,1322,1,1322,Northwestern LA
2006,1326,1,1326,Ohio St
2006,1338,1,1338,Pittsburgh
2006,1397,1,1397,Tennessee
2006,1400,3,1400,Texas
2006,1401,1,1401,Texas A&M
2006,1417,5,1417,UCLA
2006,1437,3,1437,Villanova
2006,1449,2,1449,Washington
2006,1452,2,1452,West Virginia
2006,1454,1,1454,WI Milwaukee
2006,1455,2,1455,Wichita St
2007,1130,1,1130,Boston College
2007,1139,2,1139,Butler
2007,1196,6,1196,Florida
2007,1207,4,1207,Georgetown
2007,1231,1,1231,Indiana
2007,1242,3,1242,Kansas
2007,1246,1,1246,Kentucky
2007,1257,1,1257,Louisville
2007,1268,1,1268,Maryland
2007,1272,3,1272,Memphis
2007,1277,1,1277,Michigan St
2007,1305,1,1305,Nevada
2007,1310,1,1310,Niagara
2007,1314,3,1314,North Carolina
2007,1326,5,1326,Ohio St
2007,1332,3,1332,Oregon
2007,1338,2,1338,Pittsburgh
2007,1345,1,1345,Purdue
2007,1356,2,1356,S Illinois
2007,1397,2,1397,Tennessee
2007,1400,1,1400,Texas
2007,1401,2,1401,Texas A&M
2007,1417,4,1417,UCLA
2007,1424,2,1424,UNLV
2007,1425,2,1425,USC
2007,1433,1,1433,VA Commonwealth
2007,1435,2,1435,Vanderbilt
2007,1438,1,1438,Virginia
2007,1439,1,1439,Virginia Tech
2007,1450,1,1450,Washington St
2007,1457,1,1457,Winthrop
2007,1458,1,1458,Wisconsin
2007,1462,1,1462,Xavier
2008,1116,1,1116,Arkansas
2008,1139,1,1139,Butler
2008,1172,3,1172,Davidson
2008,1181,1,1181,Duke
2008,1207,1,1207,Georgetown
2008,1242,6,1242,Kansas
2008,1243,1,1243,Kansas St
2008,1257,3,1257,Louisville
2008,1266,1,1266,Marquette
2008,1272,5,1272,Memphis
2008,1274,1,1274,Miami FL
2008,1277,2,1277,Michigan St
2008,1280,1,1280,Mississippi St
2008,1291,1,1291,Mt St Mary's
2008,1314,4,1314,North Carolina
2008,1323,1,1323,Notre Dame
2008,1328,1,1328,Oklahoma
2008,1338,1,1338,Pittsburgh
2008,1345,1,1345,Purdue
2008,1360,1,1360,San Diego
2008,1373,1,1373,Siena
2008,1390,2,1390,Stanford
2008,1397,2,1397,Tennessee
2008,1400,3,1400,Texas
2008,1401,1,1401,Texas A&M
2008,1417,4,1417,UCLA
2008,1424,1,1424,UNLV
2008,1437,2,1437,Villanova
2008,1443,2,1443,WKU
2008,1450,2,1450,Washington St
2008,1452,2,1452,West Virginia
2008,1458,2,1458,Wisconsin
2008,1462,3,1462,Xavier
2009,1112,2,1112,Arizona
2009,1113,1,1113,Arizona St
2009,1156,1,1156,Cleveland St
2009,1163,4,1163,Connecticut
2009,1173,1,1173,Dayton
2009,1181,2,1181,Duke
2009,1211,2,1211,Gonzaga
2009,1242,2,1242,Kansas
2009,1257,3,1257,Louisville
2009,1261,1,1261,LSU
2009,1266,1,1266,Marquette
2009,1268,1,1268,Maryland
2009,1272,2,1272,Memphis
2009,1276,1,1276,Michigan
