,Unnamed: 0,Team_Id,wins,team
0,0,1112,3,Arizona 2003
1,1,1113,1,Arizona St 2003
2,2,1120,2,Auburn 2003
3,3,1139,2,Butler 2003
4,4,1141,1,C Michigan 2003
5,5,1143,1,California 2003
6,6,1163,2,Connecticut 2003
7,7,1181,2,Duke 2003
8,8,1196,1,Florida 2003
9,9,1211,1,Gonzaga 2003
10,10,1228,1,Illinois 2003
11,11,1231,1,Indiana 2003
12,12,1242,5,Kansas 2003
13,13,1246,3,Kentucky 2003
14,14,1257,1,Louisville 2003
15,15,1266,4,Marquette 2003
16,16,1268,2,Maryland 2003
17,17,1277,3,Michigan St 2003
18,18,1281,1,Missouri 2003
19,19,1323,2,Notre Dame 2003
20,20,1328,3,Oklahoma 2003
21,21,1329,1,Oklahoma St 2003
22,22,1338,2,Pittsburgh 2003
23,23,1345,1,Purdue 2003
24,24,1390,1,Stanford 2003
25,25,1393,6,Syracuse 2003
26,26,1400,4,Texas 2003
27,27,1409,1,Tulsa 2003
28,28,1421,1,UNC Asheville 2003
29,29,1428,1,Utah 2003
30,30,1448,1,Wake Forest 2003
31,31,1458,2,Wisconsin 2003
32,32,1462,1,Xavier 2003
33,33,1104,3,Alabama 2004
34,34,1130,1,Boston College 2004
35,35,1153,1,Cincinnati 2004
36,36,1163,6,Connecticut 2004
37,37,1177,1,DePaul 2004
38,38,1181,4,Duke 2004
39,39,1197,1,Florida A&M 2004
40,40,1210,5,Georgia Tech 2004
41,41,1211,1,Gonzaga 2004
42,42,1228,2,Illinois 2004
43,43,1242,3,Kansas 2004
44,44,1246,1,Kentucky 2004
45,45,1264,1,Manhattan 2004
46,46,1268,1,Maryland 2004
47,47,1272,1,Memphis 2004
48,48,1280,1,Mississippi St 2004
49,49,1301,1,NC State 2004
50,50,1305,2,Nevada 2004
51,51,1314,1,North Carolina 2004
52,52,1329,4,Oklahoma St 2004
53,53,1334,1,Pacific 2004
54,54,1338,2,Pittsburgh 2004
55,55,1371,1,Seton Hall 2004
56,56,1386,3,St Joseph's PA 2004
57,57,1390,1,Stanford 2004
58,58,1393,2,Syracuse 2004
59,59,1400,2,Texas 2004
60,60,1403,1,Texas Tech 2004
61,61,1412,2,UAB 2004
62,62,1435,2,Vanderbilt 2004
63,63,1448,2,Wake Forest 2004
64,64,1458,1,Wisconsin 2004
65,65,1462,3,Xavier 2004
66,66,1112,3,Arizona 2005
67,67,1130,1,Boston College 2005
68,68,1137,1,Bucknell 2005
69,69,1153,1,Cincinnati 2005
70,70,1163,1,Connecticut 2005
71,71,1181,2,Duke 2005
72,72,1196,1,Florida 2005
73,73,1210,1,Georgia Tech 2005
74,74,1211,1,Gonzaga 2005
75,75,1228,5,Illinois 2005
76,76,1235,1,Iowa St 2005
77,77,1246,3,Kentucky 2005
78,78,1257,4,Louisville 2005
79,79,1277,4,Michigan St 2005
80,80,1280,1,Mississippi St 2005
81,81,1301,2,NC State 2005
82,82,1305,1,Nevada 2005
83,83,1314,6,North Carolina 2005
84,84,1324,1,Oakland 2005
85,85,1328,1,Oklahoma 2005
86,86,1329,2,Oklahoma St 2005
