,,Oppo,Oppo,Oppo,Oppo,Oppo,Oppo,Oppo,Oppo
Rk,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
1,Abilene Christian,748,1558,183,507,737,313,1113,452
2,Air Force,694,1571,252,377,548,308,954,383
3,Akron,750,1853,188,515,759,387,1223,443
4,Alabama A&M,714,1581,151,409,652,360,1018,344
5,Alabama-Birmingham NCAA,883,2083,217,469,685,435,1269,476
6,Alabama State,691,1658,173,382,590,304,999,394
7,Alabama,735,1790,215,495,701,377,1137,416
8,Albany (NY) NCAA,697,1657,250,352,502,274,964,408
9,Alcorn State,848,1809,195,486,716,369,1200,396
10,American,706,1552,173,348,513,294,983,416
11,Appalachian State,735,1604,152,411,602,290,1014,332
12,Arizona State,821,1821,188,433,621,274,1055,437
13,Arizona NCAA,777,1951,206,508,728,285,1065,523
14,Little Rock,749,1688,223,459,678,331,1143,419
15,Arkansas-Pine Bluff,705,1583,210,520,773,392,1135,518
16,Arkansas State,716,1681,195,391,583,342,1074,343
17,Arkansas NCAA,869,2031,223,564,789,433,1281,567
18,Army,772,1684,171,448,673,320,1064,404
19,Auburn,887,1892,205,544,779,382,1297,513
20,Austin Peay,758,1609,227,435,599,271,1029,424
21,Ball State,720,1564,183,445,642,272,972,360
22,Baylor NCAA,738,1836,196,376,583,376,1052,410
23,Belmont NCAA,854,1889,238,384,539,330,1080,418
24,Bethune-Cookman,663,1560,178,499,710,336,1009,401
25,Binghamton,745,1666,238,396,579,326,1124,419
26,Boise State NCAA,730,1754,195,390,558,279,1030,430
27,Boston College,742,1682,177,496,689,321,1067,391
28,Boston University,731,1620,242,381,535,267,928,322
29,Bowling Green State,728,1764,219,401,573,336,1110,411
30,Bradley,667,1559,211,481,701,295,1077,454
31,Brigham Young NCAA,894,2052,218,555,793,370,1185,456
32,Brown,758,1795,186,442,646,345,1079,348
33,Bryant,731,1711,192,446,615,341,1072,333
34,Bucknell,814,1841,203,515,696,279,1075,320
35,Buffalo NCAA,795,1881,235,428,645,367,1163,448
36,Butler NCAA,740,1785,187,406,595,281,1049,431
37,Cal Poly,622,1459,167,310,449,253,961,306
38,Cal State Bakersfield,647,1572,220,514,737,274,983,403
39,Cal State Fullerton,742,1676,210,461,656,274,1059,345
40,Cal State Northridge,802,1853,259,462,658,344,1113,364
41,UC-Davis,730,1760,209,399,573,377,1018,380
42,UC-Irvine NCAA,739,1878,184,451,650,382,1144,384
43,UC-Riverside,691,1628,186,482,676,291,1030,386
44,UC-Santa Barbara,713,1729,201,485,664,332,1093,390
45,University of California,783,1839,156,499,715,292,1141,317
46,Campbell,738,1616,177,471,651,288,1054,393
47,Canisius,698,1704,203,478,693,360,1138,460
48,Central Arkansas,848,1711,185,503,728,366,1067,379
49,Central Connecticut State,822,1814,221,308,434,349,1093,315
50,Central Florida,825,1809,195,306,494,394,1102,312
51,Central Michigan,780,1752,221,406,608,325,1078,431
52,Charleston Southern,740,1696,247,403,570,288,1067,410
53,Charlotte,818,1861,249,432,616,356,1104,408
54,Chattanooga,740,1731,164,497,725,351,1076,431
55,Chicago State,687,1542,224,517,766,323,1103,492
56,Cincinnati NCAA,700,1804,192,306,470,380,1025,409
57,Citadel,764,1611,200,330,460,304,881,305
58,Clemson,687,1710,186,367,533,345,1057,348
59,Cleveland State,685,1622,210,478,707,326,1036,447
60,Coastal Carolina NCAA,724,1831,242,431,616,317,1063,403
61,Colgate,760,1719,211,394,590,299,1021,340
62,College of Charleston,702,1657,191,536,786,356,1180,377
63,Colorado State,773,1832,237,398,607,297,1083,406
64,Colorado,807,1904,249,454,645,338,1100,384
65,Columbia,612,1417,139,374,536,255,850,286
66,Connecticut,738,1865,209,416,608,373,1142,388
67,Coppin State,897,1867,215,549,783,408,1326,445
68,Cornell,605,1556,191,437,634,314,1092,392
69,Creighton,779,1781,242,407,595,309,1073,361
70,Dartmouth,610,1416,192,417,606,257,923,391
71,Davidson NCAA,814,1838,181,412,646,351,1132,370
72,Dayton NCAA,795,1901,206,394,582,344,1184,489
73,Delaware State,917,2162,264,509,744,428,1339,415
74,Delaware,755,1754,243,408,582,344,1119,311
75,Denver,629,1328,147,485,680,239,859,361
76,DePaul,789,1715,166,610,835,371,1144,406
77,Detroit Mercy,772,1721,235,556,801,319,1117,496
78,Drake,754,1582,223,339,484,283,910,312
79,Drexel,694,1555,165,377,556,301,1039,344
80,Duke NCAA,962,2281,199,379,548,428,1227,481
81,Duquesne,800,1842,283,420,619,383,1124,337
82,East Carolina,786,1768,199,405,598,368,1153,405
83,East Tennessee State,697,1647,255,491,697,338,1082,444
84,Eastern Illinois,757,1818,219,403,565,387,1183,399
85,Eastern Kentucky,732,1633,257,379,563,334,1100,612
86,Eastern Michigan,737,1911,241,515,751,432,1302,527
87,Eastern Washington NCAA,901,2001,279,507,708,363,1185,431
88,Elon,801,1806,208,519,777,349,1225,488
89,Evansville,846,1971,238,431,605,345,1131,490
90,Fairfield,713,1629,148,467,695,356,1118,360
91,Fairleigh Dickinson,705,1532,184,536,775,377,1145,462
92,Florida A&M,766,1633,216,367,570,348,1114,352
93,Florida Atlantic,718,1567,98,400,574,298,1019,321
94,Florida Gulf Coast,739,1870,191,416,617,385,1158,368
95,Florida International,743,1816,225,442,682,378,1144,426
96,Florida State,766,1825,193,485,692,366,1069,393
97,Florida,673,1648,170,464,623,307,1058,452
98,Fordham,734,1663,213,463,688,307,1024,388
99,Fresno State,718,1660,197,490,707,336,1111,428
100,Furman,801,1784,224,419,634,345,1093,360
101,Gardner-Webb,978,2082,230,409,598,375,1229,432
102,George Mason,712,1646,203,520,727,324,1018,379
103,George Washington,786,1945,213,384,563,382,1147,411
104,Georgetown NCAA,698,1716,220,537,756,352,1056,438
105,Georgia Southern,660,1680,190,355,526,348,1100,448
106,Georgia State NCAA,709,1826,251,515,721,416,1166,535
107,Georgia Tech,723,1644,172,384,555,258,962,363
108,Georgia NCAA,733,1882,207,451,645,358,1117,365
109,Gonzaga NCAA,841,2154,217,444,667,403,1157,429
110,Grambling,757,1642,188,403,635,346,1034,328
111,Grand Canyon,788,1790,175,437,643,375,1126,339
112,Green Bay,697,1719,172,440,659,339,1093,449
113,Hampton NCAA,795,1924,197,600,876,392,1285,491
114,Hartford,667,1503,169,421,623,280,1045,409
115,Harvard NCAA,614,1519,164,335,497,280,929,386
116,Hawaii,790,1913,224,583,806,415,1268,583
117,High Point,791,1817,250,399,568,345,1071,443
118,Hofstra,827,1889,216,518,731,333,1161,465
119,Holy Cross,702,1496,180,436,610,260,980,421
120,Houston Baptist,700,1577,178,485,682,296,884,345
121,Houston,758,1743,195,386,579,368,1164,412
122,Howard,659,1697,211,475,681,380,1060,454
123,Idaho State,704,1614,252,415,560,316,1025,365
124,Idaho,764,1700,265,476,695,277,966,326
125,Illinois-Chicago,857,1794,208,467,679,301,1167,403
126,Illinois State,744,1795,193,489,709,343,1109,472
127,Illinois,751,1784,211,387,542,304,1115,425
128,Incarnate Word,777,1724,179,447,619,326,1040,383
129,Indiana State,724,1699,198,455,621,329,1082,425
130,Indiana NCAA,900,1986,196,442,651,374,1122,364
131,Iona,937,2208,250,440,630,454,1320,415
132,Iowa State NCAA,866,2081,248,366,499,377,1196,440
133,Iowa NCAA,754,1903,227,384,553,371,1136,417
134,Fort Wayne,773,1733,208,327,457,272,990,345
135,IUPUI,714,1575,189,463,659,273,976,426
136,Jackson State,639,1511,192,562,817,285,1045,475
137,Jacksonville State,753,1680,175,445,667,356,1163,388
138,Jacksonville,805,1727,235,458,652,336,1141,421
139,James Madison,796,1832,248,414,584,361,1093,381
140,Kansas State,716,1613,172,438,661,311,969,409
141,Kansas NCAA,825,2084,210,473,704,434,1227,421
142,Kennesaw State,841,1873,211,470,671,401,1200,352
143,Kent State,760,1856,176,506,721,390,1180,404
144,Kentucky NCAA,750,2116,175,443,672,463,1215,533
145,La Salle,732,1781,166,425,613,353,1144,434
146,Lafayette NCAA,886,1921,274,363,521,378,1090,362
147,Lamar,723,1598,197,489,716,319,989,449
148,Lehigh,696,1735,236,372,543,342,1041,356
149,Liberty,745,1780,254,476,702,364,1074,389
150,Lipscomb,764,1701,262,532,795,321,1128,406
151,Long Beach State,765,1801,225,466,662,391,1178,462
152,Long Island University,760,1755,178,437,625,339,1145,381
153,Longwood,838,1844,250,565,830,409,1270,505
154,Louisiana,897,2107,202,524,767,368,1191,486
155,Louisiana-Monroe,820,2116,222,437,609,402,1277,441
156,Louisiana State NCAA,824,2052,185,400,604,438,1219,450
157,Louisiana Tech,861,2044,201,439,637,450,1369,561
158,Louisville NCAA,767,1958,189,431,652,400,1256,506
159,Loyola (IL),818,1893,226,373,551,373,1120,462
160,Loyola Marymount,766,1672,252,404,572,337,1027,356
161,Loyola (MD),676,1527,166,467,685,279,1010,337
162,Maine,804,1639,225,411,602,300,1083,382
163,Manhattan NCAA,736,1683,148,614,880,357,1128,545
164,Marist,773,1762,201,452,647,388,1245,441
165,Marquette,762,1787,234,387,542,398,1147,438
166,Marshall,818,1916,218,434,685,396,1264,432
167,Maryland-Baltimore County,720,1604,203,370,530,297,1038,383
168,Maryland-Eastern Shore,763,1705,215,475,700,337,1027,459
169,Maryland NCAA,800,2026,242,376,570,399,1170,391
170,Massachusetts-Lowell,691,1489,208,338,494,263,1017,437
171,Massachusetts,810,1860,191,444,655,360,1108,386
172,McNeese State,795,1764,212,408,598,377,1157,388
173,Memphis,694,1749,164,467,677,363,1060,406
174,Mercer,771,1869,262,392,595,383,1153,424
175,Miami (FL),888,2111,232,396,602,390,1287,417
176,Miami (OH),755,1654,235,481,696,297,1060,438
177,Michigan State NCAA,833,2104,224,592,820,378,1247,416
178,Michigan,764,1702,208,310,444,310,1090,387
179,Middle Tennessee,773,1761,201,500,731,289,1118,472
180,Milwaukee,759,1683,186,373,524,291,1007,320
181,Minnesota,783,1794,240,427,608,373,1171,553
182,Mississippi State,713,1713,210,396,622,347,1017,388
183,Mississippi Valley State,928,1917,232,474,704,440,1328,478
184,Mississippi NCAA,762,1885,270,532,777,391,1197,430
185,Missouri-Kansas City,768,1705,207,459,672,384,1172,539
186,Missouri State,686,1614,199,418,591,294,993,326
187,Missouri,726,1691,206,515,735,355,1130,353
188,Monmouth,703,1758,255,449,654,384,1131,457
189,Montana State,735,1588,181,501,701,273,1037,347
190,Montana,737,1690,229,516,718,300,1052,440
191,Morehead State,717,1651,182,639,909,296,1053,507
192,Morgan State,767,1604,176,489,693,324,1197,441
193,Mount St. Mary's,702,1578,162,379,561,314,1050,411
194,Murray State,811,1980,227,518,727,410,1158,462
195,Navy,716,1578,230,397,561,281,998,404
196,Omaha,781,1679,218,476,652,279,1006,440
197,Nebraska,657,1627,208,435,627,323,1085,415
198,Nevada-Las Vegas,771,1952,205,378,569,407,1220,355
199,Nevada,707,1711,198,449,676,359,1040,313
200,New Hampshire,672,1667,169,460,667,252,1024,377
201,New Mexico State NCAA,754,1774,129,396,572,339,983,448
202,New Mexico,643,1601,210,370,526,268,933,361
203,New Orleans,753,1565,181,446,688,302,957,446
204,Niagara,762,1618,215,415,588,282,1011,358
205,Nicholls State,689,1574,178,561,784,342,1022,403
206,NJIT,722,1801,219,566,765,383,1128,436
207,Norfolk State,763,1863,251,477,728,367,1057,423
208,North Carolina-Asheville,742,1749,200,499,726,365,1098,411
209,North Carolina A&T,714,1683,218,466,683,372,1074,392
210,North Carolina Central,594,1649,163,470,696,342,992,439
211,North Carolina-Greensboro,767,1742,223,580,814,328,1122,422
212,North Carolina State NCAA,827,2052,212,501,712,402,1247,349
213,North Carolina-Wilmington,737,1736,176,550,803,363,1144,449
214,North Carolina NCAA,889,2232,247,591,843,460,1250,468
215,North Dakota State NCAA,727,1726,213,388,525,248,1043,347
216,North Dakota,765,1644,187,484,680,289,1068,400
217,North Florida NCAA,879,2033,176,451,666,400,1187,425
218,North Texas,727,1729,232,427,633,364,1115,424
219,Northeastern NCAA,875,1952,193,336,488,291,980,349
220,Northern Arizona,888,2064,215,565,786,344,1247,418
221,Northern Colorado,753,1584,244,453,645,331,997,399
222,Northern Illinois,672,1525,221,424,612,289,931,417
223,Northern Iowa NCAA,684,1732,211,333,468,301,991,391
224,Northern Kentucky,684,1588,197,514,714,297,1008,325
225,Northwestern State,955,2021,241,505,720,458,1289,495
226,Northwestern,724,1740,237,381,571,347,1073,305
227,Notre Dame NCAA,946,2214,227,380,533,435,1243,425
228,Oakland,887,1896,250,458,647,328,1106,366
229,Ohio State NCAA,790,1959,238,384,545,401,1168,503
230,Ohio,764,1775,221,417,571,331,1096,313
231,Oklahoma State NCAA,675,1673,183,478,697,352,1099,438
232,Oklahoma NCAA,794,2057,225,383,585,432,1277,468
233,Old Dominion,672,1678,204,451,685,305,1084,451
234,Oral Roberts,829,1859,208,477,675,345,1173,444
235,Oregon State,576,1494,184,498,673,326,1044,456
236,Oregon NCAA,902,2136,232,514,739,418,1252,413
237,Pacific,706,1589,208,495,694,298,994,317
238,Penn State,750,1879,204,546,780,380,1216,405
239,Pennsylvania,637,1441,201,407,573,258,871,322
240,Pepperdine,719,1742,142,392,588,362,1100,392
