Rk,School,SOS,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
1,Abilene Christian,-6.34,695,1684,232,354,487,274,897,399
2,Air Force,-0.71,742,1565,232,321,487,265,930,366
3,Akron,-0.47,824,1982,328,406,617,420,1249,422
4,Alabama A&M,-9.62,608,1533,166,415,643,367,998,413
5,Alabama-Birmingham NCAA,1.62,873,2042,202,528,715,434,1322,482
6,Alabama State,-12.71,761,1738,172,396,609,389,1151,397
7,Alabama,8.09,760,1724,221,539,752,325,1122,407
8,Albany (NY) NCAA,-5.18,729,1666,205,493,650,334,1111,381
9,Alcorn State,-9.95,724,1864,155,463,704,376,1038,367
10,American,-3.71,683,1479,213,359,509,188,827,370
11,Appalachian State,-3.18,637,1602,186,381,537,329,1010,397
12,Arizona State,6.66,809,1818,231,511,766,365,1184,474
13,Arizona NCAA,7.41,1009,2068,193,700,974,411,1399,419
14,Little Rock,-3.81,741,1779,219,445,632,329,1063,326
15,Arkansas-Pine Bluff,-8.61,657,1639,204,397,584,326,927,489
16,Arkansas State,-3.81,664,1631,169,372,530,318,1038,390
17,Arkansas NCAA,6.79,978,2196,238,593,819,470,1290,430
18,Army,-4.98,779,1768,227,379,557,325,1033,396
19,Auburn,8.15,760,1880,252,606,910,356,1104,452
20,Austin Peay,-2.81,663,1667,155,456,685,373,1043,428
21,Ball State,0.04,669,1580,234,389,561,303,980,424
22,Baylor NCAA,9.33,813,1874,236,487,723,497,1333,434
23,Belmont NCAA,-2.77,858,1803,329,405,585,307,1093,451
24,Bethune-Cookman,-10.45,627,1567,163,482,672,372,1056,449
25,Binghamton,-3.49,633,1598,171,408,618,288,992,433
26,Boise State NCAA,1.38,831,1823,297,431,591,298,1119,348
27,Boston College,7.94,743,1668,207,412,584,263,983,389
28,Boston University,-3.12,668,1498,232,469,674,263,953,369
29,Bowling Green State,-1.25,778,1806,218,420,588,355,1156,386
30,Bradley,1.52,639,1700,179,425,641,377,1098,418
31,Brigham Young NCAA,5.02,976,2090,300,679,886,421,1349,417
