"","Rk.x","School","SOS","FG.x","FGA.x","X3P.x","FT.x","FTA.x","ORB.x","TRB.x","TOV.x","Rk.y","FG.y","FGA.y","X3P.y","FT.y","FTA.y","ORB.y","TRB.y","TOV.y"
"1",1,"Abilene Christian",-6.34,695,1684,232,354,487,274,897,399,1,770,1759,214,525,743,313,1107,512
"2",2,"Air Force",-0.71,742,1565,232,321,487,265,930,366,2,781,1686,288,394,553,274,1069,436
"3",3,"Akron",-0.47,824,1982,328,406,617,420,1249,422,3,828,1797,257,498,689,298,1106,410
"4",4,"Alabama A&M",-9.62,608,1533,166,415,643,367,998,413,4,881,1844,228,377,549,340,1126,353
"5",5,"Alabama-Birmingham NCAA",1.62,873,2042,202,528,715,434,1322,482,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Alabama State",-12.71,761,1738,172,396,609,389,1151,397,6,813,1795,238,573,836,392,1232,401
"7",7,"Alabama",8.09,760,1724,221,539,752,325,1122,407,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Albany (NY) NCAA",-5.18,729,1666,205,493,650,334,1111,381,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Alcorn State",-9.95,724,1864,155,463,704,376,1038,367,9,809,1867,266,504,716,363,1179,419
"10",10,"American",-3.71,683,1479,213,359,509,188,827,370,10,776,1595,199,464,650,282,1059,413
"11",11,"Appalachian State",-3.18,637,1602,186,381,537,329,1010,397,11,854,1953,232,508,705,304,1177,430
"12",12,"Arizona State",6.66,809,1818,231,511,766,365,1184,474,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Arizona NCAA",7.41,1009,2068,193,700,974,411,1399,419,13,890,2047,261,468,638,310,1018,406
"14",14,"Little Rock",-3.81,741,1779,219,445,632,329,1063,326,14,754,1744,269,465,687,336,1130,436
"15",15,"Arkansas-Pine Bluff",-8.61,657,1639,204,397,584,326,927,489,15,831,1919,227,610,858,445,1327,531
"16",16,"Arkansas State",-3.81,664,1631,169,372,530,318,1038,390,16,911,1852,245,456,641,318,1133,437
"17",17,"Arkansas NCAA",6.79,978,2196,238,593,819,470,1290,430,17,872,2028,301,602,828,394,1264,490
"18",18,"Army",-4.98,779,1768,227,379,557,325,1033,396,18,757,1709,251,458,640,281,1092,427
"19",19,"Auburn",8.15,760,1880,252,606,910,356,1104,452,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Austin Peay",-2.81,663,1667,155,456,685,373,1043,428,20,845,1821,240,516,721,309,1107,549
"21",21,"Ball State",0.04,669,1580,234,389,561,303,980,424,21,841,1977,258,422,580,335,1160,384
"22",22,"Baylor NCAA",9.33,813,1874,236,487,723,497,1333,434,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Belmont NCAA",-2.77,858,1803,329,405,585,307,1093,451,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"Bethune-Cookman",-10.45,627,1567,163,482,672,372,1056,449,24,883,2080,231,546,780,396,1239,444
"25",25,"Binghamton",-3.49,633,1598,171,408,618,288,992,433,25,780,1750,235,386,545,278,1085,372
"26",26,"Boise State NCAA",1.38,831,1823,297,431,591,298,1119,348,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Boston College",7.94,743,1668,207,412,584,263,983,389,27,938,2109,309,425,571,336,1212,435
"28",28,"Boston University",-3.12,668,1498,232,469,674,263,953,369,28,793,1762,252,388,533,303,1041,427
"29",29,"Bowling Green State",-1.25,778,1806,218,420,588,355,1156,386,29,893,1949,261,443,614,302,1168,404
"30",30,"Bradley",1.52,639,1700,179,425,641,377,1098,418,30,716,1768,243,461,627,326,1094,447
"31",31,"Brigham Young NCAA",5.02,976,2090,300,679,886,421,1349,417,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"Brown",-1.99,686,1623,175,501,727,324,1129,460,32,741,1558,205,446,631,247,959,388
"33",33,"Bryant",-4.93,709,1683,226,414,552,306,1029,366,33,921,1867,308,432,616,354,1236,394
"34",34,"Bucknell",-2.75,800,1828,233,506,726,340,1145,377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"Buffalo NCAA",1.6,837,1922,199,589,819,420,1260,378,35,936,2179,239,631,860,389,1313,496
"36",36,"Butler NCAA",8.62,814,1882,192,526,767,408,1239,376,36,877,1954,274,512,689,278,1137,484
"37",37,"Cal Poly",0.43,620,1589,166,346,506,342,1002,255,37,816,1790,228,442,593,307,1143,347
"38",38,"Cal State Bakersfield",-5.8,715,1703,186,484,669,368,1143,409,38,679,1597,244,466,664,291,1009,407
"39",39,"Cal State Fullerton",-1.06,698,1695,167,428,623,323,1088,391,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"Cal State Northridge",0.39,740,1742,110,558,729,325,1133,435,40,801,1726,194,410,567,323,1104,333
"41",41,"UC-Davis",-2.58,775,1583,274,439,598,255,995,427,41,768,1806,221,484,658,330,1134,506
"42",42,"UC-Irvine NCAA",0.45,854,1851,217,370,541,329,1198,396,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"UC-Riverside",-1.16,707,1691,207,404,592,337,1080,413,43,735,1776,233,460,663,351,1195,432
"44",44,"UC-Santa Barbara",0.98,806,1836,225,421,572,352,1134,360,44,803,1863,228,377,538,296,1081,368
"45",45,"University of California",6.15,821,1868,185,368,567,299,1170,365,45,852,1807,282,497,689,316,1116,443
"46",46,"Campbell",-5.3,705,1654,262,373,597,305,988,403,46,861,1933,235,455,633,308,1151,427
"47",47,"Canisius",-2.79,762,1864,215,429,596,401,1157,393,47,818,1825,207,503,686,334,1121,500
"48",48,"Central Arkansas",-5.94,646,1524,196,406,599,273,903,529,48,975,2183,252,564,834,445,1405,509
"49",49,"Central Connecticut State",-5.62,674,1675,146,340,479,332,1046,425,49,816,1860,276,392,560,319,1029,360
"50",50,"Central Florida",0.78,704,1621,202,371,577,313,997,390,50,718,1790,201,338,469,321,1085,394
"51",51,"Central Michigan",-1.1,848,1816,322,486,670,327,1080,325,51,966,2173,318,411,567,378,1269,465
"52",52,"Charleston Southern",-5.23,777,1846,288,435,633,403,1171,354,52,714,1644,284,421,559,273,1021,484
"53",53,"Charlotte",0.35,858,1853,201,445,685,382,1166,435,53,842,1762,231,402,566,289,1044,370
"54",54,"Chattanooga",-4.06,793,1754,217,522,762,371,1118,418,54,902,1880,228,392,525,283,1105,430
"55",55,"Chicago State",-2.48,659,1747,194,343,514,391,1050,471,55,949,1908,295,563,797,363,1250,454
"56",56,"Cincinnati NCAA",4.4,761,1705,167,424,633,383,1178,432,56,739,1974,231,362,529,361,1127,514
"57",57,"Citadel",-4.68,647,1436,206,419,546,271,874,392,57,1020,2123,331,448,619,393,1382,542
"58",58,"Clemson",7.18,689,1685,171,395,579,369,1122,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,"Cleveland State",-0.78,794,1760,238,382,557,353,1072,408,59,936,2052,289,452,633,390,1335,490
"60",60,"Coastal Carolina NCAA",-6.18,836,1899,228,538,780,447,1338,399,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"Colgate",-3.41,804,1661,253,316,453,229,994,379,61,831,1836,270,383,520,285,1128,431
"62",62,"College of Charleston",-1.26,686,1708,197,365,553,314,1064,397,NA,NA,NA,NA,NA,NA,NA,NA,NA
