Rk,School,SOS,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
1,Abilene Christian,-6.82,870,1874,213,406,579,305,1093,461
2,Air Force,1.72,733,1751,250,408,556,302,1014,391
3,Akron,-1.92,793,1824,305,405,582,300,1071,440
4,Alabama A&M,-8.04,673,1697,182,345,533,328,1046,514
5,Alabama-Birmingham,-0.65,945,1937,223,423,564,332,1255,437
6,Alabama State,-8.62,751,1839,209,418,647,394,1131,437
7,Alabama NCAA,10.64,910,1975,229,555,828,358,1290,513
8,Albany (NY),-5.41,839,1836,184,513,680,377,1191,371
9,Alcorn State,-8.60,791,1824,239,423,598,304,1104,459
10,American,-6.17,698,1615,239,326,491,238,869,413
11,Appalachian State,-2.65,864,1983,292,500,749,389,1292,457
12,Arizona State NCAA,6.56,888,1920,288,581,793,315,1126,343
13,Arizona NCAA,6.84,1009,2003,237,563,741,352,1277,426
14,Little Rock,-2.21,750,1756,200,338,554,322,1089,459
15,Arkansas-Pine Bluff,-9.36,815,1863,217,460,681,277,1024,500
16,Arkansas State,-3.02,841,1910,236,451,628,354,1072,419
17,Arkansas NCAA,9.85,1005,2119,269,540,793,350,1208,381
18,Army,-7.17,820,1845,295,295,448,300,1073,403
19,Auburn NCAA,7.29,906,2102,324,647,836,403,1290,411
20,Austin Peay,-2.49,915,2012,202,480,737,443,1209,478
21,Ball State,-1.99,856,1895,245,453,643,318,1210,423
22,Baylor,9.17,941,2007,217,470,640,400,1292,463
23,Belmont,-2.88,901,1853,378,382,517,258,1133,410
24,Bethune-Cookman,-12.48,903,2039,241,575,820,424,1346,507
25,Binghamton,-6.36,787,1775,235,338,528,283,1066,381
26,Boise State,3.05,878,1903,307,439,595,318,1232,433
27,Boston College,7.20,948,2105,298,479,646,371,1293,441
28,Boston University,-5.84,800,1730,229,357,559,296,1044,427
29,Bowling Green State,-2.88,827,1963,241,534,730,372,1226,408
30,Bradley,0.36,768,1788,217,470,665,359,1178,441
