,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
0,Air Force 2006,683,1413,276,348,467,204.0,763,335.0
3,Alabama-Birmingham 2006,822,1816,222,440,680,337.0,971,395.0
5,Alabama 2006,758,1662,174,488,689,389.0,1135,421.0
6,Albany (NY) 2006,743,1660,223,485,682,349.0,1077,451.0
11,Arizona 2006,909,2037,142,473,667,453.0,1140,437.0
15,Arkansas 2006,841,1837,179,498,720,390.0,1118,428.0
21,Belmont 2006,897,1819,261,444,643,364.0,1099,503.0
26,Boston College 2006,949,1958,211,562,833,466.0,1277,472.0
29,Bradley 2006,848,1933,185,478,666,419.0,1241,497.0
32,Bucknell 2006,726,1560,196,466,670,308.0,1032,474.0
42,University of California 2006,717,1598,169,525,716,301.0,1002,384.0
63,Connecticut 2006,988,2088,188,617,874,533.0,1488,489.0
68,Davidson 2006,855,1885,277,416,547,393.0,1215,399.0
77,Duke 2006,979,2011,274,689,905,350.0,1204,496.0
93,Florida 2006,1061,2120,289,641,862,421.0,1402,561.0
98,George Mason 2006,897,1863,206,429,646,352.0,1221,449.0
99,George Washington 2006,845,1814,182,488,755,421.0,1143,420.0
100,Georgetown 2006,787,1682,223,380,538,354.0,1079,381.0
105,Gonzaga 2006,897,1879,182,667,853,411.0,1239,434.0
108,Hampton 2006,762,1840,177,419,677,442.0,1258,516.0
121,Illinois 2006,848,1853,241,374,582,403.0,1179,406.0
123,Indiana 2006,797,1730,276,361,523,319.0,1053,446.0
124,Iona 2006,881,1835,196,517,748,413.0,1140,468.0
126,Iowa 2006,781,1811,191,501,706,372.0,1285,506.0
134,Kansas 2006,912,1923,205,451,671,433.0,1305,516.0
136,Kent State 2006,844,1887,237,533,745,377.0,1130,451.0
137,Kentucky 2006,903,2020,265,406,601,449.0,1265,464.0
149,Louisiana State 2006,972,2092,147,542,786,496.0,1447,555.0
158,Marquette 2006,830,1823,263,402,549,377.0,1112,458.0
165,Memphis 2006,1034,2291,277,616,903,568.0,1528,575.0
169,Michigan State 2006,896,1879,204,524,681,373.0,1212,478.0
172,Milwaukee 2006,797,1832,204,496,719,452.0,1185,421.0
180,Monmouth 2006,787,1785,217,400,597,296.0,1114,510.0
182,Montana 2006,876,1781,228,469,653,348.0,1096,431.0
186,Murray State 2006,808,1795,230,357,548,410.0,1141,387.0
190,Nevada 2006,866,1901,179,490,682,420.0,1268,426.0
202,North Carolina State 2006,793,1704,288,509,678,284.0,1050,434.0
203,North Carolina-Wilmington 2006,807,1867,216,420,601,389.0,1191,414.0
204,North Carolina 2006,863,1809,215,519,733,432.0,1237,512.0
212,Northern Iowa 2006,754,1662,219,438,608,279.0,1100,401.0
213,Northwestern State 2006,914,1981,226,519,779,458.0,1224,535.0
217,Ohio State 2006,833,1791,262,435,606,321.0,1088,379.0
220,Oklahoma 2006,716,1586,174,389,545,420.0,1060,411.0
222,Oral Roberts 2006,866,1883,218,522,736,435.0,1215,472.0
225,Pacific 2006,858,1763,215,446,598,320.0,1135,419.0
227,Pennsylvania 2006,710,1595,196,371,550,302.0,919,382.0
229,Pittsburgh 2006,840,1842,206,505,729,422.0,1281,452.0
253,San Diego State 2006,839,1823,220,558,767,430.0,1176,498.0
259,Seton Hall 2006,692,1690,174,475,637,375.0,1105,403.0
261,South Alabama 2006,797,1760,267,422,600,346.0,1049,415.0
269,Southern Illinois 2006,707,1714,183,397,579,384.0,1073,473.0
273,Southern 2006,787,1796,143,376,581,422.0,1234,561.0
281,Syracuse 2006,913,2083,260,449,698,476.0,1338,532.0
286,Tennessee 2006,859,1852,264,431,615,352.0,1005,386.0
288,Texas A&M 2006,725,1627,203,477,702,325.0,993,416.0
297,Texas 2006,983,2132,269,546,751,518.0,1498,498.0
303,UCLA 2006,939,1987,236,528,764,429.0,1303,562.0
304,Utah State 2006,853,1714,232,369,511,304.0,1080,421.0
310,Villanova 2006,809,1942,288,543,717,459.0,1198,370.0
318,Washington 2006,982,2087,220,522,697,475.0,1232,486.0
320,West Virginia 2006,835,1875,337,327,439,258.0,915,287.0
325,Wichita State 2006,839,1903,237,507,700,425.0,1317,449.0
327,Winthrop 2006,778,1735,238,482,697,402.0,1127,439.0
328,Wisconsin 2006,776,1796,199,454,684,400.0,1124,359.0
332,Xavier 2006,778,1685,218,516,713,338.0,1121,410.0
