School,EFG%,opp_EFG%,ORB%,DRB%,FT%,opp_FT%,TOV%,opp_TOV%,F1,wins
VCU 2016,0.51,0.491,0.326,0.727,0.223,0.249,0.137,0.189,236,1
Davidson 2015,0.556,0.492,0.3,0.697,0.203,0.224,0.123,0.148,297,0
Iona 2013,0.521,0.516,0.328,0.626,0.255,0.215,0.149,0.167,255,0
Brigham Young 2015,0.539,0.489,0.341,0.715,0.325,0.27,0.144,0.16,293,0
UAB 2015,0.477,0.476,0.342,0.671,0.259,0.225,0.17,0.166,199,1
Xavier 2011,0.512,0.465,0.324,0.723,0.332,0.255,0.16,0.166,369,0
Detroit Mercy 2012,0.491,0.503,0.358,0.644,0.312,0.263,0.159,0.196,459,0
Temple 2011,0.5,0.463,0.321,0.713,0.236,0.187,0.142,0.173,59,1
Marquette 2010,0.528,0.497,0.312,0.67,0.259,0.2,0.139,0.19,510,0
Dayton 2014,0.524,0.488,0.34,0.713,0.277,0.304,0.157,0.166,144,3
California 2013,0.48,0.443,0.325,0.668,0.223,0.223,0.164,0.145,105,1
Holy Cross 2016,0.479,0.532,0.231,0.705,0.248,0.242,0.151,0.173,215,1
Florida 2013,0.552,0.433,0.334,0.69,0.21,0.195,0.149,0.196,110,3
West Virginia 2012,0.483,0.498,0.409,0.66,0.259,0.212,0.159,0.177,494,0
Harvard 2013,0.542,0.488,0.26,0.656,0.354,0.225,0.187,0.184,112,1
Louisville 2015,0.477,0.44,0.347,0.692,0.258,0.22,0.145,0.184,186,3
Syracuse 2014,0.482,0.48,0.381,0.685,0.27,0.245,0.123,0.19,165,1
Gonzaga 2014,0.56,0.448,0.306,0.704,0.286,0.275,0.153,0.151,146,1
Connecticut 2016,0.516,0.445,0.283,0.711,0.235,0.234,0.141,0.155,210,1
Michigan 2014,0.557,0.494,0.286,0.699,0.266,0.195,0.128,0.149,154,3
California 2010,0.533,0.483,0.347,0.689,0.268,0.231,0.152,0.164,4,1
Gonzaga 2011,0.531,0.469,0.354,0.718,0.317,0.248,0.171,0.183,43,1
Wichita St 2014,0.526,0.446,0.351,0.739,0.342,0.229,0.138,0.165,171,1
Northeastern 2015,0.545,0.498,0.301,0.748,0.3,0.172,0.192,0.139,312,0
Xavier 2012,0.497,0.456,0.313,0.67,0.287,0.263,0.16,0.159,102,2
Florida St 2011,0.49,0.424,0.356,0.693,0.253,0.252,0.196,0.188,41,2
San Diego St 2015,0.467,0.433,0.354,0.703,0.228,0.175,0.156,0.185,198,1
Saint Joseph's 2014,0.539,0.478,0.29,0.724,0.281,0.212,0.161,0.134,440,0
Kansas St 2012,0.489,0.46,0.407,0.631,0.29,0.288,0.177,0.202,80,1
NC St 2015,0.493,0.455,0.34,0.699,0.243,0.244,0.136,0.129,190,2
Vanderbilt 2011,0.529,0.46,0.329,0.679,0.336,0.195,0.166,0.149,365,0
South Dakota St 2013,0.539,0.506,0.298,0.732,0.247,0.165,0.142,0.152,279,0
