School,FG,FGA,3P,FT,FTA,ORB,TOV,DRB,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TOV,opp_DRB
Akron 2013,852,1874,229,436,678,425,458,720,723,1831,176,449,629,358,449,702
Albany (NY) 2013,761,1748,213,516,700,345,468,677,787,1848,212,337,514,324,438,745
Arizona 2013,880,1933,269,541,722,393,458,779,784,1909,211,447,629,321,465,730
Belmont 2013,906,1844,279,442,604,306,440,660,725,1748,218,461,651,384,572,716
Boise State 2013,824,1790,249,446,597,323,385,665,709,1623,211,466,660,240,430,704
Bucknell 2013,818,1807,157,484,652,308,321,834,703,1864,177,383,543,300,307,742
Butler 2013,869,1931,239,518,744,419,474,794,807,1938,201,484,688,322,406,735
University of California 2013,833,1875,134,418,585,361,417,773,753,1915,189,428,622,384,370,749
Cincinnati 2013,791,1963,230,450,696,488,432,731,716,1851,171,403,606,367,452,772
Colorado State 2013,881,1961,180,611,855,493,389,804,767,1852,233,462,674,281,380,703
Colorado 2013,775,1788,178,502,732,378,439,750,769,1918,224,336,485,371,426,748
Creighton 2013,942,1882,307,489,644,300,443,872,845,2074,215,369,542,359,377,740
Davidson 2013,837,1813,256,560,704,306,371,742,739,1805,155,477,665,328,414,750
Duke 2013,960,2033,270,588,796,337,383,782,852,2049,160,486,671,415,502,834
Florida Gulf Coast 2013,976,2112,247,497,736,412,545,814,866,2133,250,487,708,447,580,866
Florida 2013,960,2010,300,422,623,381,401,798,725,1897,193,369,567,358,522,759
Georgetown 2013,737,1627,189,407,599,297,407,662,623,1649,172,388,582,342,454,681
Gonzaga 2013,961,1934,226,548,777,409,393,786,735,1909,244,381,561,373,480,672
Harvard 2013,677,1425,191,504,697,219,399,577,707,1601,150,360,496,302,409,622
Illinois 2013,858,2084,280,469,646,427,411,671,810,1911,232,480,684,392,511,864
Indiana 2013,951,1971,257,672,904,439,469,831,815,2089,208,398,563,428,509,686
Iona 2013,956,2106,283,538,689,395,421,699,938,2083,272,447,669,418,475,810
Iowa State 2013,962,2111,346,509,696,422,460,816,890,2076,215,491,679,367,462,812
James Madison 2013,818,1941,211,499,714,365,401,699,798,1865,221,509,732,368,490,870
Kansas State 2013,872,2002,238,432,631,470,403,675,750,1792,171,444,646,375,493,745
Kansas 2013,985,2049,216,596,809,399,517,955,788,2183,236,480,699,436,468,783
La Salle 2013,871,1931,262,446,605,332,390,626,872,1912,142,371,544,379,486,813
Liberty 2013,838,1954,251,562,770,367,478,797,879,2084,212,549,802,435,385,868
Long Island University 2013,915,1909,246,601,870,404,486,679,958,2046,235,438,647,403,441,744
Louisville 2013,1048,2300,230,652,920,531,495,854,825,2089,221,480,730,469,730,858
Marquette 2013,842,1844,147,551,755,418,471,698,776,1922,223,416,610,407,439,672
Memphis 2013,976,2071,220,509,771,438,523,805,825,2038,204,481,711,413,557,792
Miami (FL) 2013,895,1968,254,465,680,357,377,822,795,1987,226,365,562,365,425,810
Michigan State 2013,882,1921,177,507,710,421,489,820,758,1943,199,414,621,353,447,736
Michigan 2013,1093,2260,296,450,642,416,368,830,941,2221,242,343,503,396,470,855
Middle Tennessee 2013,848,1835,181,528,759,407,464,740,674,1704,164,462,729,341,530,707
Minnesota 2013,815,1838,184,523,764,501,467,685,720,1813,213,462,666,401,438,647
Mississippi 2013,977,2230,238,587,866,466,395,785,865,2122,241,438,660,432,552,919
Missouri 2013,924,2015,215,525,706,454,442,812,812,2015,234,410,598,373,410,719
Montana 2013,760,1635,219,499,651,248,391,657,745,1733,176,430,606,334,387,710
Nevada-Las Vegas 2013,872,2002,227,525,747,418,487,863,794,2039,203,415,599,361,454,820
New Mexico State 2013,832,1828,137,554,845,429,506,806,780,1949,193,422,590,372,432,720
New Mexico 2013,768,1815,221,598,829,335,402,788,760,1944,263,337,500,342,445,809
North Carolina A&T 2013,776,1927,215,532,809,387,564,779,763,1965,240,525,804,445,589,904
North Carolina State 2013,985,1987,184,554,813,396,433,790,899,2145,209,451,621,430,400,746
North Carolina 2013,1023,2321,272,442,655,478,433,776,918,2170,248,408,581,417,558,911
Northwestern State 2013,919,2007,189,532,775,435,448,698,823,1934,169,470,750,453,535,796
Notre Dame 2013,892,1929,228,438,618,387,393,759,845,2011,191,341,494,368,358,752
Ohio State 2013,928,2057,227,516,729,378,377,841,776,1963,230,415,580,360,493,836
Oklahoma State 2013,814,1854,183,560,751,354,411,756,716,1838,204,443,645,376,490,776
Oklahoma 2013,803,1847,159,495,654,377,376,689,760,1819,205,397,572,363,423,758
Oregon 2013,944,2110,192,570,809,451,555,834,845,2039,203,459,679,350,569,811
Pacific 2013,824,1839,225,471,684,333,390,704,760,1799,243,475,667,338,449,795
Pittsburgh 2013,837,1775,163,445,666,425,364,642,627,1598,172,421,582,316,444,626
Saint Louis 2013,808,1812,210,562,798,306,383,726,735,1787,157,409,625,340,537,811
Saint Mary's (CA) 2013,910,1939,273,517,713,422,416,777,763,1820,195,482,669,286,409,714
San Diego State 2013,839,1916,202,476,697,376,410,768,754,1917,203,366,540,341,429,787
South Dakota State 2013,910,1938,270,478,627,331,365,794,867,1952,243,323,465,290,388,779
Southern 2013,761,1757,226,475,689,288,359,747,658,1795,161,413,614,371,447,802
Syracuse 2013,1007,2293,233,569,843,560,495,820,794,2152,246,513,762,511,616,884
Temple 2013,851,1986,243,511,707,381,366,676,824,1882,196,465,642,358,463,856
UCLA 2013,961,2131,171,511,706,387,391,778,926,2181,218,357,537,458,491,875
Valparaiso 2013,823,1699,253,521,713,303,486,705,745,1795,159,470,652,322,441,667
Villanova 2013,732,1760,204,639,889,383,533,733,733,1812,245,503,740,346,518,779
Virginia Commonwealth 2013,1010,2243,281,469,669,479,407,676,811,1825,198,503,736,400,709,852
Western Kentucky 2013,837,1959,226,509,755,441,537,763,824,1945,200,516,742,374,504,815
